gene_id	gene_name	SRR3214253	SRR3214254	SRR3214255	SRR3214277	SRR3214278	SRR3214279	SRR3214301	SRR3214302	SRR3214303	SRR3214325	SRR3214326	SRR3214327
47	ENSG00000004139.14	SARM1	5	7	4	26	4	25	13	25	13	14	25	16
48	ENSG00000004142.12	POLDIP2	667	36	607	466	53	371	294	85	219	294	463	248
49	ENSG00000004399.12	PLXND1	699	56	736	1984	405	1925	132	30	110	681	1805	732
50	ENSG00000004455.17	AK2	2117	169	2003	981	190	880	1001	453	733	967	1258	1071
51	ENSG00000004468.13	CD38	187	10	186	40	6	32	779	193	547	68	49	83
52	ENSG00000004478.8	FKBP4	1335	117	1248	549	97	529	133	33	93	340	555	359
53	ENSG00000004487.17	KDM1A	561	68	499	426	119	449	333	79	252	341	345	346
54	ENSG00000004534.15	RBM6	691	91	624	747	158	719	1219	439	885	631	1458	619
55	ENSG00000004660.15	CAMKK1	64	3	42	265	30	238	447	52	340	30	59	30
56	ENSG00000004700.16	RECQL	156	22	124	374	84	310	164	45	132	212	378	218
57	ENSG00000004766.17	VPS50	65	22	48	154	29	143	123	28	102	47	38	48
58	ENSG00000004776.13	HSPB6	1	0	3	0	0	0	0	0	0	0	17	1
59	ENSG00000004777.18	ARHGAP33	49	31	41	5	12	4	86	76	76	46	506	64
60	ENSG00000004779.10	NDUFAB1	298	20	285	281	41	244	183	92	127	271	251	280
61	ENSG00000004799.8	PDK4	0	0	0	0	0	0	2	0	1	4	2	0
62	ENSG00000004809.14	SLC22A16	89	5	86	11	1	9	0	0	0	32	25	34
63	ENSG00000004838.14	ZMYND10	0	0	0	4	0	7	7	6	6	1	3	2
64	ENSG00000004846.16	ABCB5	16	11	14	16	11	15	30	14	22	11	32	21
65	ENSG00000004848.8	ARX	0	0	0	3	0	4	3	1	2	0	0	0
66	ENSG00000004864.14	SLC25A13	65	16	64	146	36	153	100	37	71	88	132	103
67	ENSG00000004866.20	ST7	97	15	104	96	37	124	31	10	21	54	112	57
68	ENSG00000004897.12	CDC27	279	39	252	460	142	455	235	107	176	222	215	262
69	ENSG00000004939.15	SLC4A1	11	18	13	9	24	7	78	52	61	10	12	10
70	ENSG00000004948.15	CALCR	0	0	0	0	0	0	0	0	0	0	0	0
71	ENSG00000004961.15	HCCS	74	8	49	271	38	220	37	27	41	33	50	38
72	ENSG00000004975.12	DVL2	83	2	89	125	31	142	124	32	74	43	113	46
73	ENSG00000005001.10	PRSS22	0	0	0	1	0	5	0	1	0	1	0	0
74	ENSG00000005007.13	UPF1	534	56	502	1015	48	941	824	461	563	282	707	288
75	ENSG00000005020.13	SKAP2	264	27	219	1391	215	1274	882	256	661	299	387	345
76	ENSG00000005022.6	SLC25A5	1825	100	1740	2068	141	1796	1279	467	890	1267	907	1335
77	ENSG00000005059.16	MCUB	4	0	2	1	0	0	10	0	7	5	1	4
78	ENSG00000005073.6	HOXA11	2	1	0	0	0	1	0	0	0	2	1	0
79	ENSG00000005075.15	POLR2J	316	57	303	540	38	497	515	358	415	237	313	260
80	ENSG00000005100.13	DHX33	261	22	240	160	35	162	130	24	74	132	195	165
81	ENSG00000005102.14	MEOX1	0	0	0	0	0	0	0	1	0	0	0	0
82	ENSG00000005108.16	THSD7A	4	1	2	9	7	11	0	1	0	4	6	9
83	ENSG00000005156.12	LIG3	720	117	653	465	140	412	725	156	487	393	645	365
84	ENSG00000005175.10	RPAP3	167	24	208	417	107	374	188	26	122	122	159	119
85	ENSG00000005187.12	ACSM3	98	10	110	3	0	1	8	3	4	48	45	40
86	ENSG00000005189.19	REXO5	112	14	110	17	9	17	15	7	15	38	97	44
87	ENSG00000005194.15	CIAPIN1	207	8	200	227	16	191	113	48	61	95	135	97
88	ENSG00000005206.17	SPPL2B	194	30	221	193	43	178	254	137	171	160	683	155
89	ENSG00000005238.19	FAM214B	53	0	39	481	83	494	276	44	192	124	193	114
90	ENSG00000005243.10	COPZ2	0	0	0	0	0	1	0	0	0	0	0	0
91	ENSG00000005249.13	PRKAR2B	8	0	3	7	0	8	5	2	1	0	3	0
92	ENSG00000005302.19	MSL3	167	24	149	1050	504	979	512	104	409	140	432	165
93	ENSG00000005339.15	CREBBP	678	146	563	1715	613	1550	2127	1144	1677	544	2436	578
94	ENSG00000005379.17	TSPOAP1	145	18	138	454	58	455	152	112	101	71	319	100
95	ENSG00000005381.8	MPO	46846	3493	43813	978	356	857	880	512	637	18518	42546	19830
96	ENSG00000005421.9	PON1	0	1	0	0	0	1	0	0	0	0	2	0
97	ENSG00000005436.14	GCFC2	71	9	72	24	12	27	27	5	17	39	24	54
98	ENSG00000005448.17	WDR54	20	1	12	58	7	46	51	40	45	14	21	16
99	ENSG00000005469.12	CROT	12	0	12	5	0	5	0	1	0	6	5	2
100	ENSG00000005471.18	ABCB4	2	0	1	10	0	18	0	0	0	1	1	0
101	ENSG00000005483.21	KMT2E	842	131	786	1821	735	1634	2211	1265	1759	783	1419	831
102	ENSG00000005486.17	RHBDD2	43	12	48	216	41	212	357	336	269	57	145	61
103	ENSG00000005513.10	SOX8	0	0	0	0	0	0	0	0	0	0	0	0
104	ENSG00000005700.15	IBTK	219	27	213	834	248	672	335	73	253	179	190	193
105	ENSG00000005801.18	ZNF195	486	67	447	465	195	430	578	127	408	364	474	363
106	ENSG00000005810.18	MYCBP2	1916	144	1789	1464	320	1369	1644	343	1237	954	1243	1048
107	ENSG00000005812.11	FBXL3	147	19	152	784	219	719	415	95	312	154	220	217
108	ENSG00000005844.18	ITGAL	719	52	782	5089	854	4794	605	108	450	392	589	400
109	ENSG00000005882.12	PDK2	7	3	2	112	77	96	0	0	0	0	8	0
110	ENSG00000005884.18	ITGA3	5	2	10	2039	485	1947	40	27	39	15	14	13
111	ENSG00000005889.15	ZFX	268	48	231	495	166	449	388	360	334	170	350	172
112	ENSG00000005893.16	LAMP2	573	30	550	1154	201	1040	877	229	634	682	300	737
113	ENSG00000005961.19	ITGA2B	18	3	11	10	3	6	24	1	16	14	35	26
114	ENSG00000005981.13	ASB4	2	0	1	4	0	2	3	5	3	0	1	0
115	ENSG00000006007.12	GDE1	364	36	366	826	145	782	646	97	480	308	289	320
116	ENSG00000006015.17	REX1BD	181	66	211	352	129	321	421	156	300	221	501	210
117	ENSG00000006016.11	CRLF1	0	0	0	2	0	1	0	4	0	0	0	0
118	ENSG00000006025.12	OSBPL7	106	18	96	708	159	561	342	35	263	61	216	82
119	ENSG00000006042.12	TMEM98	2	1	9	8	10	5	12	67	6	0	9	0
120	ENSG00000006047.13	YBX2	0	0	0	1	0	2	0	0	0	0	6	0
121	ENSG00000006059.4	KRT33A	0	0	0	0	1	0	0	0	0	0	0	0
122	ENSG00000006062.17	MAP3K14	51	0	47	280	83	248	206	236	170	46	178	36
123	ENSG00000006071.15	ABCC8	0	1	0	0	0	0	0	0	1	6	0	7
124	ENSG00000006116.4	CACNG3	0	0	0	0	0	0	0	0	0	0	0	0
125	ENSG00000006118.14	TMEM132A	10	3	10	158	37	155	8	17	4	4	8	1
126	ENSG00000006125.18	AP2B1	712	124	686	1319	353	1205	747	238	545	513	490	555
127	ENSG00000006128.12	TAC1	0	0	0	0	0	0	0	0	0	0	0	0
128	ENSG00000006194.10	ZNF263	247	21	236	361	76	347	262	127	224	162	216	157
129	ENSG00000006210.7	CX3CL1	0	3	3	338	44	337	15	4	14	5	14	6
130	ENSG00000006282.21	SPATA20	25	0	29	407	67	387	142	32	134	30	74	33
131	ENSG00000006283.18	CACNA1G	0	0	0	10	1	8	0	2	0	0	2	0
132	ENSG00000006327.14	TNFRSF12A	8	0	14	189	3	182	32	61	19	38	76	50
133	ENSG00000006377.11	DLX6	0	1	0	1	2	3	0	1	0	0	0	0
134	ENSG00000006432.15	MAP3K9	6	7	6	42	7	42	49	41	57	6	11	2
135	ENSG00000006451.8	RALA	180	29	176	397	56	373	207	112	157	208	186	206
136	ENSG00000006453.14	BAIAP2L1	0	4	0	1	4	1	3	59	0	0	0	1
137	ENSG00000006459.11	KDM7A	13	3	14	378	51	338	204	40	180	56	63	66
138	ENSG00000006468.14	ETV1	1	5	2	27	34	35	6	7	6	1	0	1
139	ENSG00000006530.18	AGK	279	71	257	210	112	152	230	102	161	159	266	157
140	ENSG00000006534.16	ALDH3B1	310	27	315	378	117	336	265	104	223	263	668	254
141	ENSG00000006555.11	TTC22	8	0	5	14	6	11	21	2	18	6	29	8
142	ENSG00000006576.16	PHTF2	54	12	59	128	20	107	120	17	91	46	102	50
143	ENSG00000006606.8	CCL26	0	0	0	0	0	0	0	0	0	0	0	0
144	ENSG00000006607.14	FARP2	118	26	98	141	30	119	223	113	188	89	116	82
145	ENSG00000006611.16	USH1C	0	0	0	0	0	0	0	0	0	0	0	0
146	ENSG00000006625.18	GGCT	403	39	339	289	75	266	74	14	42	200	179	228
147	ENSG00000006634.8	DBF4	253	35	292	212	47	172	62	43	57	185	293	169
148	ENSG00000006638.13	TBXA2R	96	192	62	173	125	121	693	123	488	58	270	50
149	ENSG00000006652.14	IFRD1	175	15	194	951	251	913	278	187	217	208	342	194
150	ENSG00000006659.13	LGALS14	0	0	0	0	0	0	0	0	0	0	0	0
151	ENSG00000006695.12	COX10	73	16	80	186	28	153	40	5	40	45	110	43
152	ENSG00000006704.10	GTF2IRD1	105	22	77	215	72	181	95	53	75	74	129	74
153	ENSG00000006712.15	PAF1	252	31	274	386	78	409	527	192	327	345	552	322
154	ENSG00000006715.16	VPS41	151	21	175	877	143	779	471	74	350	237	148	238
155	ENSG00000006740.17	ARHGAP44	1	6	7	150	20	135	53	53	37	1	2	1
156	ENSG00000006744.19	ELAC2	224	26	197	329	42	301	248	48	204	130	304	126
157	ENSG00000006747.15	SCIN	30	25	27	52	52	69	71	32	56	24	29	27
158	ENSG00000006756.16	ARSD	101	4	80	148	12	139	199	25	155	112	115	107
159	ENSG00000006757.12	PNPLA4	75	3	62	216	15	204	70	23	58	73	83	91
160	ENSG00000006788.14	MYH13	0	0	0	0	0	0	0	1	0	0	0	0
161	ENSG00000006831.10	ADIPOR2	374	27	412	986	178	903	453	201	348	260	312	274
162	ENSG00000006837.12	CDKL3	13	5	5	55	15	45	20	13	13	9	13	14
163	ENSG00000007001.13	UPP2	0	0	0	0	0	0	0	1	0	0	0	0
164	ENSG00000007038.11	PRSS21	0	0	0	0	0	0	0	0	0	0	0	0
165	ENSG00000007047.15	MARK4	51	3	35	133	49	134	265	77	198	66	285	80
166	ENSG00000007062.11	PROM1	0	1	0	3	2	6	5	3	4	0	0	0
167	ENSG00000007080.11	CCDC124	394	82	366	252	53	212	214	126	170	212	1191	190
168	ENSG00000007129.18	CEACAM21	9	1	4	10	1	11	27	2	23	3	8	0
169	ENSG00000007168.13	PAFAH1B1	172	25	168	872	130	762	389	187	318	214	217	210
170	ENSG00000007171.18	NOS2	0	0	0	4	0	1	8	1	1	0	0	0
171	ENSG00000007174.18	DNAH9	2	3	1	5	1	6	5	15	2	8	4	2
172	ENSG00000007202.15	KIAA0100	1740	90	1572	3573	453	3366	2499	495	1934	867	1519	882
173	ENSG00000007216.15	SLC13A2	0	0	0	0	0	0	0	0	0	0	1	0
174	ENSG00000007237.18	GAS7	261	21	259	1030	160	873	1208	766	987	534	1152	520
175	ENSG00000007255.10	TRAPPC6A	62	2	60	128	19	101	75	25	57	22	26	37
176	ENSG00000007264.15	MATK	425	70	376	380	36	359	38	31	36	137	259	145
177	ENSG00000007306.15	CEACAM7	0	0	0	0	0	0	0	0	0	0	0	0
178	ENSG00000007312.13	CD79B	0	0	0	0	0	0	0	0	0	0	0	0
179	ENSG00000007314.12	SCN4A	0	0	0	0	0	0	0	1	0	2	1	0
180	ENSG00000007341.19	ST7L	118	10	132	215	50	194	92	26	77	74	97	99
181	ENSG00000007350.17	TKTL1	0	0	0	0	0	0	8	2	11	0	0	0
182	ENSG00000007372.23	PAX6	0	1	0	1	0	0	2	7	0	1	0	0
183	ENSG00000007376.8	RPUSD1	239	29	200	146	24	129	155	80	89	113	330	104
184	ENSG00000007384.15	RHBDF1	0	1	2	78	12	54	0	3	0	7	6	2
185	ENSG00000007392.16	LUC7L	304	39	280	601	141	589	720	326	481	329	575	362
186	ENSG00000007402.11	CACNA2D2	0	1	0	0	0	0	0	4	0	0	0	0
187	ENSG00000007516.14	BAIAP3	1	5	3	69	18	62	25	22	21	1	3	0
188	ENSG00000007520.4	TSR3	127	10	96	94	18	96	107	42	75	102	136	99
189	ENSG00000007541.17	PIGQ	110	22	116	115	20	97	131	68	100	87	141	93
190	ENSG00000007545.16	CRAMP1	325	14	311	554	61	544	498	206	354	200	713	217
191	ENSG00000007866.21	TEAD3	20	2	14	149	34	117	14	6	9	14	27	7
192	ENSG00000007908.16	SELE	0	0	0	0	0	0	0	0	0	0	0	0
193	ENSG00000007923.16	DNAJC11	513	46	419	601	110	581	252	93	165	213	436	193
194	ENSG00000007933.13	FMO3	4	0	2	3	0	0	3	4	6	2	3	1
195	ENSG00000007944.15	MYLIP	117	16	119	80	9	74	69	18	51	29	86	40
196	ENSG00000007952.18	NOX1	0	0	0	0	0	0	0	0	0	0	0	0
197	ENSG00000007968.7	E2F2	128	43	122	24	71	19	180	42	128	81	190	83
198	ENSG00000008018.9	PSMB1	499	13	491	932	76	853	795	327	576	514	379	539
199	ENSG00000008056.14	SYN1	1	1	1	50	8	34	35	135	32	15	55	8
200	ENSG00000008083.14	JARID2	621	187	615	3569	728	3192	862	281	639	475	755	459
201	ENSG00000008086.13	CDKL5	172	15	133	167	111	135	154	38	139	61	88	58
202	ENSG00000008118.10	CAMK1G	0	0	0	0	0	0	0	8	0	1	0	0
203	ENSG00000008128.23	CDK11A	192	45	161	369	117	363	337	262	267	173	325	179
204	ENSG00000008130.15	NADK	384	29	371	995	109	834	1323	350	1013	397	830	402
205	ENSG00000008196.13	TFAP2B	0	0	0	0	0	0	0	3	0	0	0	0
206	ENSG00000008197.5	TFAP2D	0	0	0	0	0	0	0	0	0	0	0	0
207	ENSG00000008226.20	DLEC1	3	0	1	4	0	2	0	22	0	3	7	0
208	ENSG00000008256.16	CYTH3	59	2	56	161	8	162	171	65	120	44	60	42
209	ENSG00000008277.14	ADAM22	11	1	14	10	0	14	5	2	4	1	0	1
210	ENSG00000008282.8	SYPL1	254	13	210	184	9	166	321	59	260	214	75	213
211	ENSG00000008283.16	CYB561	14	0	22	10	6	12	29	19	24	11	26	13
212	ENSG00000008294.21	SPAG9	338	55	324	1295	253	1126	1056	509	792	312	361	319
213	ENSG00000008300.17	CELSR3	7	3	9	32	0	25	20	11	12	6	54	16
214	ENSG00000008311.15	AASS	87	239	59	199	276	163	834	166	639	105	349	98
215	ENSG00000008323.15	PLEKHG6	1	0	2	1	5	1	0	7	0	0	4	0
216	ENSG00000008324.11	SS18L2	106	5	114	109	8	119	72	27	59	73	37	76
217	ENSG00000008382.15	MPND	23	0	15	42	11	49	138	62	84	21	28	22
218	ENSG00000008394.13	MGST1	1037	160	948	3335	1670	3055	56	32	27	549	1624	566
219	ENSG00000008405.12	CRY1	42	1	41	70	15	42	22	19	18	32	25	39
220	ENSG00000008438.5	PGLYRP1	20	5	21	0	0	0	231	56	164	9	15	9
221	ENSG00000008441.16	NFIX	161	51	142	68	33	37	91	103	67	61	412	68
222	ENSG00000008513.16	ST3GAL1	437	46	391	780	126	715	775	317	624	472	812	478
223	ENSG00000008516.17	MMP25	9	3	29	5	11	6	614	164	491	168	919	176
224	ENSG00000008517.17	IL32	1	2	1	3	4	6	27	5	25	0	29	0
225	ENSG00000008710.20	PKD1	467	44	466	224	70	233	705	234	546	275	1467	263
226	ENSG00000008735.14	MAPK8IP2	5	7	0	5	13	6	22	35	12	10	8	3
227	ENSG00000008838.20	MED24	395	48	383	743	58	683	533	90	436	182	1243	203
228	ENSG00000008853.17	RHOBTB2	101	15	111	1415	291	1354	91	31	58	36	117	42
229	ENSG00000008869.12	HEATR5B	166	12	199	723	83	653	632	77	464	212	208	221
230	ENSG00000008952.17	SEC62	1222	84	1196	1447	247	1322	1671	516	1245	1311	811	1335
231	ENSG00000008988.9	RPS20	9396	1534	8971	11267	1104	10258	10751	3606	8519	4156	3444	4458
232	ENSG00000009307.16	CSDE1	2865	276	2756	6816	1153	6275	2759	739	2041	2166	1852	2234
233	ENSG00000009335.18	UBE3C	382	26	355	850	128	788	385	162	263	182	265	225
234	ENSG00000009413.16	REV3L	404	32	323	239	61	250	501	121	389	318	273	359
235	ENSG00000009694.13	TENM1	0	1	0	2	2	2	106	6	81	18	31	14
236	ENSG00000009709.12	PAX7	0	5	0	0	0	0	0	0	0	0	0	0
237	ENSG00000009724.17	MASP2	0	0	0	0	1	0	1	17	0	0	0	1
238	ENSG00000009765.15	IYD	11	0	9	8	19	12	22	17	24	12	29	3
239	ENSG00000009780.15	FAM76A	56	11	49	103	16	75	95	27	88	74	57	54
240	ENSG00000009790.15	TRAF3IP3	197	12	181	145	33	131	1347	207	1008	385	671	407
241	ENSG00000009830.11	POMT2	78	6	77	69	12	51	24	8	23	34	95	42
242	ENSG00000009844.16	VTA1	220	38	225	552	96	550	316	85	250	146	73	177
243	ENSG00000009950.16	MLXIPL	26	16	18	1146	410	1034	326	208	253	25	114	27
244	ENSG00000009954.11	BAZ1B	1496	169	1416	2257	672	2097	1267	500	959	799	1458	838
245	ENSG00000010017.13	RANBP9	257	25	190	870	182	872	324	116	248	141	194	157
246	ENSG00000010030.14	ETV7	0	0	0	0	0	0	0	1	0	1	0	0
247	ENSG00000010072.16	SPRTN	48	12	38	86	6	90	70	44	63	37	30	42
248	ENSG00000010165.20	EEF1AKNMT	267	7	268	302	38	263	83	16	63	105	99	108
249	ENSG00000010219.13	DYRK4	89	16	78	107	23	121	174	34	160	53	126	58
250	ENSG00000010244.18	ZNF207	1482	189	1356	2479	742	2227	2610	757	1954	1211	1724	1277
251	ENSG00000010256.11	UQCRC1	688	100	750	1466	218	1439	513	276	374	410	987	487
252	ENSG00000010270.13	STARD3NL	156	4	122	232	24	166	190	112	152	101	111	113
253	ENSG00000010278.14	CD9	15	6	17	4521	833	4249	3	9	2	37	188	43
254	ENSG00000010282.15	HHATL	0	0	0	0	0	0	0	0	0	0	0	0
255	ENSG00000010292.13	NCAPD2	981	66	887	564	96	513	512	103	392	313	509	390
256	ENSG00000010295.19	IFFO1	128	20	146	163	31	132	767	126	577	299	999	314
257	ENSG00000010310.9	GIPR	45	27	42	53	26	47	153	34	132	52	116	56
258	ENSG00000010318.21	PHF7	48	3	37	13	4	13	39	9	29	26	52	39
259	ENSG00000010319.7	SEMA3G	35	3	19	116	20	87	0	0	0	12	20	10
260	ENSG00000010322.16	NISCH	331	38	316	876	184	816	905	268	715	261	1384	320
261	ENSG00000010327.10	STAB1	0	0	0	5	0	2	0	1	0	4	13	1
262	ENSG00000010361.14	FUZ	44	6	43	142	20	143	15	6	10	22	34	39
263	ENSG00000010379.16	SLC6A13	0	0	0	0	0	0	0	0	0	0	0	0
264	ENSG00000010404.18	IDS	64	10	105	1704	351	1640	1183	301	927	187	267	240
265	ENSG00000010438.16	PRSS3	0	0	0	0	0	1	0	1	0	0	0	0
266	ENSG00000010539.11	ZNF200	99	8	88	177	20	154	246	65	167	93	217	111
267	ENSG00000010610.10	CD4	1095	126	943	1684	288	1652	2738	597	2097	932	1748	995
268	ENSG00000010626.15	LRRC23	26	0	23	88	22	81	35	3	21	26	25	26
269	ENSG00000010671.16	BTK	375	31	431	724	135	698	1212	139	946	308	391	317
270	ENSG00000010704.18	HFE	37	39	59	34	65	36	148	83	113	28	117	37
271	ENSG00000010803.16	SCMH1	445	13	359	92	27	74	114	35	79	107	259	133
272	ENSG00000010810.17	FYN	13	23	15	713	198	674	80	19	49	18	22	10
273	ENSG00000010818.10	HIVEP2	174	21	183	102	22	103	868	615	664	158	329	162
274	ENSG00000010932.17	FMO1	0	1	0	0	0	0	7	0	0	0	0	1
275	ENSG00000011007.12	ELOA	293	32	275	749	135	644	445	216	344	187	294	206
276	ENSG00000011009.11	LYPLA2	201	13	202	662	110	599	271	188	215	143	397	148
277	ENSG00000011021.23	CLCN6	216	32	188	322	118	305	327	77	282	133	388	139
278	ENSG00000011028.14	MRC2	268	16	219	646	44	610	146	95	100	94	277	101
279	ENSG00000011052.21	NME1-NME2	0	0	2	0	0	0	32	0	22	0	3	0
280	ENSG00000011083.9	SLC6A7	0	1	0	15	0	11	0	0	0	0	0	0
281	ENSG00000011105.14	TSPAN9	0	1	0	0	0	0	0	3	0	0	0	0
282	ENSG00000011114.15	BTBD7	295	34	273	509	191	478	378	182	287	234	350	183
283	ENSG00000011132.12	APBA3	85	14	78	164	21	143	205	126	126	90	260	76
284	ENSG00000011143.17	MKS1	59	9	51	171	26	159	85	5	54	24	35	31
285	ENSG00000011198.10	ABHD5	110	28	97	850	183	779	290	50	232	122	126	124
286	ENSG00000011201.12	ANOS1	0	0	0	15	2	18	3	2	1	1	0	0
287	ENSG00000011243.18	AKAP8L	290	24	288	834	156	787	1083	433	857	297	713	316
288	ENSG00000011258.16	MBTD1	243	27	231	525	113	451	374	54	248	162	94	166
289	ENSG00000011260.14	UTP18	164	9	132	222	8	214	52	15	41	103	54	118
290	ENSG00000011275.18	RNF216	310	36	299	428	116	443	602	241	432	215	363	228
291	ENSG00000011295.16	TTC19	209	53	211	160	78	145	406	115	292	157	169	144
292	ENSG00000011304.20	PTBP1	1553	144	1517	1539	244	1432	865	690	638	1045	1618	1115
293	ENSG00000011332.19	DPF1	3	2	1	0	0	0	0	0	0	1	1	1
294	ENSG00000011347.10	SYT7	0	0	0	115	43	124	0	0	0	0	0	0
295	ENSG00000011376.12	LARS2	195	3	202	331	67	302	172	40	140	105	155	107
296	ENSG00000011405.13	PIK3C2A	198	8	137	480	83	412	603	149	505	175	182	186
297	ENSG00000011422.12	PLAUR	260	17	265	3025	315	2786	863	1816	695	565	927	593
298	ENSG00000011426.11	ANLN	224	29	213	13	32	15	70	7	50	143	155	141
299	ENSG00000011451.21	WIZ	311	27	281	319	88	335	335	229	261	191	875	216
300	ENSG00000011454.17	RABGAP1	126	13	123	385	90	330	268	80	200	125	169	145
301	ENSG00000011465.17	DCN	13	6	7	5	6	5	22	3	8	5	16	5
302	ENSG00000011478.12	QPCTL	99	47	86	105	49	92	214	62	166	58	136	69
303	ENSG00000011485.15	PPP5C	605	55	586	886	129	823	331	86	253	269	496	234
304	ENSG00000011523.14	CEP68	96	14	65	216	53	212	202	26	128	57	64	51
305	ENSG00000011566.15	MAP4K3	35	0	34	426	87	421	118	27	86	45	39	52
306	ENSG00000011590.14	ZBTB32	0	0	0	0	0	0	0	1	0	0	2	0
307	ENSG00000011600.12	TYROBP	1647	246	1550	6863	1394	6621	16583	7380	12866	7225	6264	7891
308	ENSG00000011638.10	TMEM159	45	9	41	52	16	37	49	10	27	45	56	42
309	ENSG00000011677.13	GABRA3	0	0	0	0	0	0	0	0	0	0	0	0
310	ENSG00000012048.23	BRCA1	545	42	518	154	69	133	143	32	119	309	356	354
311	ENSG00000012061.16	ERCC1	695	112	611	1449	313	1395	486	160	364	362	535	374
312	ENSG00000012124.17	CD22	12	2	9	22	23	21	42	29	42	11	32	12
313	ENSG00000012171.20	SEMA3B	0	4	0	7	0	9	14	5	10	1	6	3
314	ENSG00000012174.12	MBTPS2	73	9	62	287	49	245	107	21	76	63	36	61
315	ENSG00000012211.13	PRICKLE3	58	34	56	81	45	96	189	50	167	40	440	77
316	ENSG00000012223.13	LTF	13	0	10	2	1	3	0	3	0	5	2	2
317	ENSG00000012232.9	EXTL3	129	26	141	291	74	286	456	132	341	88	278	85
