GO	[-1.00 -0.98]	[-0.98 -0.88]	[-0.88 -0.78]	[-0.78 -0.64]	[-0.64 -0.48]	[-0.48 -0.19]	[-0.19 0.38]	[0.38 0.71]	[0.71 0.94]	[0.94 1.00]	[1.00 1.00]
GSE3982_MAC_VS_NKCELL_UP GSE3982_MAC_VS_NKCELL_UP	-0.312	-1.170	1.800	0.419	1.800	-1.546	0.765	-0.312	0.765	-0.635	-2.617
GSE41867_DAY8_VS_DAY15_LCMV_CLONE13_EFFECTOR_CD8_TCELL_DN GSE41867_DAY8_VS_DAY15_LCMV_CLONE13_EFFECTOR_CD8_TCELL_DN	-3.030	0.719	0.719	-2.392	-0.322	0.401	0.918	1.974	0.401	-0.322	-0.633
GSE17721_PAM3CSK4_VS_CPG_0.5H_BMDC_DN GSE17721_PAM3CSK4_VS_CPG_0.5H_BMDC_DN	1.535	0.739	-3.704	-0.539	-1.080	-0.364	1.535	-0.364	0.540	0.376	-0.366
GSE27670_CTRL_VS_LMP1_TRANSDUCED_GC_BCELL_UP GSE27670_CTRL_VS_LMP1_TRANSDUCED_GC_BCELL_UP	0.703	-0.615	-1.256	1.214	-2.406	0.703	-0.412	-0.889	-0.889	1.214	1.861
GSE25088_IL4_VS_IL4_AND_ROSIGLITAZONE_STIM_STAT6_KO_MACROPHAGE_DAY10_UP GSE25088_IL4_VS_IL4_AND_ROSIGLITAZONE_STIM_STAT6_KO_MACROPHAGE_DAY10_UP	-0.311	-1.000	0.538	0.696	0.292	0.696	-0.582	-1.280	-1.615	-0.770	4.303
GSE29618_PRE_VS_DAY7_POST_LAIV_FLU_VACCINE_PDC_UP GSE29618_PRE_VS_DAY7_POST_LAIV_FLU_VACCINE_PDC_UP	-0.242	-1.951	-0.431	0.885	-0.242	-0.729	3.703	-0.242	-0.729	-0.729	0.596
GSE46242_CTRL_VS_EGR2_DELETED_TH1_CD4_TCELL_UP GSE46242_CTRL_VS_EGR2_DELETED_TH1_CD4_TCELL_UP	-0.851	-0.851	-1.986	1.006	0.433	1.006	1.255	-0.301	-2.578	1.006	0.592
GSE10240_IL17_VS_IL17_AND_IL22_STIM_PRIMARY_BRONCHIAL_EPITHELIAL_CELLS_DN GSE10240_IL17_VS_IL17_AND_IL22_STIM_PRIMARY_BRONCHIAL_EPITHELIAL_CELLS_DN	1.173	-0.572	0.505	-0.257	-2.071	-1.539	-0.391	0.695	1.462	1.462	-1.542
GSE15930_NAIVE_VS_24H_IN_VITRO_STIM_IL12_CD8_TCELL_UP GSE15930_NAIVE_VS_24H_IN_VITRO_STIM_IL12_CD8_TCELL_UP	1.434	0.932	-1.218	-0.480	-1.600	0.544	-2.078	-0.912	0.393	1.726	0.721
GSE11864_CSF1_IFNG_VS_CSF1_IFNG_PAM3CYS_IN_MAC_DN GSE11864_CSF1_IFNG_VS_CSF1_IFNG_PAM3CYS_IN_MAC_DN	-0.360	3.247	-1.804	0.372	1.170	-0.735	-0.522	0.525	-1.359	-1.009	0.707
GSE17721_LPS_VS_PAM3CSK4_4H_BMDC_DN GSE17721_LPS_VS_PAM3CSK4_4H_BMDC_DN	0.265	3.354	-0.820	0.265	-0.820	-0.625	-2.100	-0.340	1.731	0.646	-0.823
GSE40274_CTRL_VS_FOXP3_AND_HELIOS_TRANSDUCED_ACTIVATED_CD4_TCELL_UP GSE40274_CTRL_VS_FOXP3_AND_HELIOS_TRANSDUCED_ACTIVATED_CD4_TCELL_UP	-0.642	-2.258	0.663	0.663	-0.342	-0.474	-0.342	-1.800	0.844	0.264	3.132
GSE21033_CTRL_VS_POLYIC_STIM_DC_3H_DN GSE21033_CTRL_VS_POLYIC_STIM_DC_3H_DN	1.414	-0.793	-0.459	-1.282	0.367	-0.339	-1.016	-0.459	2.528	-1.598	1.657
GSE3982_BCELL_VS_TH1_UP GSE3982_BCELL_VS_TH1_UP	-1.281	-0.476	0.279	2.594	0.279	-0.942	-0.679	-0.324	2.997	-0.942	-0.478
