GO	[-4.65 -0.85]	[-0.85 -0.28]	[-0.28 0.00]	[0.00 0.00]	[0.00 0.00]	[0.00 0.00]	[0.00 0.00]	[0.00 0.00]	[0.00 0.21]	[0.21 0.72]	[0.72 5.95]
GSE40274_CTRL_VS_FOXP3_AND_PBX1_TRANSDUCED_ACTIVATED_CD4_TCELL_DN GSE40274_CTRL_VS_FOXP3_AND_PBX1_TRANSDUCED_ACTIVATED_CD4_TCELL_DN	-0.341	-0.341	-0.341	0.841	0.510	-0.341	2.291	1.251	-1.289	-1.289	-1.306
GSE4748_CTRL_VS_LPS_STIM_DC_3H_UP GSE4748_CTRL_VS_LPS_STIM_DC_3H_UP	0.864	1.237	-0.526	-0.283	-1.625	-0.526	-0.283	-0.526	-1.625	2.725	0.311
GSE5589_LPS_VS_LPS_AND_IL10_STIM_MACROPHAGE_180MIN_UP GSE5589_LPS_VS_LPS_AND_IL10_STIM_MACROPHAGE_180MIN_UP	-0.363	0.481	-0.363	-1.331	-0.363	0.247	-0.363	-0.704	1.193	3.470	-1.348
GSE29618_MONOCYTE_VS_PDC_DAY7_FLU_VACCINE_UP GSE29618_MONOCYTE_VS_PDC_DAY7_FLU_VACCINE_UP	0.891	-0.432	1.238	-1.199	-1.199	-0.432	-0.241	1.238	-1.199	2.096	-1.219
GSE26495_PD1HIGH_VS_PD1LOW_CD8_TCELL_UP GSE26495_PD1HIGH_VS_PD1LOW_CD8_TCELL_UP	-0.913	0.877	-0.913	1.946	-0.913	-0.406	1.365	-0.913	-0.406	0.217	0.482
GSE3982_MAC_VS_TH2_DN GSE3982_MAC_VS_TH2_DN	0.339	-1.583	-0.502	3.442	-0.502	-0.896	1.740	-0.266	-0.266	-0.502	-0.513
GSE2585_AIRE_KO_VS_WT_CD80_HIGH_MTEC_UP GSE2585_AIRE_KO_VS_WT_CD80_HIGH_MTEC_UP	-0.558	-0.558	-0.898	-1.407	0.990	0.990	0.697	-0.898	2.663	0.457	-1.431
GSE41867_NAIVE_VS_DAY15_LCMV_EFFECTOR_CD8_TCELL_UP GSE41867_NAIVE_VS_DAY15_LCMV_EFFECTOR_CD8_TCELL_UP	0.726	0.479	1.787	0.479	-0.536	-2.172	-1.372	-0.316	1.028	-1.372	0.465
GSE17721_0.5H_VS_24H_POLYIC_BMDC_DN GSE17721_0.5H_VS_24H_POLYIC_BMDC_DN	0.726	1.382	0.287	-2.172	0.287	-0.316	-0.870	0.726	-2.172	0.479	0.707
GSE19888_ADENOSINE_A3R_INH_VS_INH_PRETREAT_AND_ACT_WITH_TCELL_MEMBRANES_MAST_CELL_UP GSE19888_ADENOSINE_A3R_INH_VS_INH_PRETREAT_AND_ACT_WITH_TCELL_MEMBRANES_MAST_CELL_UP	0.758	0.454	-1.373	-1.373	2.701	-0.736	-0.385	0.454	-0.736	0.758	-0.394
GSE40277_EOS_AND_LEF1_TRANSDUCED_VS_GATA1_AND_SATB1_TRANSDUCED_CD4_TCELL_UP GSE40277_EOS_AND_LEF1_TRANSDUCED_VS_GATA1_AND_SATB1_TRANSDUCED_CD4_TCELL_UP	-1.206	3.872	-0.611	-0.299	0.303	0.574	-1.206	-0.299	0.574	-0.299	-0.622
GSE360_CTRL_VS_T_GONDII_DC_UP GSE360_CTRL_VS_T_GONDII_DC_UP	-0.320	0.886	-1.247	0.541	1.813	-0.642	-0.320	-1.247	0.886	-1.247	0.530
GSE2770_TGFB_AND_IL4_ACT_VS_ACT_CD4_TCELL_48H_UP GSE2770_TGFB_AND_IL4_ACT_VS_ACT_CD4_TCELL_48H_UP	-1.442	0.258	0.669	0.954	-0.926	0.258	0.954	1.291	-0.926	0.669	-2.285
