chr	start	end	name	score	strand	thickStart	thickEnd	itemRgb	blockCount	blockSizes	blockStarts	logFC	p_value
chr14	87289631	87289680	1057221:SINE:AluSx	0	+	87289631	87289680	0	1	50	0	-0.405465108108536	0.65561938261623
chr14	88717579	88717628	1058242:SINE:AluY	0	+	88717579	88717628	0	1	50	0	-5.15905529921453	0.174728085397873
chr14	88896936	88896985	1058399:SINE:AluSx	0	+	88896936	88896985	0	1	50	0	-0.405465108108536	0.65561938261623
chr14	89333698	89333747	1058767:SINE:AluSx	0	+	89333698	89333747	0	1	50	0	-0.693147180832164	0.413134770907948
chr14	92534400	92534449	1061587:SINE:AluSx	0	+	92534400	92534449	0	1	50	0	-21.9416424226082	0.00309958680366107
chr14	96364272	96364321	1064811:SINE:MIR	0	+	96364272	96364321	0	1	50	0	1.67637738814996	0.219996719394581
chr14	97240167	97240216	1065435:SINE:AluY	0	+	97240167	97240216	0	1	50	0	-1.38629436210067	0.353079968112577
chr14	97240317	97240375	1065435:SINE:AluY	0	+	97240317	97240375	0	1	59	0	2.36609849968029	0.00286430543374217
chr14	99102887	99102979	1066765:SINE:AluSx	0	+	99102887	99102979	0	1	93	0	-0.405465108466886	0.738433928591041
chr14	102205117	102205166	1068882:SINE:AluJb	0	+	102205117	102205166	0	1	50	0	3.96081316959758	0.000228590064695
chr14	102601975	102602024	1069282:SINE:AluSx	0	+	102601975	102602024	0	1	50	0	-3.120895416508	0.245624417399769
chr14	103424453	103424502	1069933:SINE:AluJb	0	+	103424453	103424502	0	1	50	0	-2.72785282839839	0.338930105942331
chr14	103590688	103590737	1070062:SINE:AluSx	0	+	103590688	103590737	0	1	50	0	0.945062029163409	0.270699273113122
chr14	103780635	103780684	1070222:SINE:AluY	0	+	103780635	103780684	0	1	50	0	-0.462623521948113	0.845188213100203
chr14	104663401	104663450	1070739:SINE:AluSx	0	+	104663401	104663450	0	1	50	0	1.09861228865874	0.308614648814082
chr14	104823540	104823589	1070809:SINE:AluSx	0	+	104823540	104823589	0	1	50	0	0.405465110096869	0.691195359376643
chr14	19295159	19295258	1072272:SINE:7SLRNA	0	-	19295159	19295258	0	1	100	0	-0.822139300751049	0.803886272814497
chr14	19300123	19300322	1072275:SINE:AluJb	0	-	19300123	19300322	0	1	200	0	2.20663640298047	0.861689428072312
chr14	19318109	19318158	1072288:SINE:AluSx	0	-	19318109	19318158	0	1	50	0	-1.11696142733631	0.477717108013936
chr1	160485207	160485256	107284:SINE:AluSx	0	-	160485207	160485256	0	1	50	0	-2.7408400239252	0.249474811034239
chr1	160544358	160544457	107319:SINE:AluSx	0	-	160544358	160544457	0	1	100	0	-1.57469496399023	0.569954730793353
chr14	22418264	22418313	1074225:SINE:MIRc	0	-	22418264	22418313	0	1	50	0	-2.00372971994414	0.487875365627913
chr14	22826307	22826356	1074505:SINE:AluSx	0	-	22826307	22826356	0	1	50	0	0.0742957584606362	0.855021349025876
chr14	23001619	23001668	1074658:SINE:AluSx	0	-	23001619	23001668	0	1	50	0	0.69314718039892	0.216429154353252
chr14	23940464	23940613	1075311:SINE:AluSx	0	-	23940464	23940613	0	1	150	0	-0.948039430188736	0.147371815891505
chr14	24212667	24212716	1075486:SINE:AluSx	0	-	24212667	24212716	0	1	50	0	-1.97155257966865	0.438276232314544
chr14	29966721	29966770	1078631:SINE:AluSx	0	-	29966721	29966770	0	1	50	0	2.56494935745218	0.00742948410361066
chr1	161339338	161339387	107930:SINE:AluJb	0	-	161339338	161339387	0	1	50	0	-2.89037175789616	0.239175882459775
chr14	31826274	31826323	1080013:SINE:AluSx	0	-	31826274	31826323	0	1	50	0	0.916290731874155	0.0774045985209347
chr1	161420602	161420651	108007:SINE:AluSx	0	-	161420602	161420651	0	1	50	0	-1.38629436492202	0.45445373091826
chr14	34561528	34561577	1081801:SINE:MIRc	0	-	34561528	34561577	0	1	50	0	-0.445311016655364	0.853952084522077
chr14	34631433	34631482	1081887:SINE:AluY	0	-	34631433	34631482	0	1	50	0	1.32779815458501	0.0143645621608553
chr14	35706686	35706735	1082892:SINE:AluJb	0	-	35706686	35706735	0	1	50	0	-2.66113328131446	0.367692996931709
chr14	35706786	35706835	1082892:SINE:AluJb	0	-	35706786	35706835	0	1	50	0	0.226773319364788	0.865339133702593
chr14	35719904	35719953	1082908:SINE:AluSx	0	-	35719904	35719953	0	1	50	0	-0.171031814649354	0.948960638209572
chr14	39901835	39901884	1085541:SINE:AluY	0	-	39901835	39901884	0	1	50	0	-1.14386888025623	0.65689356858865
chr14	47617422	47617471	1089762:SINE:AluSx	0	-	47617422	47617471	0	1	50	0	4.24132675240972	3.92531632253945e-06
chr14	49632604	49632653	1090758:SINE:AluSx	0	-	49632604	49632653	0	1	50	0	0.274844925691101	0.859910321129885
chr14	49633078	49633127	1090759:SINE:AluSx	0	-	49633078	49633127	0	1	50	0	0.230177568307312	0.878624683410913
chr14	49788607	49788656	1090929:SINE:AluY	0	-	49788607	49788656	0	1	50	0	1.09861229065682	0.146735107421477
chr14	51369479	51369528	1092185:SINE:AluSx	0	-	51369479	51369528	0	1	50	0	2.02814824729228	0.382171713567502
chr14	51472427	51472476	1092261:SINE:AluY	0	-	51472427	51472476	0	1	50	0	-0.693147180550579	0.435259994374782
chr14	52689226	52689275	1093024:SINE:AluSx	0	-	52689226	52689275	0	1	50	0	-3.7612001156842	0.00268409097628397
chr14	53045382	53045431	1093347:SINE:AluJb	0	-	53045382	53045431	0	1	50	0	-3.18635263316264	0.327914137454069
chr14	55464381	55464430	1095151:SINE:AluSx	0	-	55464381	55464430	0	1	50	0	-3.48635519000246	0.00467113298346933
chr14	58267161	58267210	1097110:SINE:AluSx	0	-	58267161	58267210	0	1	50	0	-5.11198778835655	0.137554032540708
chr14	59570897	59570946	1098023:SINE:AluSx	0	-	59570897	59570946	0	1	50	0	5.19747182946057e-10	0.999999730973442
chr14	64348599	64348648	1101406:SINE:AluJb	0	-	64348599	64348648	0	1	50	0	0.15415067982677	0.78450309070492
chr1	164555603	164555652	110207:SINE:AluJb	0	-	164555603	164555652	0	1	50	0	-1.05605267424931	0.0983433679116957
chr14	65431153	65431202	1102363:SINE:AluSx	0	-	65431153	65431202	0	1	50	0	-1.09861229144606	0.523896917569448
chr14	65813239	65813288	1102696:SINE:AluSx	0	-	65813239	65813288	0	1	50	0	-2.1445808438508	0.421326274615536
chr14	66407832	66407881	1103043:SINE:AluJb	0	-	66407832	66407881	0	1	50	0	-1.09861228917849	0.409122063998827
chr14	68740289	68740338	1104788:SINE:AluSx	0	-	68740289	68740338	0	1	50	0	-0.967813884899657	0.72496584858013
chr14	70584491	70584590	1106217:SINE:AluSx	0	-	70584491	70584590	0	1	100	0	2.05267811511374	0.285772504476749
chr14	73060190	73060239	1108150:SINE:AluSx	0	-	73060190	73060239	0	1	50	0	-0.693147182028904	0.654350591648396
chr14	73343113	73343162	1108467:SINE:AluJb	0	-	73343113	73343162	0	1	50	0	1.09861228865874	0.308614648814082
chr14	74579016	74579065	1109726:SINE:AluSx	0	-	74579016	74579065	0	1	50	0	-1.60943791703712	0.410611919901229
chr14	76653745	76653794	1111535:SINE:AluSx	0	-	76653745	76653794	0	1	50	0	-1.60943791391813	0.318465778501576
chr14	77056644	77056693	1111893:SINE:AluSx	0	-	77056644	77056693	0	1	50	0	0.320471895274771	0.901608348255195
chr14	81454141	81454190	1115226:SINE:AluSx	0	-	81454141	81454190	0	1	50	0	-0.693147180550579	0.435259994374782
chr14	86090899	86090948	1117884:SINE:AluSx	0	-	86090899	86090948	0	1	50	0	0.693147180040198	0.317173547293153
chr14	90142034	90142083	1120620:SINE:AluY	0	-	90142034	90142083	0	1	50	0	-1.38629436210067	0.353079968112577
chr14	92245855	92245904	1122331:SINE:AluSx	0	-	92245855	92245904	0	1	50	0	-4.62986279857847	0.0822354093969707
chr14	93241261	93241360	1123276:SINE:AluJb	0	-	93241261	93241360	0	1	100	0	-1.76425282995773	0.355906604545594
chr1	167943178	167943227	112621:SINE:AluY	0	-	167943178	167943227	0	1	50	0	4.39444915467244	0.0043349497388333
chr14	100207313	100207362	1128780:SINE:AluSx	0	-	100207313	100207362	0	1	50	0	-2.42774823594805	0.343281674769465
chr14	102107481	102107530	1130055:SINE:AluSx	0	-	102107481	102107530	0	1	50	0	-1.49549365308488	0.533481197229334
chr14	102325658	102325707	1130244:SINE:AluSx	0	-	102325658	102325707	0	1	50	0	-1.25276296849537	0.464030946743078
chr14	102342815	102342864	1130266:SINE:AluSx	0	-	102342815	102342864	0	1	50	0	1.35057627851781	0.625005889354391
chr14	102342915	102342964	1130266:SINE:AluSx	0	-	102342915	102342964	0	1	50	0	-1.30933331615501	0.492314245062086
chr14	102343121	102343170	1130267:SINE:AluSx	0	-	102343121	102343170	0	1	50	0	1.47466351156998	0.591975076604126
chr14	102343271	102343320	1130267:SINE:AluSx	0	-	102343271	102343320	0	1	50	0	3.4536438570347	0.317014699936939
chr14	102343422	102343521	1130268:SINE:AluSx	0	-	102343422	102343521	0	1	100	0	1.88273124743378	0.602680714632836
chr14	103320797	103320846	1131159:SINE:AluSx	0	-	103320797	103320846	0	1	50	0	-1.09861228917849	0.409122063998829
chr14	104645839	104645888	1132138:SINE:AluY	0	-	104645839	104645888	0	1	50	0	-1.60943791391813	0.318465778501576
chr15	20273553	20273613	1133528:SINE:AluSx	0	+	20273553	20273613	0	1	61	0	-0.567984037605772	0.469315688548561
chr15	22271601	22271650	1134608:SINE:AluSx	0	+	22271601	22271650	0	1	50	0	-0.847297859867457	0.204732821317336
chr15	22496298	22496380	1134714:SINE:AluSx	0	+	22496298	22496380	0	1	83	0	2.19722457733622	0.191493711963247
chr15	22843425	22843519	1134929:SINE:AluY	0	+	22843425	22843519	0	1	95	0	-3.91202300542815	0.164893163305702
chr15	22857659	22857708	1134945:SINE:AluSx	0	+	22857659	22857708	0	1	50	0	-3.25809653802148	0.217603870547618
chr15	23799984	23800033	1135612:SINE:AluSx	0	+	23799984	23800033	0	1	50	0	-1.09861228917849	0.409122063998827
chr15	25482612	25482667	1136373:SINE:AluSx	0	+	25482612	25482667	0	1	56	0	-0.287682073441923	0.740829440108206
chr15	30131704	30131753	1139417:SINE:AluSx	0	+	30131704	30131753	0	1	50	0	-2.59649771519646	0.408209237279398
chr15	30132764	30132813	1139418:SINE:AluY	0	+	30132764	30132813	0	1	50	0	-4.31970787027462	0.116096019093337
chr15	30600678	30600727	1139726:SINE:AluSx	0	+	30600678	30600727	0	1	50	0	-2.59649771519646	0.408209237279398
chr15	30601742	30601791	1139727:SINE:AluY	0	+	30601742	30601791	0	1	50	0	-4.31970787027462	0.116096019093337
chr15	31475142	31475202	1140332:SINE:AluSx	0	+	31475142	31475202	0	1	61	0	-2.56494935745217	0.0116414525341182
chr15	32518269	32518318	1140998:SINE:AluY	0	+	32518269	32518318	0	1	50	0	-1.03724334229182	0.674607452815674
chr15	32519506	32519555	1140999:SINE:AluY	0	+	32519506	32519555	0	1	50	0	-3.17805383704951	0.191697624690531
chr15	32783667	32783716	1141186:SINE:AluY	0	+	32783667	32783716	0	1	50	0	-1.38629436210067	0.353079968112577
chr15	33477846	33477905	1141664:SINE:AluY	0	+	33477846	33477905	0	1	60	0	-0.223143551314209	0.741336580648394
chr15	33561778	33561827	1141706:SINE:AluJb	0	+	33561778	33561827	0	1	50	0	-1.19392246847243	0.00575584937079465
chr15	34060700	34060749	1142034:SINE:AluSx	0	+	34060700	34060749	0	1	50	0	-2.61673204256742	0.235517157575522
chr15	35027238	35027298	1142734:SINE:AluSx	0	+	35027238	35027298	0	1	61	0	-1.60943791242473	0.0900182806914755
chr15	37809100	37809159	1144212:SINE:AluY	0	+	37809100	37809159	0	1	60	0	-4.15888308346154	0.0348662824092174
chr15	40419922	40420123	1145953:SINE:AluSx	0	+	40419922	40420123	0	1	202	0	-1.32116569375321	0.853170871798733
chr15	41298616	41298765	1146863:SINE:AluSx	0	+	41298616	41298765	0	1	150	0	1.92181259747625	0.30488924734928
chr15	41361313	41361403	1146934:SINE:AluSx	0	+	41361313	41361403	0	1	91	0	-21.0073331852273	0.0150273580857878
chr15	41412178	41412227	1147007:SINE:AluSx	0	+	41412178	41412227	0	1	50	0	0.405465108627912	0.513666567865955
chr15	43085753	43085802	1148397:SINE:AluSx	0	+	43085753	43085802	0	1	50	0	-0.693147180711604	0.436031876568612
chr15	43408370	43408419	1148691:SINE:AluJb	0	+	43408370	43408419	0	1	50	0	-0.306115774140618	0.551691243632476
chr15	43624329	43624378	1148886:SINE:AluY	0	+	43624329	43624378	0	1	50	0	-1.09861229065682	0.353422115680334
chr15	44349180	44349277	1149501:SINE:AluSx	0	+	44349180	44349277	0	1	98	0	-2.12026354251887	0.334564610050797
chr15	50370806	50370855	1153591:SINE:AluSx	0	+	50370806	50370855	0	1	50	0	-0.581921539958961	0.718375628534244
chr1	172183816	172183865	115424:SINE:AluJb	0	-	172183816	172183865	0	1	50	0	1.09861228917849	0.409123255361005
chr15	52233250	52233309	1155224:SINE:AluY	0	+	52233250	52233309	0	1	60	0	-0.916290731713129	0.253080528361536
chr15	55291481	55291540	1157162:SINE:AluY	0	+	55291481	55291540	0	1	60	0	-2.07944154839077	0.203110955005536
chr15	55554443	55554497	1157426:SINE:AluY	0	+	55554443	55554497	0	1	55	0	-1.09861229049579	0.482175847717998
chr15	56623941	56624034	1158163:SINE:AluSx	0	+	56623941	56624034	0	1	94	0	-0.693147181550087	0.4907505654633
chr15	58969730	58969779	1159934:SINE:AluSx	0	+	58969730	58969779	0	1	50	0	-0.98082925301136	0.129575625316727
chr15	59121617	59121666	1160029:SINE:AluJb	0	+	59121617	59121666	0	1	50	0	-2.07944154686993	0.309956182684246
chr15	59147570	59147630	1160047:SINE:AluSx	0	+	59147570	59147630	0	1	61	0	3.7612001156936	0.00633348087192076
chr15	59435161	59435210	1160284:SINE:AluSx	0	+	59435161	59435210	0	1	50	0	-0.557893134623976	0.736736212419868
chr15	59578388	59578437	1160406:SINE:AluSx	0	+	59578388	59578437	0	1	50	0	1.38629436210067	0.329465065751179
chr15	59690070	59690130	1160485:SINE:AluSx	0	+	59690070	59690130	0	1	61	0	-2.37490575457367	0.189122945374411
chr15	60051826	60051875	1160809:SINE:AluY	0	+	60051826	60051875	0	1	50	0	-1.09861228917849	0.409122063998827
chr15	60135765	60135857	1160864:SINE:AluSx	0	+	60135765	60135857	0	1	93	0	3.40993106163091	0.308635590218628
chr15	63262687	63262784	1163120:SINE:7SLRNA	0	+	63262687	63262784	0	1	98	0	1.23371476472209	0.398196669934248
chr15	63948246	63948301	1163690:SINE:AluSx	0	+	63948246	63948301	0	1	56	0	1.70474809867103	0.248284228535504
chr15	64506541	64506590	1164223:SINE:AluSx	0	+	64506541	64506590	0	1	50	0	-2.56494935745217	0.0116414525341182
chr1	173800012	173800061	116434:SINE:AluSx	0	-	173800012	173800061	0	1	50	0	-0.808325563580992	0.236025421540073
chr15	64936561	64936610	1164679:SINE:AluJb	0	+	64936561	64936610	0	1	50	0	0.69314718039892	0.216429154347894
chr1	173929855	173929904	116536:SINE:AluSx	0	-	173929855	173929904	0	1	50	0	-19.6888794541097	0.156909564011509
chr1	174013567	174013616	116606:SINE:AluSx	0	-	174013567	174013616	0	1	50	0	-1.35571093774781	0.653576554777192
chr15	66333503	66333552	1166122:SINE:AluY	0	+	66333503	66333552	0	1	50	0	-1.73460105538811	0.494380027349196
chr15	66348594	66348685	1166143:SINE:AluSx	0	+	66348594	66348685	0	1	92	0	2.5839975495375	0.0504091512670591
chr15	67100102	67100151	1166857:SINE:AluSx	0	+	67100102	67100151	0	1	50	0	1.04145387283946	0.288247542807082
chr15	67164282	67164341	1166903:SINE:AluY	0	+	67164282	67164341	0	1	60	0	-1.60943791242473	0.113182545685405
chr15	67814630	67814690	1167351:SINE:AluSx	0	+	67814630	67814690	0	1	61	0	-0.693147180040198	0.451457960435727
chr15	70118367	70118416	1169230:SINE:7SLRNA	0	+	70118367	70118416	0	1	50	0	-0.405465107947139	0.655619382616321
chr15	73045679	73045728	1171466:SINE:AluY	0	+	73045679	73045728	0	1	50	0	-4.07753744390572	0.160161544325348
chr15	73861530	73861579	1172040:SINE:AluSx	0	+	73861530	73861579	0	1	50	0	1.38629436095887	0.018636784021794
chr1	15530958	15531007	11722:SINE:AluSx	0	-	15530958	15531007	0	1	50	0	-2.79028829933918	0.315142842675533
chr15	75341796	75341845	1173316:SINE:AluJb	0	+	75341796	75341845	0	1	50	0	0.575364144903562	0.811497422470792
chr15	76040788	76040837	1173992:SINE:AluSx	0	+	76040788	76040837	0	1	50	0	-0.693147180550579	0.435259994374782
chr15	79981369	79981418	1177281:SINE:AluSx	0	+	79981369	79981418	0	1	50	0	-3.66356164677584	0.0655124180812978
chr15	79997322	79997371	1177303:SINE:AluSx	0	+	79997322	79997371	0	1	50	0	-1.38629436210067	0.353079968112576
chr15	83903890	83903949	1180192:SINE:AluSx	0	+	83903890	83903949	0	1	60	0	2.34607020535953	0.0738461771325491
chr15	84089735	84089784	1180299:SINE:AluSx	0	+	84089735	84089784	0	1	50	0	1.09861228917849	0.409123255361005
chr15	87770632	87770681	1182830:SINE:AluY	0	+	87770632	87770681	0	1	50	0	-0.693147180550579	0.435259994374782
chr15	88886170	88886219	1183723:SINE:AluSx	0	+	88886170	88886219	0	1	50	0	-0.674455047547793	0.808205219330867
chr15	89897363	89897412	1184599:SINE:AluSx	0	+	89897363	89897412	0	1	50	0	-1.09861228866811	0.182340497802619
chr15	90443828	90443877	1185170:SINE:AluSx	0	+	90443828	90443877	0	1	50	0	-0.410148957420592	0.872553237023675
chr15	90518174	90518223	1185221:SINE:AluSx	0	+	90518174	90518223	0	1	50	0	1.79175946921869	0.0242698986728733
chr15	93770301	93770350	1187673:SINE:AluSx	0	+	93770301	93770350	0	1	50	0	-3.09104245978156	0.195691750500207
chr15	96085432	96085481	1189046:SINE:AluSx	0	+	96085432	96085481	0	1	50	0	-1.15267950993839	0.124311767765208
chr15	96291265	96291322	1189182:SINE:AluSx	0	+	96291265	96291322	0	1	58	0	1.09861228917849	0.409123255361005
chr15	97499795	97499844	1189772:SINE:AluJb	0	+	97499795	97499844	0	1	50	0	-2.02228312980425	0.175646870726323
chr15	97638971	97639067	1189844:SINE:AluY	0	+	97638971	97639067	0	1	97	0	-1.38629436111052	0.167494192888531
chr15	98972689	98972738	1190691:SINE:AluY	0	+	98972689	98972738	0	1	50	0	-3.54095932403731	0.203900335238975
chr15	99627387	99627436	1191155:SINE:AluSx	0	+	99627387	99627436	0	1	50	0	4.02535169073515	0.00814163107335509
chr15	101237190	101237245	1192143:SINE:AluSx	0	+	101237190	101237245	0	1	56	0	0.98082925301136	0.129570404347724
chr15	101695633	101695682	1192434:SINE:AluSx	0	+	101695633	101695682	0	1	50	0	-1.38629436210067	0.353079968112577
chr15	22792542	22792591	1194405:SINE:AluY	0	-	22792542	22792591	0	1	50	0	-4.55387689160054	0.168614488242042
