GO	[-1.00 -0.98]	[-0.98 -0.87]	[-0.87 -0.77]	[-0.77 -0.63]	[-0.63 -0.46]	[-0.46 -0.17]	[-0.17 0.40]	[0.40 0.71]	[0.71 0.94]	[0.94 1.00]	[1.00 1.00]
REACTOME_CELLULAR_RESPONSE_TO_STARVATION REACTOME_CELLULAR_RESPONSE_TO_STARVATION	-0.247	-1.036	-0.417	-2.409	-0.669	-0.247	-0.247	3.819	1.849	-0.247	-0.666
MIR505_3P MIR505_3P	0.519	0.519	0.756	-0.453	-2.492	-2.492	1.041	0.519	1.744	-0.716	-0.450
REACTOME_SELECTIVE_AUTOPHAGY REACTOME_SELECTIVE_AUTOPHAGY	1.680	2.647	-1.159	-0.703	0.921	-0.412	0.625	-1.909	-1.159	-0.412	-0.410
GOBP_BONE_REMODELING GOBP_BONE_REMODELING	-0.926	0.858	-1.618	1.658	2.694	-0.525	-1.618	-0.525	-0.283	-0.283	0.321
MENON_FETAL_KIDNEY_0_CAP_MESENCHYME_CELLS MENON_FETAL_KIDNEY_0_CAP_MESENCHYME_CELLS	-0.301	0.751	0.301	0.751	-1.330	-2.117	-2.117	0.301	-0.301	1.822	1.062
HP_CHRONIC_KIDNEY_DISEASE HP_CHRONIC_KIDNEY_DISEASE	-0.783	-0.783	-0.271	0.546	0.546	1.942	-1.261	3.502	-1.261	-0.783	-0.780
CAGCCTC_MIR4855P CAGCCTC_MIR4855P	-0.578	0.997	-0.383	0.367	-0.383	-3.285	-0.844	-1.201	0.997	0.749	2.353
GOBP_REGULATION_OF_MYELINATION GOBP_REGULATION_OF_MYELINATION	3.365	-0.273	-0.704	1.822	0.332	-0.273	-0.704	-0.273	-0.704	-0.704	-0.703
GOBP_VESICLE_CARGO_LOADING GOBP_VESICLE_CARGO_LOADING	-0.704	-0.704	-0.704	0.332	0.332	-0.704	-0.704	1.822	2.544	0.332	-0.703
GOBP_ENDOTHELIAL_CELL_DEVELOPMENT GOBP_ENDOTHELIAL_CELL_DEVELOPMENT	0.216	1.080	1.080	-0.765	-0.408	-0.765	-0.408	-1.410	0.216	3.198	-1.407
MIR562 MIR562	0.359	2.882	-0.477	-1.535	-0.861	-0.861	-0.250	0.359	-1.535	0.941	0.944
GOCC_SNARE_COMPLEX GOCC_SNARE_COMPLEX	-1.036	-1.036	-1.036	-0.491	-1.036	0.398	2.920	0.398	0.398	1.150	-0.221
MORF_BAG5 MORF_BAG5	1.936	-0.219	0.680	-1.452	-0.219	-0.219	-1.452	1.936	-0.219	-1.452	-0.428
WIERENGA_STAT5A_TARGETS_GROUP1 WIERENGA_STAT5A_TARGETS_GROUP1	-2.409	0.815	0.815	-1.574	-0.247	-0.417	2.282	0.564	-0.669	0.815	-1.032
ACACTCC_MIR122A ACACTCC_MIR122A	0.716	1.041	-1.784	1.865	0.254	1.041	-0.625	-0.354	0.254	-1.784	-1.055
HP_CHRONIC_CONSTIPATION HP_CHRONIC_CONSTIPATION	2.180	0.247	0.480	-1.327	-1.327	0.794	-0.363	0.247	-1.327	-0.703	1.189
GSE14699_NAIVE_VS_ACT_CD8_TCELL_UP GSE14699_NAIVE_VS_ACT_CD8_TCELL_UP	0.256	-1.452	-0.522	-0.351	0.760	-3.661	0.760	0.558	2.272	0.256	0.258
GSE15139_GMCSF_TREATED_VS_UNTREATED_NEUTROPHILS_DN GSE15139_GMCSF_TREATED_VS_UNTREATED_NEUTROPHILS_DN	-0.689	0.464	2.637	-1.493	-0.689	-1.880	-1.172	0.980	1.199	1.199	-0.684
WONG_PROTEASOME_GENE_MODULE WONG_PROTEASOME_GENE_MODULE	0.727	0.398	2.252	-1.036	-0.222	-0.491	0.398	-1.036	1.150	-1.036	-1.034
GOMF_SULFOTRANSFERASE_ACTIVITY GOMF_SULFOTRANSFERASE_ACTIVITY	1.207	-0.704	0.332	1.822	-0.704	0.332	-0.704	-0.704	-0.704	1.207	-0.703
CUI_GLUCOSE_DEPRIVATION CUI_GLUCOSE_DEPRIVATION	0.509	2.270	-1.286	-1.286	0.509	-1.286	0.836	-0.342	-0.672	-0.342	0.839
WP_METABOLIC_REPROGRAMMING_IN_COLON_CANCER WP_METABOLIC_REPROGRAMMING_IN_COLON_CANCER	0.279	-0.324	0.279	-0.787	-0.787	-0.787	2.271	0.609	-0.787	-0.787	1.618
GSE37563_WT_VS_CTLA4_KO_CD4_TCELL_D4_POST_IMMUNIZATION_DN GSE37563_WT_VS_CTLA4_KO_CD4_TCELL_D4_POST_IMMUNIZATION_DN	3.337	-0.262	1.884	-2.202	-0.538	-0.381	0.344	-1.314	-0.995	0.481	-0.378
GSE37301_MULTIPOTENT_PROGENITOR_VS_PRO_BCELL_UP GSE37301_MULTIPOTENT_PROGENITOR_VS_PRO_BCELL_UP	1.055	-0.899	-0.899	-0.301	1.323	-1.230	-0.899	-2.204	1.622	1.622	0.303
GSE11961_GERMINAL_CENTER_BCELL_DAY7_VS_PLASMA_CELL_DAY7_UP GSE11961_GERMINAL_CENTER_BCELL_DAY7_VS_PLASMA_CELL_DAY7_UP	-0.619	-0.438	-0.619	3.749	0.785	-3.345	-0.301	0.301	0.433	-0.438	0.303
GSE2706_UNSTIM_VS_2H_LPS_AND_R848_DC_UP GSE2706_UNSTIM_VS_2H_LPS_AND_R848_DC_UP	2.287	0.514	-0.762	-0.437	-0.437	0.388	-4.215	-0.582	-0.320	0.830	1.028
GSE2585_THYMIC_DC_VS_THYMIC_MACROPHAGE_UP GSE2585_THYMIC_DC_VS_THYMIC_MACROPHAGE_UP	-0.369	-0.560	0.242	0.774	-1.647	3.772	-0.821	-1.174	-0.821	0.242	1.323
GSE11864_CSF1_IFNG_VS_CSF1_IFNG_PAM3CYS_IN_MAC_DN GSE11864_CSF1_IFNG_VS_CSF1_IFNG_PAM3CYS_IN_MAC_DN	-0.361	3.241	-1.804	0.371	1.443	-0.522	-0.735	0.371	-1.359	-1.009	0.713
GOMF_STRUCTURAL_CONSTITUENT_OF_NUCLEAR_PORE GOMF_STRUCTURAL_CONSTITUENT_OF_NUCLEAR_PORE	3.560	0.762	-0.247	-0.663	-0.663	-0.663	0.362	0.362	-0.663	-0.247	-0.661
GOBP_TRNA_METABOLIC_PROCESS GOBP_TRNA_METABOLIC_PROCESS	-0.363	-0.363	-0.888	-0.500	-1.151	0.351	2.031	1.471	2.031	-0.673	-2.307
ATGTCAC_MIR489 ATGTCAC_MIR489	1.801	0.684	-1.826	-1.092	0.239	-1.092	-0.373	-0.373	-0.651	0.684	1.807
BLANCO_MELO_HUMAN_PARAINFLUENZA_VIRUS_3_INFECTION_A594_CELLS_DN BLANCO_MELO_HUMAN_PARAINFLUENZA_VIRUS_3_INFECTION_A594_CELLS_DN	-0.222	-0.491	-1.036	-0.222	-0.491	4.472	-0.222	0.727	-0.222	-1.036	-0.490
BIOCARTA_NO1_PATHWAY BIOCARTA_NO1_PATHWAY	0.187	2.749	-0.456	-0.456	-0.456	1.876	0.187	-0.456	-0.456	-0.456	-0.455
GOCC_PHOTORECEPTOR_INNER_SEGMENT GOCC_PHOTORECEPTOR_INNER_SEGMENT	0.892	2.213	-0.580	1.489	-0.580	-0.580	-0.199	-0.580	-0.580	-0.580	-0.199
GSE15930_NAIVE_VS_24H_IN_VITRO_STIM_IL12_CD8_TCELL_UP GSE15930_NAIVE_VS_24H_IN_VITRO_STIM_IL12_CD8_TCELL_UP	1.431	0.931	-1.218	-0.480	-1.600	0.543	-1.600	-1.218	0.270	2.041	0.728
NAKAYA_PBMC_FLUMIST_AGE_18_50YO_7DY_IFN_SUBSET_UP NAKAYA_PBMC_FLUMIST_AGE_18_50YO_7DY_IFN_SUBSET_UP	-0.953	-0.953	0.457	0.821	0.457	-0.953	-0.953	0.199	2.475	-0.434	0.459
ZHAN_V2_LATE_DIFFERENTIATION_GENES ZHAN_V2_LATE_DIFFERENTIATION_GENES	-1.036	0.727	2.920	0.727	0.398	-0.222	-1.036	-0.491	-1.036	-0.222	-0.490
GOMF_CYCLOSPORIN_A_BINDING GOMF_CYCLOSPORIN_A_BINDING	-0.373	-0.373	-0.373	3.246	-0.373	-0.373	-0.373	-0.373	0.239	-0.373	1.385
HP_ANAL_ATRESIA HP_ANAL_ATRESIA	0.651	-1.214	1.208	-2.659	-0.330	1.550	-0.812	0.440	-0.330	0.908	-0.525
chr7p21 chr7p21	-0.414	-0.414	-0.414	-0.414	0.640	-0.414	0.211	0.211	-0.414	4.072	-0.413
GSE25123_CTRL_VS_IL4_STIM_PPARG_KO_MACROPHAGE_UP GSE25123_CTRL_VS_IL4_STIM_PPARG_KO_MACROPHAGE_UP	-1.510	0.362	0.362	0.715	-1.105	2.974	0.943	0.715	-1.105	-1.105	-0.789
GOBP_REGULATORY_T_CELL_DIFFERENTIATION GOBP_REGULATORY_T_CELL_DIFFERENTIATION	-0.539	-0.176	-0.176	-0.176	-0.539	4.278	-0.539	-0.176	-0.539	0.476	-0.537
GOBP_NLS_BEARING_PROTEIN_IMPORT_INTO_NUCLEUS GOBP_NLS_BEARING_PROTEIN_IMPORT_INTO_NUCLEUS	-0.704	1.822	-0.273	-0.273	-0.704	-0.273	0.332	-0.704	-0.273	-0.704	2.549
