FIELD	COUNT	DESC
SpliceEvents	3247143	Number of observed splicing events (each read or read-pair that maps across a splice junction is a splice 'event')
SpliceEvents_KnownLoci	3221710	Number of splice events covering known SJ loci
SpliceEvents_KnownLociWithFewReads	61913	Number of splice events covering low-coverage known SJ loci
SpliceEvents_KnownLociWithManyReads	3159797	Number of splice events covering high-coverage known SJ loci
SpliceEvents_NovelLoci	25433	Number of splice events covering noverl SJ loci
SpliceEvents_NovelLociWithFewReads	17733	Number of splice events covering low-coverage novel SJ loci
SpliceEvents_NovelLociWithManyReads	7700	Number of splice events covering high-coverage novel SJ loci
StrandTest_frFirstStrand	884966	Number of reads or read-pairs that match the fr_FirstStrand strandedness rule
StrandTest_frSecondStrand	14293036	Number of reads or read-pairs that match the fr_secondstrand strandedness rule
StrandTest_ambig_genesFountOnBothStrands	558402	Number of reads or read-pairs where the strandedness is ambiguous due to there being genes on both strands
StrandTest_ambig_noGenes	2819033	Number of reads or read-pairs where the strandedness is ambiguous due to there being no known genes.
StrandTest_ambig_other	0	Numebr of reads or read-pairs where the strandedness is ambiguous due to other reasons
StrandTest_STRANDEDNESS_MATCHES_INFERRED	0	1 if the strandedness appears to match the strandedness mode, 0 otherwise.
NumberOfChromosomesCovered	110	Number of chromosomes with 1 or more aligned reads.
deletionLoci	15007	Number of observed deletion loci
insertionLoci	9626	Number of observed insertion loci
deletionEventCt	43679	Number of times deletions are observed in a read
insertionEventCt	18011	Number of times insertions are observed in a read
highCoverageDeletionLoci	387	Number of high-coverage deletion loci.
highCoverageInsertionLoci	323	Number of high-coverage insertion loci
NumReadsAtMaxReadLength_R1	18555437	Number of read-1 reads at the max length.
NumReadsAtMaxReadLength_R2	0	Number of read-2 reads at the max length.
NumReadsTruncated_R1	0	Number of read-1 reads that are not at the max length.
NumReadsTruncated_R2	0	Number of read-2 reads that are not at the max length.
NumReadsTruncated_25pct_R1	0	Number of read-1 reads that are truncated to less than 25% of the max length
NumReadsTruncated_25pct_R2	0	Number of read-2 reads that are truncated to less than 25% of the max length
NumReadsTruncated_50pct_R1	0	Number of read-1 reads that are truncated to less than 50% of the max length
NumReadsTruncated_50pct_R2	0	Number of read-2 reads that are truncated to less than 50% of the max length
NumReadsTruncated_75pct_R1	0	Number of read-1 reads that are truncated to less than 75% of the max length
NumReadsTruncated_75pct_R2	0	Number of read-2 reads that are truncated to less than 75% of the max length
READ_LENGTH	51	The read length.
COMPLETED_WITHOUT_WARNING	0	0 if complete without throwing any warnings. 1 if warnings were thrown.
QoRTs_initTimeStamp	1643225122034	Time stamp for when QoRTs QC began.
QoRTs_samDoneTimeStamp	1643226294556	Time stamp for when QoRTs QC finished SAM iteration.
QoRTs_majorVer	1	QoRTs major version number
QoRTs_minorVer	3	QoRTs minor version number
QoRTs_patchVer	6	QoRTs patch version number
QoRTs_compileTimeStamp	1537888906	The timestamp for when the version of QoRTs was built.
COMPLETED_WITHOUT_ERROR	1	1 if QoRTs completed without errors. If QoRTs encountered an error, this file should not exist.
