Module	Section	Sample Name	Source
Salmon	all_sections	ociaml3_t_2	/data_gilbert/home/aarab/Projects/Decitabine-treatment/RNA-seq/quants/ociaml3_t_2/libParams/flenDist.txt
Salmon	all_sections	ociaml3_t_3	/data_gilbert/home/aarab/Projects/Decitabine-treatment/RNA-seq/quants/ociaml3_t_3/libParams/flenDist.txt
Salmon	all_sections	ociaml3_u_1	/data_gilbert/home/aarab/Projects/Decitabine-treatment/RNA-seq/quants/ociaml3_u_1/libParams/flenDist.txt
Salmon	all_sections	ociaml3_u_2	/data_gilbert/home/aarab/Projects/Decitabine-treatment/RNA-seq/quants/ociaml3_u_2/libParams/flenDist.txt
Salmon	all_sections	ociaml3_u_3	/data_gilbert/home/aarab/Projects/Decitabine-treatment/RNA-seq/quants/ociaml3_u_3/libParams/flenDist.txt
Salmon	all_sections	thp1_t_1	/data_gilbert/home/aarab/Projects/Decitabine-treatment/RNA-seq/quants/thp1_t_1/libParams/flenDist.txt
Salmon	all_sections	thp1_t_2	/data_gilbert/home/aarab/Projects/Decitabine-treatment/RNA-seq/quants/thp1_t_2/libParams/flenDist.txt
Salmon	all_sections	thp1_t_3	/data_gilbert/home/aarab/Projects/Decitabine-treatment/RNA-seq/quants/thp1_t_3/libParams/flenDist.txt
Salmon	all_sections	thp1_u_1	/data_gilbert/home/aarab/Projects/Decitabine-treatment/RNA-seq/quants/thp1_u_1/libParams/flenDist.txt
Salmon	all_sections	thp1_u_2	/data_gilbert/home/aarab/Projects/Decitabine-treatment/RNA-seq/quants/thp1_u_2/libParams/flenDist.txt
Salmon	all_sections	thp1_u_3	/data_gilbert/home/aarab/Projects/Decitabine-treatment/RNA-seq/quants/thp1_u_3/libParams/flenDist.txt
Salmon	all_sections	hl60_120h_t_1	/data_gilbert/home/aarab/Projects/Decitabine-treatment/RNA-seq/quants/hl60_120h_t_1/libParams/flenDist.txt
Salmon	all_sections	hl60_120h_t_2	/data_gilbert/home/aarab/Projects/Decitabine-treatment/RNA-seq/quants/hl60_120h_t_2/libParams/flenDist.txt
Salmon	all_sections	hl60_120h_u_1	/data_gilbert/home/aarab/Projects/Decitabine-treatment/RNA-seq/quants/hl60_120h_u_1/libParams/flenDist.txt
Salmon	all_sections	hl60_120h_u_2	/data_gilbert/home/aarab/Projects/Decitabine-treatment/RNA-seq/quants/hl60_120h_u_2/libParams/flenDist.txt
Salmon	all_sections	hl60_6h_t_1	/data_gilbert/home/aarab/Projects/Decitabine-treatment/RNA-seq/quants/hl60_6h_t_1/libParams/flenDist.txt
Salmon	all_sections	hl60_6h_t_2	/data_gilbert/home/aarab/Projects/Decitabine-treatment/RNA-seq/quants/hl60_6h_t_2/libParams/flenDist.txt
Salmon	all_sections	hl60_6h_u_1	/data_gilbert/home/aarab/Projects/Decitabine-treatment/RNA-seq/quants/hl60_6h_u_1/libParams/flenDist.txt
Salmon	all_sections	hl60_6h_u_2	/data_gilbert/home/aarab/Projects/Decitabine-treatment/RNA-seq/quants/hl60_6h_u_2/libParams/flenDist.txt
Salmon	all_sections	hl60_72h_t_1	/data_gilbert/home/aarab/Projects/Decitabine-treatment/RNA-seq/quants/hl60_72h_t_1/libParams/flenDist.txt
Salmon	all_sections	hl60_72h_t_2	/data_gilbert/home/aarab/Projects/Decitabine-treatment/RNA-seq/quants/hl60_72h_t_2/libParams/flenDist.txt
Salmon	all_sections	hl60_72h_u_1	/data_gilbert/home/aarab/Projects/Decitabine-treatment/RNA-seq/quants/hl60_72h_u_1/libParams/flenDist.txt
Salmon	all_sections	hl60_72h_u_2	/data_gilbert/home/aarab/Projects/Decitabine-treatment/RNA-seq/quants/hl60_72h_u_2/libParams/flenDist.txt
