gene_name	hl60_120h_log2FC	hl60_120h_pvalue	hl60_72h_log2FC	hl60_72h_pvalue	hl60_6h_log2FC	hl60_6h_pvalue	kg1_log2FC	kg1_pvalue	molm13_log2FC	molm13_pvalue	molm14_log2FC	molm14_pvalue	ociaml3_log2FC	ociaml3_pvalue	skm1_log2FC	skm1_pvalue
ENSG00000002016	RAD52	-0.106994058174296	0.353006351086786	-0.096164460019513	0.627720495422893	0.0246744326289524	0.843748736718365	0.461961398382725	0.116898465501038	1.37356524445712	0.00169221279236331	0.445876420655919	0.0628569590700916	0.0332271611651313	0.76168428446215	0.269171360775777	0.0240298581391637
ENSG00000002330	BAD	0.24483384897689	0.150439750921369	-1.3182091841002	0.164844071810283	0.61149115461287	0.180172875374649	-0.20325033493994	0.146203459387663	-0.182441584976307	0.102355148025275	0.339287153126269	0.246868888842309	-0.513733124884356	0.2407684471124	0.141303828563769	0.352289409068467
ENSG00000002549	LAP3	0.0703524868783057	0.724645617677637	0.0591604091470033	0.777592052739218	0.0234536459970376	0.830644707979102	0.0778947418923996	0.432921616183693	-0.260268615145385	0.195784498461174	-0.102414926017967	0.44194148744313	0.31350207416486	0.0531779691592565	-0.112197892323538	0.304057065728496
ENSG00000002586	CD99	0.106236498339252	0.516253103930022	0.251794154749451	0.140495891859845	0.173946271370699	0.673674753722905	0.0277970569500209	0.841992921096484	0.532472229729928	0.00271595465075181	-0.182293223178379	0.245865668315775	0.0484245659336004	0.818696395147207	-0.0194762486216001	0.676763202021229
ENSG00000002834	LASP1	-0.103009761989614	0.48033606483506	-0.0725530332444502	0.637174616326011	-0.0915225442310508	0.478721455620093	-0.0624341357041002	0.643774176648511	-0.0780616322313715	0.230297752053605	0.0806840093477189	0.505137965702854	-0.0982159932275003	0.44171318013466	-0.0506754916328704	0.374369167337207
ENSG00000002919	SNX11	0.414984488015801	0.0283169850258233	0.083402301527232	0.755904101072848	0.123255157380539	0.377267144390907	-0.358885624973139	0.0674880674160361	-0.103361940126131	0.0794694582645247	-0.12203126733132	0.514708375585908	-0.13165947526059	0.673603354404032	-0.21191495280671	0.0441699231203129
ENSG00000003056	M6PR	0.0292030774440193	0.837509473529656	-1.22652317330159	0.171217888542882	-0.109719835607332	0.521306011051104	-0.134858317274226	0.435056842186206	0.128637922862206	0.0759196535392182	0.0220649738988236	0.874700777725626	-0.295229920134046	0.0455665136312338	-0.0941946385326995	0.237082600828282
ENSG00000003147	ICA1	-1.17237217182251	0.0423039731020604	-0.0311434700736397	0.946583361161896	-0.550866622125091	0.409493849298792	-0.118125991117653	0.349475197170038	-0.227584683291831	0.465050788826396	0.101095729642159	0.749709507942242	0.840276239109614	0.00840847585696506	-0.0215897655379453	0.868283425611961
ENSG00000003393	ALS2	-0.0610754908130819	0.533203162202508	-0.125183605259648	0.371505956022217	0.155372959230179	0.173267940787426	-0.238780117667547	0.0569144083206193	0.09603936044897	0.125613815026202	0.0771324112470389	0.657638384933692	-0.0683261664222123	0.71306427567762	-0.0716745771111865	0.299369609107965
ENSG00000003400	CASP10	-0.0949384947676142	0.67750564946657	-0.0132418697321204	0.938208925232647	-0.0902883615564971	0.500467981420335	0.218841067806564	0.145898296320468	-0.129826433249711	0.0602628331931778	0.801198231699415	0.28914820243541	0.787263617721995	0.00315494627885263	0.153205442453375	0.258259289360329
ENSG00000003402	CFLAR	0.284496417971894	0.136924548709191	0.341053740553039	0.117830789875441	-0.112710126122742	0.426377701782732	0.167693895336372	0.176313048020756	0.0108774009012582	0.913643217132553	0.0126729467097128	0.952297363582309	0.181478668342837	0.306795205010414	0.0376378462487688	0.545148570969206
ENSG00000003509	NDUFAF7	-0.173443037513814	0.457111638567579	-0.10460338525605	0.533306895136819	-0.0351177761572116	0.824617115576081	-0.187889886163831	0.274631550332011	0.306468782884889	0.0158027213634294	0.00534367919816503	0.969122973552655	-0.08461868328019	0.571179020945459	-0.17034514943157	0.101206810456131
ENSG00000003756	RBM5	0.270396032446175	0.162232497904307	0.481903355903958	0.0763685319658893	0.119523885019613	0.581652500888356	0.235228371142206	0.0883339799511303	0.0598653423012708	0.337927113110975	-0.243150492754036	0.10441883754935	0.0563861996709423	0.761627155955007	0.0164329044893237	0.860286684774373
ENSG00000003987	MTMR7	0.326847169740508	0.0277370041031398	0.11713581046955	0.400617853229204	0.118147386484176	0.25779411022077	0.118307358621161	0.524864738619421	0.414947244654469	0.00365482266029165	-0.276036551805372	0.358578454132044	-0.27298615989516	0.172980482180904	0.123918488421821	0.1873597481623
ENSG00000003989	SLC7A2	0.37773519024603	0.0281643035002039	-0.0568940677558871	0.740658273658615	0.166403814624716	0.256939341210171	1.84305557615366	0.126951216042111	0.638895752929464	0.000523212045691757	0.352309211495816	0.0330202402466065	0.134622660275032	0.533607193446463	0.54106503807814	0.000206929867955783
ENSG00000004059	ARF5	0.278144355804131	0.180980927387171	-0.034679431521503	0.910726311807986	0.103309961080398	0.653166593181038	0.00578418387483204	0.977811542228704	0.157969107037439	0.122881033880733	0.0226614248798176	0.928495262894847	-0.0492592171866341	0.663286499262554	-0.0306731201078611	0.626850244712531
ENSG00000004139	SARM1	-0.361756228028623	0.383956871593573	0.890419071781	0.0157064332708845	0.432404075006883	0.0485655389640962	0.116782866058396	0.595262074901018	1.50228717166982	0.00294729584487982	2.41868388028456	0.000863201851916299	-0.403231927337402	0.0261400154166313	0.0716612873466869	0.436407829187608
ENSG00000004142	POLDIP2	-0.64436018296737	0.00672304458947272	-0.410460149801447	0.101310888523197	0.199186941702191	0.107779461931	-0.209692867328855	0.140090224129148	-0.176286409886244	0.0389831943181387	-0.126837764220234	0.360511487608872	-0.452009520733501	0.0415693583923004	-0.32240113248215	0.0127945750564844
ENSG00000004399	PLXND1	-0.261877198302317	0.0925548366622094	-0.525123670227153	0.138659595612642	-0.0571229275059202	0.56414341953324	NA	NA	1.78584870713202	0.00994298843702849	0.342339358788525	0.0304142416809548	0.767662506093968	0.205034963146983	0.228431895338154	0.00617463091085626
ENSG00000004455	AK2	-0.123012540394579	0.290193828160399	-0.0645567099104187	0.643125537520564	-0.0857001388020871	0.40840053625194	-0.0887656233641199	0.739081839258019	0.160880395496172	0.0303125071100999	0.123663090773549	0.297529413521771	-0.0683423517000347	0.563819246552454	-0.142485304888598	0.023755495145671
ENSG00000004468	CD38	0.0179476241235573	0.877937350172576	-0.123288802334929	0.540436410552731	0.0934961661183648	0.438085420962565	0.228507932857086	0.100654025912357	-0.467150328378653	0.181655733616282	0.444768872509696	0.292096406287222	0.169810160389028	0.481869235899414	NA	NA
ENSG00000004478	FKBP4	-0.0628930032635633	0.505226155947848	0.0549077537959621	0.833892623352303	0.00170802471220804	0.985633142183343	0.239065618371738	0.0550730337185892	0.0488406356316584	0.684128585965247	-0.114956381146673	0.603440263225349	-0.189349618876074	0.155317936693345	-0.0638076889016007	0.590910397978843
ENSG00000004487	KDM1A	-0.0892923249936714	0.393810860692755	0.00464448552255331	0.975594265975831	-0.132073537341096	0.236738716419899	-0.170029455502276	0.106142523626835	0.0384434130229013	0.623082666217458	-0.106058466935727	0.424637515481046	-0.0793663352383697	0.563837497736849	-0.0466913989169006	0.42431659981683
ENSG00000004534	RBM6	-0.318881103855279	0.0260546847321429	-0.0321140608372815	0.84474579577462	-0.0311634312985008	0.75147371264386	-0.271759431802504	0.217241399920165	0.0388797917762058	0.508839419262267	-0.42815393955339	0.236956018479152	-0.422433026441043	0.373398004371873	-0.578979358283908	0.000143313712182832
ENSG00000004660	CAMKK1	-0.0719204474288892	0.772782556272271	-0.00156650812691278	0.994159510201213	0.315220336236737	0.255764020948389	0.0934880871926766	0.570991018334116	-0.0778591359571392	0.559645906323438	0.55886467701971	0.0945882525117405	-0.503017760672371	0.0469226318241625	0.000977089379516738	0.993645711794957
ENSG00000004700	RECQL	0.0428138580702225	0.733156951192717	0.262038234658127	0.143893809728912	-0.070407207014108	0.555874224037049	-0.126045906977516	0.334368720108333	1.16900376216217	0.00416403898295938	0.352802884110936	0.134740809645633	-0.146137453011286	0.297652041100207	0.129595731738884	0.0673742901873635
ENSG00000004766	VPS50	-0.0559814121860641	0.613756693146121	-0.109771169036173	0.461063410400038	0.0426757065091474	0.737897291581965	-0.218263938723379	0.0737265612409996	-0.224004065179669	0.0329455864666233	0.214458577833092	0.194708893289463	0.212425012469465	0.214827958791782	-0.145607932340354	0.0756485586773623
ENSG00000004777	ARHGAP33	0.555657836974614	0.15107875273255	0.21926542753671	0.285209804269581	0.0782996298800906	0.640836611205357	0.456429802277064	0.303527218380062	0.345494064964989	0.0332294425185267	0.147729955004177	0.580663122708241	0.314154832940153	0.14720506477612	0.102244297016083	0.364372299980342
ENSG00000004779	NDUFAB1	0.248366145207325	0.144917669788545	0.186757883005969	0.545605494205509	0.198006234631473	0.225220848931651	-0.933558383361207	0.0879791939547705	-0.417604304204021	0.24421348287781	-0.789008867574275	0.116887222065962	-0.0767173150452615	0.856905993807816	0.46796100764338	0.202530686747426
ENSG00000004809	SLC22A16	0.367291599499564	0.0297750722742406	-0.161110260165406	0.372651448994827	0.0414370239190992	0.698064371482011	0.749449667843118	0.0414779508560098	0.252906964717944	0.301583294575263	0.674638557732729	0.227627039848853	-0.517908271303169	0.597684007176332	-0.211528159046052	0.146433470868589
ENSG00000004838	ZMYND10	0.25451451071292	0.259303061749935	0.0348759711659693	0.893284121724446	-0.05607318211851	0.767312406780987	0.419241229711825	0.17982725438496	-0.0238505821403478	0.874036184547301	-0.545572847124207	0.0807355750019068	0.43566358348608	0.0728971514722374	0.367966501533967	0.0215289577212651
ENSG00000004866	ST7	-0.647780068354139	0.00818315521800377	-0.62195091811534	0.00753725478165426	0.0132607506579697	0.89762897078488	-0.373912982902633	0.585816982790225	-0.232046506213195	0.00695928559352453	-0.208142704511249	0.152965216097187	-0.196378583028291	0.273482808283829	-0.455909718077249	0.000119741672273206
ENSG00000004897	CDC27	-0.352109856294063	0.0212605607098206	-0.0631845367536336	0.674281944801201	-0.0381748306915786	0.70390717460028	0.0912224076071204	0.448990351541091	-0.369310595852794	0.000933975031030314	-0.446123214068331	0.00876297700072105	-0.130634086528495	0.367175727628746	-0.377796228523934	0.000815925574161016
ENSG00000004961	HCCS	-0.570046276538032	0.0161115604254969	-0.0427781891996931	0.788272198468143	0.0733028195882992	0.744068539038292	-0.1850347846646	0.385183979380287	0.0091984243329845	0.911210971190621	0.0148726161263091	0.940097292276762	0.0503169662719654	0.804847874470921	-0.156287215021853	0.235829992879616
ENSG00000004975	DVL2	0.32556056810672	0.479686981614849	-0.481472110484624	0.0703298762869473	0.00605892667210967	0.974318749961295	-0.427402898291108	0.00516249028241022	-0.366227284281846	0.0223079031873313	-0.064070123876232	0.801998109609892	0.0641095011425533	0.592586259482674	-0.309094347253571	0.0460926432422299
ENSG00000005007	UPF1	-0.318325670570185	0.0357559769370644	-0.155852421358083	0.374495338496323	0.0653463408956351	0.599295464726399	-0.11466588924503	0.246338084802373	-0.191842878842962	0.015087796473436	-0.172946010375786	0.166975651439187	-0.209976905806905	0.163296792588315	-0.137125747245101	0.0223981334519799
ENSG00000005020	SKAP2	0.0827292090862093	0.539119427327648	0.0478374175473132	0.714747287009471	-0.230703086056875	0.0882924223493792	0.185388338612969	0.102081486711627	-0.234955591050736	0.00840571975298992	0.180702588110269	0.141459345158572	0.436727712774901	0.0224105710798014	0.111843626321233	0.0381673784992532
ENSG00000005022	SLC25A5	-0.152495918507629	0.404596466610628	-0.0818255234321857	0.667048465128891	-0.028213973215085	0.879935301279812	0.0286057970494971	0.826708480005415	-0.18363522474437	0.0308996346153188	-0.0446628971267622	0.702451555136324	-0.174527956916761	0.286010531374193	-0.115881127249082	0.135538950282526
ENSG00000005059	MCUB	NA	NA	NA	NA	NA	NA	-0.0327304762690105	0.827062659147194	-0.0577232702734012	0.509349891130089	0.00345203402589678	0.986304924275145	0.0762307448233667	0.615306821448174	1.50644762612788	0.00142298398548375
ENSG00000005075	POLR2J	0.124055785817498	0.316186404847689	0.534056453875829	0.0485003640488047	-0.211912918617471	0.301091791715043	-0.50898771016525	0.0546614172219886	0.134742771251577	0.066300098325275	-0.284120851675585	0.14540043579466	-0.173961149952783	0.523961844391608	0.0584878251956497	0.70145646351941
ENSG00000005100	DHX33	-0.0755157316475442	0.820246995821962	0.62693683535765	0.20989272585116	0.158031691654017	0.809913583867681	0.0538553906314102	0.695608648939737	-0.101797947679569	0.209217994718285	0.0361789599995237	0.820731764910324	-0.119504619249645	0.526675003262712	-0.0373740021075331	0.58355436479506
ENSG00000005156	LIG3	-0.0548834476686974	0.579002220909365	0.267555266637093	0.184454731034628	-0.125519131463108	0.429640170383963	0.0248096888171342	0.809423843565133	-0.192656633782699	0.0195802456669162	-0.0818301475035687	0.53481952199492	-0.0944841286277875	0.447901442957122	-0.241867589673622	0.0242118379173624
ENSG00000005175	RPAP3	-0.320920583550086	0.0493924679179177	-0.0307920940509568	0.851559092776396	-0.0553154115438971	0.610818627725534	0.0291044142287226	0.760590462135597	0.113521308821293	0.128932561579521	-0.154684363040111	0.322195711563547	-0.0549990149811351	0.625729934534405	-0.130931165322293	0.500093190272171
ENSG00000005187	ACSM3	-0.324706803065647	0.0329000299137672	-0.514163124250153	0.029774858470498	-0.00313067532584133	0.981730520633171	0.0894185683327902	0.453002570219351	-0.159207252893933	0.0673134370403477	-0.31587816465932	0.279100110217451	NA	NA	-0.021670042400871	0.847248867759354
ENSG00000005189	AC004381.6	0.180704041087489	0.164151688897146	0.0869034640587424	0.54829804313762	-0.0523087438165935	0.78315101589478	-0.221003000389521	0.313748682860754	0.161234329795951	0.473738665923569	0.54928241158447	0.00603264476101446	0.612343052808445	0.0256691390656084	0.259833171221053	0.0387639349030765
ENSG00000005194	CIAPIN1	-0.309056664053207	0.106957802723532	-0.151030231660794	0.294103516828469	-0.011378711335005	0.902854808924303	0.0408844629698462	0.786927274600142	-0.335928221759452	0.00579934247057958	-0.252794123628075	0.237651269840696	-0.197569164933804	0.353492251013742	-0.201842862235007	0.0331253521854174
ENSG00000005206	SPPL2B	0.386982805876424	0.0607334868323181	-0.136710899159894	0.548050845299097	0.361102122333	0.0605045169060331	-0.0191795197392145	0.8902810885095	-0.305498045992829	0.0559649386272749	-0.0256920443876132	0.871231396968233	-0.0500813982609179	0.852729645602951	1.32231601641862	0.108451611619114
ENSG00000005238	FAM214B	1.12393799919615	0.000535978188079565	0.171224461222589	0.438849392662826	-0.192006734707785	0.292249460589555	0.438001906772368	0.292529495901181	0.301177530634573	0.0392674639509666	0.808731023425182	0.0135512806865834	0.0476374620077121	0.850624946569838	0.558676485024185	2.47689274016089e-05
ENSG00000005249	PRKAR2B	NA	NA	NA	NA	-0.482612869639735	0.0686008253638152	0.0155275309386695	0.917862770033274	-0.333385245524678	0.0858774626296753	-0.0995916046289478	0.50131052199284	0.554552537021366	0.159145567761839	0.00779631216868293	0.925178677091629
ENSG00000005302	MSL3	-0.313727815866255	0.146682543258846	0.691631543112833	0.00646173393433961	0.432430121899005	0.010927576726465	0.171753022680947	0.311183794641758	0.102990081571567	0.455491090652874	-0.129703925084406	0.780853228315114	-0.389205302923174	0.183236084806959	0.192953013895701	0.148477752241722
ENSG00000005339	CREBBP	-1.26608355961905	0.0223100424518049	-0.291552004459627	0.459083561865556	-0.344639360870217	0.275455775838944	-0.160825008312973	0.250867485939462	-0.533667570832538	0.166307849935913	-0.33884692712118	0.0758087026761645	0.0437601871805417	0.883882346583063	-0.58861249962407	0.00405774450634686
ENSG00000005379	TSPOAP1	0.598836651507834	0.0998080143817524	1.2052035230157	0.158007681317132	0.546565365006339	0.105926813494539	0.0652917000254478	0.645840505392447	-0.426169836552016	0.0206719790304658	-0.287168857972238	0.0920691399526022	-3.40010472780693	0.00453484943672961	0.0245447017452673	0.618789212367092
ENSG00000005381	MPO	0.390505415808491	0.0424317378778004	0.311212440677509	0.13094864008476	-0.148044935273743	0.188816729413881	-0.566425724983838	0.0543662673677197	0.0766179113291465	0.253987742856845	0.0253474293788042	0.91927684012197	0.989620178324848	0.167410141419204	0.826713105366382	2.93903147673879e-05
ENSG00000005436	GCFC2	-0.0743377424388739	0.501412812125633	-0.0963403915081356	0.530760326750691	-0.115241139980386	0.461791380107676	-0.0653424199505813	0.630590568607229	0.180908268445244	0.0656249649137736	-0.137656311118101	0.297093548566999	-0.0673324286082275	0.697410965505398	0.0300340063123745	0.622334218119409
ENSG00000005469	CROT	-0.553792273655113	0.180460582471533	0.594442715749403	0.0814555855454556	0.729379287622053	0.0337201578366445	0.192340848307658	0.296221580870022	-0.0781281990978919	0.550223297161478	1.09180544290018	0.090099633928611	-0.436937078223727	0.106483436127584	0.130270743800465	0.317472928871026
ENSG00000005471	ABCB4	-0.585667380552773	0.103215842913977	NA	NA	NA	NA	0.0898588126903022	0.599672734683827	0.168710954857422	0.521212414347726	NA	NA	0.17646088899987	0.285421730566419	0.360025091756931	0.481524642195725
ENSG00000005483	KMT2E	0.179786244858976	0.142238276933285	1.2846511598428	0.0114631913583808	-0.881274168750417	0.0647912064190815	0.0877501594650833	0.513065187247265	-0.0572671422886448	0.278467288304688	-0.0603015441044351	0.56611157794066	0.138496190615646	0.243240649481755	0.0192610260800807	0.70786284988972
ENSG00000005486	RHBDD2	0.952321293363301	0.149241905490048	0.950842386394009	0.069359724914297	0.117575750796573	0.617718324367011	0.0231940100956931	0.907357889836127	0.1727698776641	0.0191580170387514	-0.41604606652023	0.0315133934013869	-0.272382905921034	0.222220318718135	-0.202004546540629	0.29041757495163
ENSG00000005700	IBTK	0.187048953837215	0.170006444008876	0.349969467481983	0.115936373963523	0.0262009572387179	0.804215835534516	-0.0701045271252524	0.487423004512645	0.0748628475456223	0.330263509193233	0.0775235476340426	0.586319414022129	0.0991033566783359	0.534133646253235	0.16327158046204	0.0261415407750131
ENSG00000005801	ZNF195	-0.226014780695313	0.199880964765952	-0.402839064486529	0.247601233480446	0.322332836249321	0.180402751238297	-0.279920985151533	0.145063833739135	0.00621103629219061	0.915328374189776	-0.279160855861343	0.37853000013516	-0.158731630848057	0.735318087751405	-0.263804843553762	0.0130343624931249
ENSG00000005810	MYCBP2	-0.0165194778202761	0.879513083424946	0.28148521312718	0.0875645138255261	-0.0587672040794981	0.635575884448743	-0.0727928521196659	0.444639303612158	0.119832599732018	0.388129579866629	0.0776813872211926	0.478008137785276	0.0505423616157033	0.65906592393401	0.149121147661903	0.0816269129083491
ENSG00000005812	FBXL3	0.106389811933907	0.348748078517133	0.220873790137603	0.205408191745979	-0.169265384656838	0.202985220849582	0.0723357142292901	0.686858573153396	-0.506629033150739	0.000852756093230743	0.0708033691411269	0.743532350140479	0.00158621681876733	0.990617882376192	-0.135522289055751	0.0530214405029151
ENSG00000005844	ITGAL	0.102017394275964	0.56672911876652	0.561976277199398	0.0861762751425321	-0.0292603924185826	0.852675350186265	0.0463245712376189	0.708594224144867	-0.00884930950834528	0.879242497484339	-0.13069229701695	0.335083768592657	0.0612080124392277	0.579906297293862	0.447716297090366	0.00126633085044585
ENSG00000005882	PDK2	NA	NA	-1.54933218265569	0.00447856564235609	-0.158483250452697	0.917800051708449	0.0561652283185659	0.800232241410262	-0.203282875583598	0.106208832421087	-0.08163552565833	0.863541943699467	0.150049407111319	0.764677734816957	-0.220252692662009	0.189836692750801
ENSG00000005889	ZFX	0.190118328471547	0.182143761186119	0.170999005014277	0.24988906212375	0.0308015201248383	0.753682123554482	-0.03913132114529	0.68755322105372	-0.184243836375896	0.0278935922583578	0.0428363725403498	0.772994773533604	0.0897615398643314	0.444900076361455	-0.0213229280544656	0.669071693026233
ENSG00000005893	LAMP2	0.344725724882022	0.10189378302356	-0.181210132048586	0.341393734454506	0.178247020755593	0.266613863973843	-0.341045401959348	0.0403842146097621	0.908071339338464	0.000935045584353725	0.135106535065005	0.517796052600662	0.145630432114804	0.410651242289635	0.36590492975747	0.00710240301267685
ENSG00000005961	ITGA2B	0.989512040270536	0.285914791198606	1.14793211253862	0.00365232698291155	1.02368121983806	0.108603857174165	-0.112554624327627	0.407475648237168	-0.235522296624101	0.17665074129842	-0.148086495158678	0.877912297571212	0.71451554911076	0.0311016862833898	-0.942102668913087	0.00126775583494137
ENSG00000006007	GDE1	-0.120484470051723	0.512220291585972	-0.456548833381155	0.0941558151204008	0.0170268413674903	0.858376674879539	-0.0161149273017962	0.944666343752223	0.163069366423903	0.228130071239325	0.10330107410271	0.792409106205397	-0.0350560627876482	0.886804359006782	0.0360015878444534	0.672088628966683
ENSG00000006015	C19orf60	-0.279267554376812	0.49209713911397	-0.14530615263334	0.3985691802128	0.533339906884322	0.0936428063731086	-0.0104973646849216	0.958076899136662	0.0455466929337037	0.468275679561346	0.124245050237544	0.437550544717288	0.0785787925393964	0.649963529142989	0.165936822131479	0.109716381635852
ENSG00000006025	OSBPL7	-0.780265169216884	0.0395239445706198	-0.326896753612467	0.166139591370407	-0.0147901189236353	0.965552200852054	-0.0935300351900384	0.588454321395539	0.312721415927905	0.00366336328556171	0.215121297590199	0.228766110208799	0.297669493648965	0.373387248677115	-0.0464083571108463	0.564072444221613
ENSG00000006062	MAP3K14	0.407821480043878	0.233534593297957	0.0637942500911956	0.730992999478167	0.272746662488073	0.360191179434087	0.0978788758113119	0.366388910718485	0.600546234759591	0.064078053374889	1.48683982532298	0.0644041409516511	0.452053812906923	0.0753431801224588	-0.0898078261526717	0.343517612792825
ENSG00000006125	AP2B1	-0.116548430231527	0.585513239482229	-0.170975247672933	0.498515854655678	0.226828363177485	0.220454091326439	-0.0458598503443818	0.721098343178916	0.100096378057294	0.180500346315728	0.29551547865485	0.052969587127749	0.116507415347773	0.325384419522074	-0.0486880936510877	0.32658094116524
ENSG00000006194	ZNF263	-0.366208884252345	0.0243380254074601	-0.245043448537016	0.197649850390904	0.0576366199543444	0.580146837043188	-0.27584665848584	0.0505470547954348	-0.0942394316645165	0.245934994057701	0.245929390930165	0.165247138179363	-0.341083498809826	0.221938826325367	-0.193094842047428	0.0472947388848317
ENSG00000006282	SPATA20	-0.201248938363881	0.714082009300426	0.623954617241815	0.0928020891598571	0.566388271154974	0.323783475453263	0.0558143575968465	0.879957026395828	0.0572275930593391	0.654700990090924	0.580290127089984	0.286703861964554	-0.0326572849517954	0.800828252920108	0.206307304511478	0.165472171170814
ENSG00000006327	TNFRSF12A	1.03363793470076	0.000545344395908101	0.195822003329313	0.494045380214033	-0.665263581558902	0.0159554654292697	-0.0883539592403198	0.837200663748811	-0.936796765502268	0.00582035432304554	0.185254708458414	0.235904985816756	-0.376531545310076	0.387938849754797	0.514538851639161	0.02329502748083
ENSG00000006432	MAP3K9	0.885172121056984	0.529064478152966	0.566757447819056	0.148197437742962	-0.382060324523561	0.0870761580283064	0.36060353407124	0.366304532112946	0.786317354553506	0.0217263850677848	0.534951590499933	0.314750688609201	0.447097316612646	0.263227066989601	-0.0934154651516148	0.112291926695857
