GO	[-1.86 -0.20]	[-0.20 -0.14]	[-0.14 -0.10]	[-0.10 -0.07]	[-0.07 -0.04]	[-0.04 -0.01]	[-0.01 0.02]	[0.02 0.05]	[0.05 0.10]	[0.10 0.17]	[0.17 0.62]
GSE22886_NAIVE_VS_MEMORY_TCELL_DN GSE22886_NAIVE_VS_MEMORY_TCELL_DN	0.459	-0.794	2.014	0.946	-0.316	-0.794	-0.512	0.286	-2.641	1.615	-0.787
MORF_DAP3 MORF_DAP3	-0.302	0.464	-2.136	-0.475	0.464	-1.051	0.300	-2.136	1.896	0.669	1.543
GSE11961_GERMINAL_CENTER_BCELL_DAY7_VS_PLASMA_CELL_DAY7_DN GSE11961_GERMINAL_CENTER_BCELL_DAY7_VS_PLASMA_CELL_DAY7_DN	0.225	2.760	0.964	-0.681	0.656	-1.880	0.656	0.225	-1.133	-0.394	-1.126
GSE43863_NAIVE_VS_MEMORY_LY6C_INT_CXCR5POS_CD4_TCELL_D150_LCMV_UP GSE43863_NAIVE_VS_MEMORY_LY6C_INT_CXCR5POS_CD4_TCELL_D150_LCMV_UP	2.306	-1.837	-0.374	-0.374	-1.099	1.004	0.238	1.382	-0.654	0.430	-1.092
GSE21546_WT_VS_SAP1A_KO_DP_THYMOCYTES_DN GSE21546_WT_VS_SAP1A_KO_DP_THYMOCYTES_DN	0.648	-0.455	1.399	-1.501	-0.234	-1.501	-0.455	1.876	-0.833	-0.455	0.995
GARGALOVIC_RESPONSE_TO_OXIDIZED_PHOSPHOLIPIDS_BLUE_UP GARGALOVIC_RESPONSE_TO_OXIDIZED_PHOSPHOLIPIDS_BLUE_UP	1.668	-1.040	-1.040	1.154	1.154	-0.222	-1.040	-0.222	-0.222	0.397	-1.036
GSE19198_CTRL_VS_IL21_TREATED_TCELL_24H_DN GSE19198_CTRL_VS_IL21_TREATED_TCELL_24H_DN	0.528	-0.552	-0.552	-0.964	-1.669	-0.552	2.091	-0.552	0.823	-0.552	2.103
KAECH_DAY8_EFF_VS_DAY15_EFF_CD8_TCELL_DN KAECH_DAY8_EFF_VS_DAY15_EFF_CD8_TCELL_DN	2.382	-0.628	0.253	-1.795	-0.628	-1.065	0.718	-0.628	1.435	-0.628	0.724
GO_OXIDOREDUCTION_COENZYME_METABOLIC_PROCESS GO_OXIDOREDUCTION_COENZYME_METABOLIC_PROCESS	-1.082	-0.241	-0.241	0.685	-1.082	-0.522	-1.082	0.685	0.685	-0.522	2.827
GSE18281_PERIMEDULLARY_CORTICAL_REGION_VS_WHOLE_CORTEX_THYMUS_UP GSE18281_PERIMEDULLARY_CORTICAL_REGION_VS_WHOLE_CORTEX_THYMUS_UP	-1.031	1.090	-0.603	-1.753	0.477	-0.337	0.752	0.268	1.090	-1.753	1.098
KAECH_NAIVE_VS_DAY8_EFF_CD8_TCELL_DN KAECH_NAIVE_VS_DAY8_EFF_CD8_TCELL_DN	0.319	0.556	-1.627	0.319	1.671	-1.627	1.234	-0.931	-0.931	0.556	0.322
GO_REGULATION_OF_GLUCOSE_METABOLIC_PROCESS GO_REGULATION_OF_GLUCOSE_METABOLIC_PROCESS	0.362	-0.664	-0.248	-0.664	3.578	-0.248	-0.664	0.763	-0.664	0.362	-0.662
GSE34156_UNTREATED_VS_24H_NOD2_LIGAND_TREATED_MONOCYTE_UP GSE34156_UNTREATED_VS_24H_NOD2_LIGAND_TREATED_MONOCYTE_UP	-0.664	-0.664	3.578	-0.248	0.362	-0.664	0.362	0.763	-0.248	-0.664	-0.662
GSE25890_CTRL_VS_IL33_IL7_TREATED_NUOCYTES_DN GSE25890_CTRL_VS_IL33_IL7_TREATED_NUOCYTES_DN	1.181	0.422	0.883	0.883	0.883	-0.551	0.630	-2.726	-1.256	-0.346	-1.247
GSE3982_DC_VS_MAC_LPS_STIM_UP GSE3982_DC_VS_MAC_LPS_STIM_UP	-0.560	1.727	-2.217	0.271	0.271	1.727	-0.560	-0.900	1.332	-0.333	-0.894
ZHOU_CELL_CYCLE_GENES_IN_IR_RESPONSE_24HR ZHOU_CELL_CYCLE_GENES_IN_IR_RESPONSE_24HR	0.268	1.090	0.477	-1.031	3.645	-1.031	0.477	-0.337	-0.603	-1.031	-1.025
MORF_MAP2K2 MORF_MAP2K2	-1.133	0.225	-1.880	-0.394	-1.133	0.225	0.656	0.225	1.755	-0.394	2.244
GSE43863_NAIVE_VS_MEMORY_LY6C_INT_CXCR5POS_CD4_TCELL_D150_LCMV_DN GSE43863_NAIVE_VS_MEMORY_LY6C_INT_CXCR5POS_CD4_TCELL_D150_LCMV_DN	-1.133	-0.394	0.225	4.632	0.409	0.225	-0.394	-1.133	-0.394	0.656	-1.126
GSE33513_TCF7_KO_VS_HET_EARLY_THYMIC_PROGENITOR_UP GSE33513_TCF7_KO_VS_HET_EARLY_THYMIC_PROGENITOR_UP	-0.957	-0.957	-0.957	0.199	1.845	-0.957	0.457	0.199	0.199	1.845	0.200
REACTOME_CELL_CELL_COMMUNICATION REACTOME_CELL_CELL_COMMUNICATION	0.685	0.371	-0.522	2.816	-1.082	-1.082	-1.082	0.371	-0.241	-0.522	0.689
GSE24634_TEFF_VS_TCONV_DAY7_IN_CULTURE_UP GSE24634_TEFF_VS_TCONV_DAY7_IN_CULTURE_UP	-0.745	-0.288	-0.745	0.315	1.713	-2.556	1.340	1.013	0.499	-1.134	-0.284
STAMBOLSKY_TARGETS_OF_MUTATED_TP53_UP STAMBOLSKY_TARGETS_OF_MUTATED_TP53_UP	0.993	-0.352	0.566	-0.352	2.886	0.256	0.256	-0.831	-0.831	-0.831	-0.828
GO_INORGANIC_ANION_TRANSPORT GO_INORGANIC_ANION_TRANSPORT	-0.177	0.969	-0.540	-0.540	-0.540	-0.177	-0.540	-0.540	-0.540	0.476	3.287
GSE10239_MEMORY_VS_KLRG1HIGH_EFF_CD8_TCELL_DN GSE10239_MEMORY_VS_KLRG1HIGH_EFF_CD8_TCELL_DN	-0.424	1.314	0.341	0.341	-1.411	-2.024	1.314	0.743	0.341	0.743	-2.013
GSE13411_NAIVE_VS_MEMORY_BCELL_DN GSE13411_NAIVE_VS_MEMORY_BCELL_DN	-0.454	0.572	-0.256	-0.761	-1.236	-1.236	1.190	3.649	-0.761	-0.454	0.354
GO_NONMOTILE_PRIMARY_CILIUM GO_NONMOTILE_PRIMARY_CILIUM	-0.223	0.396	0.396	-0.623	-0.223	-0.623	0.396	-0.623	-0.623	-0.623	3.805
GO_PHOSPHATIDYLINOSITOL_3_KINASE_BINDING GO_PHOSPHATIDYLINOSITOL_3_KINASE_BINDING	3.256	-0.373	-0.373	-0.373	-0.373	-0.373	-0.373	-0.373	0.239	-0.373	1.389
GSE32423_IL7_VS_IL7_IL4_NAIVE_CD8_TCELL_UP GSE32423_IL7_VS_IL7_IL4_NAIVE_CD8_TCELL_UP	0.278	0.609	-0.790	-0.790	-0.790	-0.325	2.282	-0.325	-0.790	1.620	-0.323
GO_STAT_CASCADE GO_STAT_CASCADE	4.087	-0.415	0.211	-0.415	-0.415	-0.415	-0.415	-0.415	0.211	-0.415	0.643
GSE41867_NAIVE_VS_DAY6_LCMV_EFFECTOR_CD8_TCELL_DN GSE41867_NAIVE_VS_DAY6_LCMV_EFFECTOR_CD8_TCELL_DN	-0.302	-1.164	2.070	0.979	0.479	-0.769	-0.492	1.663	-1.731	-1.164	0.304
GSE3039_ALPHAALPHA_VS_ALPHABETA_CD8_TCELL_UP GSE3039_ALPHAALPHA_VS_ALPHABETA_CD8_TCELL_UP	0.773	-0.464	-0.464	0.773	-0.998	-0.204	-0.998	-0.464	0.773	-0.998	2.384
BILANGES_SERUM_RESPONSE_TRANSLATION BILANGES_SERUM_RESPONSE_TRANSLATION	-0.325	-0.790	0.278	0.609	0.278	0.609	-0.790	-0.325	-0.790	-0.790	3.049
GO_REGULATION_OF_STEROID_BIOSYNTHETIC_PROCESS GO_REGULATION_OF_STEROID_BIOSYNTHETIC_PROCESS	0.239	-0.373	-0.373	-0.373	-0.373	0.239	0.239	-0.373	-0.373	-0.373	4.461
LEE_CALORIE_RESTRICTION_MUSCLE_UP LEE_CALORIE_RESTRICTION_MUSCLE_UP	-0.373	0.239	-0.373	-0.373	0.239	-0.373	0.239	-0.373	-0.373	-0.373	4.461
GO_NEGATIVE_REGULATION_OF_LIPID_METABOLIC_PROCESS GO_NEGATIVE_REGULATION_OF_LIPID_METABOLIC_PROCESS	0.166	-0.498	0.166	-0.498	-0.498	0.524	0.524	-0.498	-0.498	-0.498	3.522
GO_TOXIN_TRANSPORT GO_TOXIN_TRANSPORT	-0.498	-0.498	0.166	0.166	-0.498	-0.498	-0.498	0.524	-0.498	3.512	0.527
FAELT_B_CLL_WITH_VH_REARRANGEMENTS_UP FAELT_B_CLL_WITH_VH_REARRANGEMENTS_UP	0.969	0.969	-0.540	2.379	-0.540	-0.177	-0.540	-0.177	-0.540	-0.540	-0.537
GO_CELLULAR_GLUCOSE_HOMEOSTASIS GO_CELLULAR_GLUCOSE_HOMEOSTASIS	-0.223	-0.223	-0.223	-0.623	2.077	-0.623	-0.623	0.825	-0.623	-0.623	1.395
GO_POLY_PURINE_TRACT_BINDING GO_POLY_PURINE_TRACT_BINDING	-0.456	-0.456	0.187	3.779	0.578	-0.456	-0.456	0.187	-0.456	-0.456	0.188
GO_U2_TYPE_SPLICEOSOMAL_COMPLEX GO_U2_TYPE_SPLICEOSOMAL_COMPLEX	-0.456	0.578	0.187	3.779	-0.456	-0.456	-0.456	0.187	-0.456	-0.456	0.188
LABBE_TGFB1_TARGETS_DN LABBE_TGFB1_TARGETS_DN	0.578	3.779	0.187	-0.456	-0.456	-0.456	-0.456	0.187	-0.456	-0.456	0.188
