Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Odds Ratio	Combined Score	Genes
RNA splicing, via transesterification reactions with bulged adenosine as nucleophile (GO:0000377)	9/251	2.2363057590548107E-4	0.01722961239057903	0	0	4.732075775464205	39.77553430110213	PNN;ZRSR2;SF3B5;SNRNP40;SNW1;METTL3;ZCRB1;LSM5;SRSF11
DNA-templated transcription, elongation (GO:0006354)	5/69	2.4949307830192554E-4	0.01722961239057903	0	0	9.776997626582279	81.11074846133008	CDK7;ELL;CCNH;ELP2;ELP4
histone exchange (GO:0043486)	4/38	2.528808080809055E-4	0.01722961239057903	0	0	14.65260821309656	121.36157988086366	CENPW;ACTR6;CENPM;DMAP1
acyl-CoA biosynthetic process (GO:0071616)	3/17	3.322689291659174E-4	0.0207431582553259	0	0	26.548660714285713	212.64324726466853	SLC25A1;ACLY;ACACA
histone modification (GO:0016570)	6/114	3.4504274984397293E-4	0.0207431582553259	0	0	6.981245576786978	55.653388349045805	MRGBP;PRMT7;PHF20;CARM1;CDK2;BRD8
tRNA aminoacylation for protein translation (GO:0006418)	4/43	4.096208939384283E-4	0.023257364089170764	0	0	12.770843412352846	99.61613497630873	LARS2;VARS2;EEF1E1;YARS2
regulation of transcription by RNA polymerase III (GO:0006359)	3/21	6.345094346529524E-4	0.029855325468634952	0	0	20.644791666666666	152.00054881161438	ELL;DHX36;POLR3F
pyrimidine nucleotide metabolic process (GO:0006220)	2/5	6.495996958121441E-4	0.029855325468634952	0	0	82.12836438923395	602.7527335168605	DCTD;DCK
regulation of cell cycle G2/M phase transition (GO:1902749)	5/85	6.559273209200243E-4	0.029855325468634952	0	0	7.8152689873417724	57.281705858830826	PLK4;CENPF;CDK2;HAUS3;HAUS1
RNA catabolic process (GO:0006401)	4/49	6.770923805125304E-4	0.029855325468634952	0	0	11.06470999301188	80.74696552490676	FEN1;YTHDF2;METTL3;LSM5
G2/M transition of mitotic cell cycle (GO:0000086)	6/130	6.9347323374296E-4	0.029855325468634952	0	0	6.075508526813232	44.192021254016595	PLK4;CDK7;CCNH;CDK2;HAUS3;HAUS1
cell cycle G2/M phase transition (GO:0044839)	6/131	7.219358822890436E-4	0.029855325468634952	0	0	6.02659872611465	43.59384923199193	PLK4;CDK7;CCNH;CDK2;HAUS3;HAUS1
fatty-acyl-CoA metabolic process (GO:0035337)	3/22	7.303161807396025E-4	0.029855325468634952	0	0	19.55723684210526	141.24300973131525	SLC25A1;ACLY;ACACA
retrograde transport, endosome to Golgi (GO:0042147)	5/88	7.682148311262934E-4	0.030196752208118145	0	0	7.531645569620253	54.01275285902504	VPS29;VPS51;VPS53;ARL1;VPS54
transcription by RNA polymerase II (GO:0006366)	9/320	0.0012772802240615016	0.046513246520929356	0	0	3.669227878231094	24.44814712743653	CDK7;SNW1;CBFB;ELL;CCNH;ELP2;ELP4;RPRD2;NR2C2AP
delamination (GO:0060232)	2/7	0.001349594103970897	0.046513246520929356	0	0	49.27204968944099	325.5873095027851	YTHDF2;METTL3
positive regulation of cytoplasmic translation (GO:2000767)	2/7	0.001349594103970897	0.046513246520929356	0	0	49.27204968944099	325.5873095027851	CNBP;DHX36
positive regulation of translation (GO:0045727)	5/100	0.0013653594869157343	0.046513246520929356	0	0	6.5762824783477685	43.37937888456215	TRMT10C;YTHDF2;CNBP;METTL3;DHX36
internal peptidyl-lysine acetylation (GO:0018393)	3/28	0.0014989142420323766	0.0494158179147448	0	0	14.859	96.62828906195303	MRGBP;PHF20;BRD8
telomere maintenance via telomerase (GO:0007004)	3/29	0.001661926992708531	0.05307779332962871	0	0	14.286778846153846	91.43220596260632	CDK2;GAR1;TELO2
tubulin complex assembly (GO:0007021)	2/8	0.001789834594023297	0.05359987368176956	0	0	41.05797101449275	259.71761813622726	ARL2;TBCA
RNA-dependent DNA biosynthetic process (GO:0006278)	3/30	0.0018356121123893683	0.05359987368176956	0	0	13.756944444444445	86.67394017688295	CDK2;GAR1;TELO2
termination of RNA polymerase I transcription (GO:0006363)	3/30	0.0018356121123893683	0.05359987368176956	0	0	13.756944444444445	86.67394017688295	TAF1D;CDK7;CCNH
transcription initiation from RNA polymerase I promoter (GO:0006361)	3/32	0.002215962796252042	0.05998132104712863	0	0	12.806896551724138	78.27662642150692	TAF1D;CDK7;CCNH
phosphorylation of RNA polymerase II C-terminal domain (GO:0070816)	2/9	0.002288915382424674	0.05998132104712863	0	0	35.190771960958294	213.94853414357598	CDK7;CCNH
histone arginine methylation (GO:0034969)	2/9	0.002288915382424674	0.05998132104712863	0	0	35.190771960958294	213.94853414357598	PRMT7;CARM1
kinetochore assembly (GO:0051382)	2/9	0.002288915382424674	0.05998132104712863	0	0	35.190771960958294	213.94853414357598	CENPF;CENPW
cytosolic transport (GO:0016482)	5/116	0.0026215478027980495	0.06585204387492624	0	0	5.623788345307332	33.42774377425794	VPS29;VPS51;VPS53;ARL1;VPS54
transcription by RNA polymerase I (GO:0006360)	3/34	0.0026418138932211115	0.06585204387492624	0	0	11.979435483870967	71.11339728236443	TAF1D;CDK7;CCNH
formation of translation preinitiation complex (GO:0001731)	2/10	0.002845860024207676	0.06924926058905345	0	0	30.790372670807454	180.4897765427114	EIF5;DENR
telomere maintenance via telomere lengthening (GO:0010833)	3/36	0.003114889552240508	0.07403295633464649	0	0	11.252272727272727	64.94318500672284	CDK2;GAR1;TELO2
regulation of hematopoietic progenitor cell differentiation (GO:1901532)	4/75	0.0032978847888567335	0.07585314798733092	0	0	7.0036318540171845	40.022072058974764	YTHDF2;CBFB;METTL3;DHX36
centromere complex assembly (GO:0034508)	3/37	0.0033696426922566226	0.07585314798733092	0	0	10.920772058823529	62.17139363490242	CENPF;CENPW;CENPM
RNA processing (GO:0006396)	6/179	0.003525889899081118	0.07585314798733092	0	0	4.34387540959464	24.53256815699196	ZRSR2;SNRNP40;METTL3;ZCRB1;LSM5;SRSF11
positive regulation of type I interferon production (GO:0032481)	4/77	0.0036260784615460544	0.07585314798733092	0	0	6.811062289997415	38.275469676261736	POLR3B;DHX36;G3BP1;POLR3F
tRNA aminoacylation (GO:0043039)	3/38	0.003636794766515866	0.07585314798733092	0	0	10.608214285714286	59.58265375411981	LARS2;EEF1E1;YARS2
mRNA destabilization (GO:0061157)	3/38	0.003636794766515866	0.07585314798733092	0	0	10.608214285714286	59.58265375411981	YTHDF2;DHX36;METTL3
pyrimidine-containing compound metabolic process (GO:0072527)	2/12	0.004129494115033114	0.08434545057974202	0	0	24.629813664596274	135.2078342017284	DCTD;DCK
fatty acid derivative biosynthetic process (GO:1901570)	3/40	0.00420901954947832	0.08434545057974202	0	0	10.033783783783784	54.890070497376634	SLC25A1;ACLY;ACACA
protein methylation (GO:0006479)	3/41	0.004514436970281057	0.08872604968513924	0	0	9.769243421052632	52.758552929324765	ICMT;PRMT7;CARM1
ATP-dependent chromatin remodeling (GO:0043044)	3/42	0.004832942995842907	0.09187192028101082	0	0	9.518269230769231	50.75426398257659	ACTR6;SMARCAD1;DMAP1
kinetochore organization (GO:0051383)	2/13	0.004854289329916423	0.09187192028101082	0	0	22.38961038961039	119.2894387719635	CENPF;CENPW
ribonucleoprotein complex assembly (GO:0022618)	5/136	0.005168484829432167	0.09603984537599408	0	0	4.760363320127548	25.064149291337525	ZRSR2;EIF5;PRMT7;GEMIN4;DENR
positive regulation of mRNA catabolic process (GO:0061014)	3/44	0.0055098372316737445	0.09879041492579943	0	0	9.053048780487805	47.08690015955049	YTHDF2;DHX36;METTL3
mRNA catabolic process (GO:0006402)	3/44	0.0055098372316737445	0.09879041492579943	0	0	9.053048780487805	47.08690015955049	YTHDF2;METTL3;LSM5
coenzyme A metabolic process (GO:0015936)	2/14	0.005633159681984961	0.09926015853428673	0	0	20.522774327122153	106.28918799431756	ACLY;PANK1
regulation of type I interferon production (GO:0032479)	4/89	0.006068856337900616	0.1016526269391897	0	0	5.845948945615982	29.841143905775972	POLR3B;DHX36;G3BP1;POLR3F
positive regulation of organelle assembly (GO:1902117)	3/46	0.0062408712523240855	0.1016526269391897	0	0	8.63110465116279	43.81697212593191	PLK4;G3BP1;RAB3GAP2
acetyl-CoA metabolic process (GO:0006084)	2/15	0.0064651866448604016	0.1016526269391897	0	0	18.94314381270903	95.49851411815227	ACLY;ACACA
regulation of cytoplasmic translation (GO:2000765)	2/15	0.0064651866448604016	0.1016526269391897	0	0	18.94314381270903	95.49851411815227	CNBP;DHX36
positive regulation of chromosome organization (GO:2001252)	2/15	0.0064651866448604016	0.1016526269391897	0	0	18.94314381270903	95.49851411815227	FEN1;DHX36
histone H4-K5 acetylation (GO:0043981)	2/15	0.0064651866448604016	0.1016526269391897	0	0	18.94314381270903	95.49851411815227	MEAF6;PHF20
histone H4-K8 acetylation (GO:0043982)	2/15	0.0064651866448604016	0.1016526269391897	0	0	18.94314381270903	95.49851411815227	MEAF6;PHF20
regulation of cellular metabolic process (GO:0031323)	3/47	0.0066270287143183094	0.10261853554595927	0	0	8.434517045454545	42.31258752332948	ACLY;NPC2;ACACA
regulation of lipid metabolic process (GO:0019216)	4/92	0.006816141595845441	0.10397159270080657	0	0	5.645797598627787	28.163845174964862	NPC2;CARM1;ACACA;CERS2
negative regulation of type I interferon-mediated signaling pathway (GO:0060339)	2/16	0.007349462908310838	0.10971313217039927	0	0	17.589174800354925	86.4178679494905	YTHDF2;METTL3
mitotic cell cycle phase transition (GO:0044772)	6/209	0.007418709415973844	0.10971313217039927	0	0	3.696275611057074	18.125612156413762	PLK4;CDK7;CCNH;CDK2;HAUS3;HAUS1
regulation of G2/M transition of mitotic cell cycle (GO:0010389)	5/149	0.007551011339866142	0.10971313217039927	0	0	4.327751406469761	21.145712640583884	PLK4;CENPF;CDK2;HAUS3;HAUS1
mRNA metabolic process (GO:0016071)	4/95	0.007621949495203863	0.10971313217039927	0	0	5.458843043748704	26.621265985676846	YTHDF2;METTL3;LSM5;SRSF11
dolichol-linked oligosaccharide biosynthetic process (GO:0006488)	2/17	0.008285092259151689	0.116011674641222	0	0	16.415734989648033	78.68550136310326	DOLPP1;ALG13
translation (GO:0006412)	6/214	0.008286548188658715	0.116011674641222	0	0	3.606504164625184	17.28641365786696	MRPS17;MRPL41;LARS2;MRPL34;EEF1E1;YARS2
RNA splicing (GO:0008380)	4/98	0.008488091445346497	0.11722742509654216	0	0	5.283821758329988	25.199027344056113	ZRSR2;SNRNP40;ZCRB1;SRSF11
endocytic recycling (GO:0032456)	3/52	0.00876903270078937	0.11949268560275648	0	0	7.571938775510204	35.864705893169045	VPS29;VPS51;VPS53
carbohydrate derivative transport (GO:1901264)	2/18	0.009271189467630392	0.11993867893567418	0	0	15.388975155279503	72.0333857734402	NPC2;SLC29A1
RNA destabilization (GO:0050779)	2/18	0.009271189467630392	0.11993867893567418	0	0	15.388975155279503	72.0333857734402	YTHDF2;METTL3
long-chain fatty-acyl-CoA biosynthetic process (GO:0035338)	2/18	0.009271189467630392	0.11993867893567418	0	0	15.388975155279503	72.0333857734402	ELOVL1;HSD17B12
positive regulation of response to endoplasmic reticulum stress (GO:1905898)	2/18	0.009271189467630392	0.11993867893567418	0	0	15.388975155279503	72.0333857734402	RNFT1;NCK1
regulation of intracellular signal transduction (GO:1902531)	9/437	0.009769063496340815	0.12479978616575392	0	0	2.650215438766841	12.266614048068854	PREX1;MEAF6;PHF20;PDPK1;CDK2;RAC2;TELO2;RHOQ;ARHGEF6
cytoplasmic translational initiation (GO:0002183)	2/19	0.010306880159134925	0.1284589210077548	0	0	14.483010595542565	66.25895706916228	EIF5;DENR
histone H4-K16 acetylation (GO:0043984)	2/19	0.010306880159134925	0.1284589210077548	0	0	14.483010595542565	66.25895706916228	MEAF6;PHF20
mitochondrial translation (GO:0032543)	4/105	0.010753297237853373	0.13240806960344756	0	0	4.915872719347407	22.281403753635693	MRPS17;MRPL41;LARS2;MRPL34
protein transport (GO:0015031)	8/369	0.01092921218162793	0.1329720815431398	0	0	2.784523277633813	12.575787192443697	VPS29;CENPF;STX17;SNX15;ARL1;RAB3GAP2;ATP6V1E2;HSP90B1
RNA modification (GO:0009451)	3/58	0.01181739936430337	0.1404346761664889	0	0	6.743863636363637	29.93049629973445	CTU1;METTL3;ELP5
membrane lipid biosynthetic process (GO:0046467)	3/58	0.01181739936430337	0.1404346761664889	0	0	6.743863636363637	29.93049629973445	ELOVL1;B3GNT5;CERS2
cellular protein-containing complex assembly (GO:0034622)	5/168	0.01227124335467372	0.14221241438159557	0	0	3.8196008387046674	16.808140857366833	CENPF;CENPW;ARL2;TBCA;NCK1
DNA-templated transcription, initiation (GO:0006352)	5/168	0.01227124335467372	0.14221241438159557	0	0	3.8196008387046674	16.808140857366833	CDK7;TAF1D;SNW1;CCNH;NR2C2AP
intracellular lipid transport (GO:0032365)	2/21	0.01252359813536556	0.14221241438159557	0	0	12.957175547564564	56.75425020551437	NPC2;ACACA
stress granule assembly (GO:0034063)	2/21	0.01252359813536556	0.14221241438159557	0	0	12.957175547564564	56.75425020551437	YTHDF2;G3BP1
regulation of protein serine/threonine kinase activity (GO:0071900)	4/111	0.01297914170192007	0.1457657452677177	0	0	4.638805619232352	20.152881380946543	CDK7;MAP2K2;CCNH;TELO2
cell projection assembly (GO:0030031)	2/22	0.01370292994885573	0.1505848861046296	0	0	12.308695652173913	52.80609654479609	RAC2;RHOQ
positive regulation of DNA-templated transcription, initiation (GO:2000144)	2/22	0.01370292994885573	0.1505848861046296	0	0	12.308695652173913	52.80609654479609	BCLAF1;DHX36
cellular macromolecule biosynthetic process (GO:0034645)	7/314	0.01468053210750919	0.15728752877813862	0	0	2.8545477323978954	12.049711114755045	MRPS17;MRPL41;FEN1;CDK2;EPC1;MRPL34;YARS2
cell cycle G1/S phase transition (GO:0044843)	3/63	0.014767511036865208	0.15728752877813862	0	0	6.1803125	26.052030185785213	CDK7;CCNH;CDK2
nucleotide metabolic process (GO:0009117)	2/23	0.014928464081682432	0.15728752877813862	0	0	11.721975746820467	49.28487761400097	DCTD;DCK
positive regulation of mRNA processing (GO:0050685)	2/23	0.014928464081682432	0.15728752877813862	0	0	11.721975746820467	49.28487761400097	SNW1;DHX36
tRNA processing (GO:0008033)	3/64	0.015402932360489912	0.16063058033082336	0	0	6.078688524590164	25.36756699225624	CTU1;TRMT10C;ELP5
tRNA modification (GO:0006400)	3/65	0.016053587027354786	0.16391846616982747	0	0	5.980342741935484	24.709717471181342	CTU1;ELP5;ALKBH8
positive regulation of phospholipase activity (GO:0010518)	2/24	0.016199378750638527	0.16391846616982747	0	0	11.188594014680971	46.12813833012704	PDPK1;ARL1
long-chain fatty-acyl-CoA metabolic process (GO:0035336)	2/24	0.016199378750638527	0.16391846616982747	0	0	11.188594014680971	46.12813833012704	ELOVL1;HSD17B12
regulation of translational initiation (GO:0006446)	3/68	0.018097274985091134	0.18132759838003076	0	0	5.703461538461538	22.88225293173164	YTHDF2;EIF5;NCK1
histone methylation (GO:0016571)	2/26	0.018874113372041312	0.18660023084824173	0	0	10.255175983436853	40.71267904351928	PRMT7;CARM1
regulation of mitotic cell cycle phase transition (GO:1901990)	5/188	0.01906624944725698	0.18660023084824173	0	0	3.3986995918932004	13.458291473325717	PLK4;CENPF;CDK2;HAUS3;HAUS1
DNA-templated transcription, termination (GO:0006353)	3/70	0.019536423386264056	0.18660023084824173	0	0	5.532649253731344	21.773601105282772	TAF1D;CDK7;CCNH
establishment of protein localization to membrane (GO:0090150)	3/70	0.019536423386264056	0.18660023084824173	0	0	5.532649253731344	21.773601105282772	ICMT;RAB3GAP2;BRAF
snRNA transcription by RNA polymerase II (GO:0042795)	3/70	0.019536423386264056	0.18660023084824173	0	0	5.532649253731344	21.773601105282772	CDK7;ELL;RPRD2
regulation of hematopoietic stem cell differentiation (GO:1902036)	3/71	0.020279059922777308	0.1884109021916219	0	0	5.451011029411765	21.248948347372064	YTHDF2;CBFB;METTL3
fatty acid biosynthetic process (GO:0006633)	3/71	0.020279059922777308	0.1884109021916219	0	0	5.451011029411765	21.248948347372064	ELOVL1;ACLY;ACACA
snRNA transcription (GO:0009301)	3/71	0.020279059922777308	0.1884109021916219	0	0	5.451011029411765	21.248948347372064	CDK7;ELL;RPRD2
intracellular protein transport (GO:0006886)	7/336	0.02046496793153126	0.18842520023445897	0	0	2.6606655755591926	10.347436808302133	IPO13;VPS29;RANBP3;STX17;SNX15;ARL1;RAB3GAP2
regulation of phosphatase activity (GO:0010921)	2/28	0.02172076123308145	0.19820194625186824	0	0	9.46536072623029	36.24747336170677	PPP1R2;HSP90B1
nucleotide-excision repair, preincision complex assembly (GO:0006294)	2/29	0.02320660440714556	0.20988628056728106	0	0	9.114331723027375	34.30013198622245	CDK7;CCNH
negative regulation of Notch signaling pathway (GO:0045746)	2/30	0.02473310744230883	0.21421386276304763	0	0	8.78837622005324	32.51358696291819	YTHDF2;METTL3
cell projection organization (GO:0030030)	2/30	0.02473310744230883	0.21421386276304763	0	0	8.78837622005324	32.51358696291819	RAC2;RHOQ
CENP-A containing chromatin organization (GO:0061641)	2/30	0.02473310744230883	0.21421386276304763	0	0	8.78837622005324	32.51358696291819	CENPW;CENPM
CENP-A containing nucleosome assembly (GO:0034080)	2/30	0.02473310744230883	0.21421386276304763	0	0	8.78837622005324	32.51358696291819	CENPW;CENPM
regulation of type I interferon-mediated signaling pathway (GO:0060338)	2/30	0.02473310744230883	0.21421386276304763	0	0	8.78837622005324	32.51358696291819	YTHDF2;METTL3
gene expression (GO:0010467)	7/356	0.026961186319818916	0.22634129714185672	0	0	2.505620454044523	9.053701184277791	MRPS17;MRPL41;SNRNP40;EPC1;MRPL34;YARS2;SRSF11
lipid biosynthetic process (GO:0008610)	3/80	0.027655514878664675	0.22634129714185672	0	0	4.811688311688312	17.26400141090372	ACLY;DOLPP1;ACACA
transcription initiation from RNA polymerase II promoter (GO:0006367)	4/140	0.027765347480564875	0.22634129714185672	0	0	3.644284128745838	13.060992340719343	CDK7;SNW1;CCNH;NR2C2AP
7-methylguanosine mRNA capping (GO:0006370)	2/32	0.02790509142844809	0.22634129714185672	0	0	8.201656314699793	29.35328603136312	CDK7;CCNH
7-methylguanosine RNA capping (GO:0009452)	2/32	0.02790509142844809	0.22634129714185672	0	0	8.201656314699793	29.35328603136312	CDK7;CCNH
regulation of intracellular estrogen receptor signaling pathway (GO:0033146)	2/32	0.02790509142844809	0.22634129714185672	0	0	8.201656314699793	29.35328603136312	CBFB;CARM1
chromatin remodeling at centromere (GO:0031055)	2/32	0.02790509142844809	0.22634129714185672	0	0	8.201656314699793	29.35328603136312	CENPW;CENPM
positive regulation of glucose transmembrane transport (GO:0010828)	2/32	0.02790509142844809	0.22634129714185672	0	0	8.201656314699793	29.35328603136312	BRAF;RHOQ
regulation of small GTPase mediated signal transduction (GO:0051056)	4/141	0.028400532774407582	0.22854601964916968	0	0	3.6174998852316027	12.883173717903937	PREX1;RAC2;RHOQ;ARHGEF6
Ras protein signal transduction (GO:0007265)	4/142	0.029044330347551446	0.23190082511873109	0	0	3.5911038191596028	12.70867216166097	G3BP1;CDK2;RAC2;SHOC2
regulation of gene expression, epigenetic (GO:0040029)	3/82	0.029463745864395624	0.23342595560784749	0	0	4.689398734177215	16.528230042693327	TAF1D;PRMT7;EPC1
regulation of Notch signaling pathway (GO:0008593)	3/83	0.03039080446088904	0.23891847814637382	0	0	4.630546875	16.177348952215905	YTHDF2;SNW1;METTL3
tRNA methylation (GO:0030488)	2/34	0.031230803601190894	0.2429831467511049	0	0	7.688276397515528	26.65025978371711	TRMT10C;ALKBH8
G1/S transition of mitotic cell cycle (GO:0000082)	3/85	0.03229066838371415	0.2429831467511049	0	0	4.517149390243903	15.507269939791536	CDK7;CCNH;CDK2
positive regulation of innate immune response (GO:0045089)	2/36	0.034704482115571735	0.2429831467511049	0	0	7.235294117647059	24.317001837136853	POLR3B;POLR3F
positive regulation of interferon-beta production (GO:0032728)	2/36	0.034704482115571735	0.2429831467511049	0	0	7.235294117647059	24.317001837136853	POLR3B;POLR3F
positive regulation of transcription by RNA polymerase II (GO:0045944)	13/908	0.03489514416857026	0.2429831467511049	0	0	1.8342346368715083	6.154604831616692	ELL;CNBP;AHR;AATF;CDK7;BCLAF1;SNW1;DHX36;DPF2;EPC1;BRD8;RHOQ;NCK1
transcription, DNA-templated (GO:0006351)	5/221	0.034963472369420906	0.2429831467511049	0	0	2.874619081106423	9.639895408044243	CDK7;CBFB;ELL;CCNH;EPC1
mitochondrial translational elongation (GO:0070125)	3/89	0.03627242970637471	0.2429831467511049	0	0	4.3061773255813955	14.28228687489909	MRPS17;MRPL41;MRPL34
mitochondrial translational termination (GO:0070126)	3/89	0.03627242970637471	0.2429831467511049	0	0	4.3061773255813955	14.28228687489909	MRPS17;MRPL41;MRPL34
regulation of intracellular steroid hormone receptor signaling pathway (GO:0033143)	2/37	0.03649504778393847	0.2429831467511049	0	0	7.028216503992901	23.267463890498696	CBFB;CARM1
negative regulation of translation (GO:0017148)	3/90	0.03730556457931037	0.2429831467511049	0	0	4.256465517241379	13.997866893489235	YTHDF2;METTL3;DHX36
MAPK cascade (GO:0000165)	6/303	0.038103671002219425	0.2429831467511049	0	0	2.5143151257800938	8.215385505457146	MAP2K2;ICMT;ABHD17A;ARL2;BRAF;SHOC2
negative regulation of innate immune response (GO:0045824)	2/38	0.038320509663864175	0.2429831467511049	0	0	6.83264320220842	22.286510793694696	YTHDF2;METTL3
regulation of phosphoprotein phosphatase activity (GO:0043666)	2/38	0.038320509663864175	0.2429831467511049	0	0	6.83264320220842	22.286510793694696	PPP1R2;HSP90B1
spliceosomal snRNP assembly (GO:0000387)	2/38	0.038320509663864175	0.2429831467511049	0	0	6.83264320220842	22.286510793694696	PRMT7;GEMIN4
regulation of stem cell differentiation (GO:2000736)	3/91	0.03835368872855473	0.2429831467511049	0	0	4.207883522727273	13.7215066089228	YTHDF2;CBFB;METTL3
regulation of signal transduction by p53 class mediator (GO:1901796)	4/156	0.03896927549427201	0.2429831467511049	0	0	3.258027143330023	10.572238624939862	MEAF6;PHF20;PDPK1;CDK2
negative regulation of CD4-positive, alpha-beta T cell differentiation (GO:0043371)	1/5	0.04009489722901885	0.2429831467511049	0	0	30.60648148148148	98.44593756514546	CBFB
pyrimidine deoxyribonucleotide biosynthetic process (GO:0009221)	1/5	0.04009489722901885	0.2429831467511049	0	0	30.60648148148148	98.44593756514546	DCTD
pyrimidine nucleoside transport (GO:0015864)	1/5	0.04009489722901885	0.2429831467511049	0	0	30.60648148148148	98.44593756514546	SLC29A1
anion homeostasis (GO:0055081)	1/5	0.04009489722901885	0.2429831467511049	0	0	30.60648148148148	98.44593756514546	GLS
regulation of cardioblast differentiation (GO:0051890)	1/5	0.04009489722901885	0.2429831467511049	0	0	30.60648148148148	98.44593756514546	DHX36
negative regulation of PERK-mediated unfolded protein response (GO:1903898)	1/5	0.04009489722901885	0.2429831467511049	0	0	30.60648148148148	98.44593756514546	NCK1
nucleoside transport (GO:0015858)	1/5	0.04009489722901885	0.2429831467511049	0	0	30.60648148148148	98.44593756514546	SLC29A1
de novo centriole assembly (GO:0097742)	1/5	0.04009489722901885	0.2429831467511049	0	0	30.60648148148148	98.44593756514546	PLK4
de novo centriole assembly involved in multi-ciliated epithelial cell differentiation (GO:0098535)	1/5	0.04009489722901885	0.2429831467511049	0	0	30.60648148148148	98.44593756514546	PLK4
oxaloacetate metabolic process (GO:0006107)	1/5	0.04009489722901885	0.2429831467511049	0	0	30.60648148148148	98.44593756514546	ACLY
positive regulation of cardioblast differentiation (GO:0051891)	1/5	0.04009489722901885	0.2429831467511049	0	0	30.60648148148148	98.44593756514546	DHX36
positive regulation of CD8-positive, alpha-beta T cell differentiation (GO:0043378)	1/5	0.04009489722901885	0.2429831467511049	0	0	30.60648148148148	98.44593756514546	CBFB
regulation of vitamin D receptor signaling pathway (GO:0070562)	1/5	0.04009489722901885	0.2429831467511049	0	0	30.60648148148148	98.44593756514546	SNW1
synaptic transmission, glycinergic (GO:0060012)	1/5	0.04009489722901885	0.2429831467511049	0	0	30.60648148148148	98.44593756514546	GLRA3
tRNA thio-modification (GO:0034227)	1/5	0.04009489722901885	0.2429831467511049	0	0	30.60648148148148	98.44593756514546	CTU1
trophoblast giant cell differentiation (GO:0060707)	1/5	0.04009489722901885	0.2429831467511049	0	0	30.60648148148148	98.44593756514546	PLK4
positive regulation of translation in response to stress (GO:0032056)	1/5	0.04009489722901885	0.2429831467511049	0	0	30.60648148148148	98.44593756514546	NCK1
mitochondrial RNA 3'-end processing (GO:0000965)	1/5	0.04009489722901885	0.2429831467511049	0	0	30.60648148148148	98.44593756514546	TRMT10C
mitochondrial tRNA methylation (GO:0070901)	1/5	0.04009489722901885	0.2429831467511049	0	0	30.60648148148148	98.44593756514546	TRMT10C
uridine transport (GO:0015862)	1/5	0.04009489722901885	0.2429831467511049	0	0	30.60648148148148	98.44593756514546	SLC29A1
protein lipoylation (GO:0009249)	1/5	0.04009489722901885	0.2429831467511049	0	0	30.60648148148148	98.44593756514546	LIPT2
DNA replication-independent nucleosome assembly (GO:0006336)	2/39	0.04018018767214944	0.2429831467511049	0	0	6.647641430250126	21.36805396228198	CENPW;CENPM
