FIELD	COUNT	DESC
ReadPairs_NoGene_OneKbFromGene	144425	Number of reads or read-pairs that are not assigned to any gene, and that are within 1kb from one or more genes.
ReadPairs_NoGene_TenKbFromGene	263428	Number of reads or read-pairs that are not assigned to any gene, and that are within 10kb from one or more genes.
ReadPairs_NoGene_MiddleOfNowhere	162338	Number of reads or read-pairs that are not assigned to any gene, and that are more than 10kb from the nearest gene
Genes_Total	60669	Number of known genes
Genes_WithZeroCounts	30381	Number of genes with zero observed reads
Genes_WithNonzeroCounts	30288	Number of genes with 1 or more observed reads
AVG_GC	0.48715379370313683	Average GC fraction across all reads
AggregateGenes	48934	Number of aggregate genes
AggregateGenes_NoReads	24533	Number of aggregate genes with 0 observed reads
AggregateGenes_WithReads	24401	Number of aggregate genes with 1 or more observed reads
SpliceLoci	407653	Number of splice loci observed
SpliceLoci_Known	383646	Number of known splice loci
SpliceLoci_Known_NoReads	256410	Number of known splice loci with 0 observed reads
SpliceLoci_Known_FewReads	38908	Number of known splice loci with 1-3 observed reads
SpliceLoci_Known_ManyReads	88328	Number of known splice loci with 4+ observed reads
SpliceLoci_Novel	24007	Number of novel splice loci observed
SpliceLoci_Novel_FewReads	23282	Number of novel splice loci observed with 1-3 observed reads
SpliceLoci_Novel_ManyReads	725	Number of novel splice loci observed with 4+ observed reads
SpliceEvents	3479139	Number of observed splicing events (each read or read-pair that maps across a splice junction is a splice 'event')
SpliceEvents_KnownLoci	3444740	Number of splice events covering known SJ loci
SpliceEvents_KnownLociWithFewReads	66829	Number of splice events covering low-coverage known SJ loci
SpliceEvents_KnownLociWithManyReads	3377911	Number of splice events covering high-coverage known SJ loci
SpliceEvents_NovelLoci	34399	Number of splice events covering noverl SJ loci
SpliceEvents_NovelLociWithFewReads	28137	Number of splice events covering low-coverage novel SJ loci
SpliceEvents_NovelLociWithManyReads	6262	Number of splice events covering high-coverage novel SJ loci
StrandTest_frFirstStrand	1174003	Number of reads or read-pairs that match the fr_FirstStrand strandedness rule
StrandTest_frSecondStrand	20825422	Number of reads or read-pairs that match the fr_secondstrand strandedness rule
StrandTest_ambig_genesFountOnBothStrands	619834	Number of reads or read-pairs where the strandedness is ambiguous due to there being genes on both strands
StrandTest_ambig_noGenes	5939967	Number of reads or read-pairs where the strandedness is ambiguous due to there being no known genes.
StrandTest_ambig_other	0	Numebr of reads or read-pairs where the strandedness is ambiguous due to other reasons
StrandTest_STRANDEDNESS_MATCHES_INFERRED	0	1 if the strandedness appears to match the strandedness mode, 0 otherwise.
NumberOfChromosomesCovered	88	Number of chromosomes with 1 or more aligned reads.
deletionLoci	239161	Number of observed deletion loci
insertionLoci	31058	Number of observed insertion loci
deletionEventCt	335635	Number of times deletions are observed in a read
insertionEventCt	53694	Number of times insertions are observed in a read
highCoverageDeletionLoci	1577	Number of high-coverage deletion loci.
highCoverageInsertionLoci	558	Number of high-coverage insertion loci
NumReadsAtMaxReadLength_R1	28559226	Number of read-1 reads at the max length.
NumReadsAtMaxReadLength_R2	0	Number of read-2 reads at the max length.
NumReadsTruncated_R1	0	Number of read-1 reads that are not at the max length.
NumReadsTruncated_R2	0	Number of read-2 reads that are not at the max length.
NumReadsTruncated_25pct_R1	0	Number of read-1 reads that are truncated to less than 25% of the max length
NumReadsTruncated_25pct_R2	0	Number of read-2 reads that are truncated to less than 25% of the max length
NumReadsTruncated_50pct_R1	0	Number of read-1 reads that are truncated to less than 50% of the max length
NumReadsTruncated_50pct_R2	0	Number of read-2 reads that are truncated to less than 50% of the max length
NumReadsTruncated_75pct_R1	0	Number of read-1 reads that are truncated to less than 75% of the max length
NumReadsTruncated_75pct_R2	0	Number of read-2 reads that are truncated to less than 75% of the max length
READ_LENGTH	51	The read length.
COMPLETED_WITHOUT_WARNING	0	0 if complete without throwing any warnings. 1 if warnings were thrown.
QoRTs_initTimeStamp	1643250664838	Time stamp for when QoRTs QC began.
QoRTs_samDoneTimeStamp	1643252247259	Time stamp for when QoRTs QC finished SAM iteration.
QoRTs_majorVer	1	QoRTs major version number
QoRTs_minorVer	3	QoRTs minor version number
QoRTs_patchVer	6	QoRTs patch version number
QoRTs_compileTimeStamp	1537888906	The timestamp for when the version of QoRTs was built.
COMPLETED_WITHOUT_ERROR	1	1 if QoRTs completed without errors. If QoRTs encountered an error, this file should not exist.
