GO	[-20.08 -4.10]	[-4.10 -3.16]	[-3.16 -2.49]	[-2.49 -1.98]	[-1.98 -1.40]	[-1.40 -0.53]	[-0.53 1.05]	[1.05 1.91]	[1.91 2.77]	[2.77 4.07]	[4.07 20.81]
PID_TGFBR_PATHWAY PID_TGFBR_PATHWAY	-0.430	1.031	0.403	0.680	0.403	-1.452	-1.452	1.031	1.451	-0.797	-1.448
GSE26928_NAIVE_VS_EFF_MEMORY_CD4_TCELL_UP GSE26928_NAIVE_VS_EFF_MEMORY_CD4_TCELL_UP	1.703	-3.805	-0.312	0.737	-0.615	-1.438	-0.444	2.009	0.291	0.413	0.293
GSE37301_COMMON_LYMPHOID_PROGENITOR_VS_CD4_TCELL_UP GSE37301_COMMON_LYMPHOID_PROGENITOR_VS_CD4_TCELL_UP	0.400	5.213	-0.631	0.400	-0.850	-1.124	-1.463	-0.631	-0.850	0.718	0.550
chr5q33 chr5q33	-0.453	-1.493	-1.493	-0.453	0.985	0.380	1.391	-0.234	0.646	1.391	-1.490
HP_BIPARIETAL_NARROWING HP_BIPARIETAL_NARROWING	2.694	-0.525	-1.618	-0.926	0.320	0.320	0.858	-0.525	1.658	-0.926	-0.923
THAKAR_PBMC_INACTIVATED_INFLUENZA_AGE_21_30YO_NONRESPONDER_7DY_DN THAKAR_PBMC_INACTIVATED_INFLUENZA_AGE_21_30YO_NONRESPONDER_7DY_DN	2.647	-1.159	-0.228	-1.159	-0.412	-0.703	-0.703	-1.159	2.647	-0.228	0.628
GSE34156_TLR1_TLR2_LIGAND_VS_NOD2_AND_TLR1_TLR2_LIGAND_6H_TREATED_MONOCYTE_DN GSE34156_TLR1_TLR2_LIGAND_VS_NOD2_AND_TLR1_TLR2_LIGAND_6H_TREATED_MONOCYTE_DN	-1.504	1.193	1.193	0.878	1.554	0.397	-0.623	-0.979	-2.326	0.233	-0.620
MANNE_COVID19_NONICU_VS_HEALTHY_DONOR_PLATELETS_UP MANNE_COVID19_NONICU_VS_HEALTHY_DONOR_PLATELETS_UP	-0.315	2.419	-1.751	-2.617	0.287	0.287	0.287	1.597	-0.508	0.459	-0.506
GSE8621_LPS_STIM_VS_LPS_PRIMED_AND_LPS_STIM_MACROPHAGE_UP GSE8621_LPS_STIM_VS_LPS_PRIMED_AND_LPS_STIM_MACROPHAGE_UP	-1.274	-1.274	1.134	-0.567	-1.274	3.163	-0.861	0.604	0.847	-0.861	0.608
HP_ABNORMALITY_OF_SUBCUTANEOUS_FAT_TISSUE HP_ABNORMALITY_OF_SUBCUTANEOUS_FAT_TISSUE	1.580	-0.521	1.089	-0.241	1.089	-1.078	0.371	-1.078	-1.078	-1.078	0.687
GSE17721_LPS_VS_POLYIC_1H_BMDC_DN GSE17721_LPS_VS_POLYIC_1H_BMDC_DN	0.926	0.564	1.655	-0.425	-0.781	-1.026	-1.328	-2.681	-0.582	0.926	1.956
GOBP_REGULATION_OF_T_CELL_RECEPTOR_SIGNALING_PATHWAY GOBP_REGULATION_OF_T_CELL_RECEPTOR_SIGNALING_PATHWAY	0.930	-0.870	-0.378	3.503	0.527	-0.378	-0.870	0.235	-0.870	0.235	-0.868
GARGALOVIC_RESPONSE_TO_OXIDIZED_PHOSPHOLIPIDS_CYAN_UP GARGALOVIC_RESPONSE_TO_OXIDIZED_PHOSPHOLIPIDS_CYAN_UP	-0.663	0.762	0.762	0.762	-0.663	-0.247	-0.663	-0.663	2.698	-0.663	-0.661
MIR6781_3P MIR6781_3P	-0.829	-0.234	-0.829	0.985	-0.234	-0.453	-0.453	-0.829	3.627	-1.493	0.988
GSE24634_IL4_VS_CTRL_TREATED_NAIVE_CD4_TCELL_DAY3_UP GSE24634_IL4_VS_CTRL_TREATED_NAIVE_CD4_TCELL_DAY3_UP	0.398	-1.744	3.810	-0.698	-0.336	-1.307	0.398	-0.336	1.512	-1.307	0.271
REACTOME_TRNA_AMINOACYLATION REACTOME_TRNA_AMINOACYLATION	-1.119	0.346	-0.260	-0.550	0.644	-0.550	0.644	4.134	-1.119	-0.550	-0.548
GOBP_CELLULAR_CARBOHYDRATE_CATABOLIC_PROCESS GOBP_CELLULAR_CARBOHYDRATE_CATABOLIC_PROCESS	-0.463	-0.995	-0.463	-0.463	0.772	1.746	2.360	-0.463	-0.995	-0.995	0.428
GSE31082_DN_VS_DP_THYMOCYTE_DN GSE31082_DN_VS_DP_THYMOCYTE_DN	3.027	0.509	0.380	-1.039	-0.330	-1.039	-2.072	-1.039	-0.610	0.509	2.056
MIR3914 MIR3914	-0.219	-0.797	-0.430	0.403	3.088	-0.430	-1.452	1.451	-0.219	-0.219	-1.448
GCM_BNIP1 GCM_BNIP1	-1.161	-0.580	-0.580	-0.280	4.779	-0.580	-0.580	0.979	0.324	-0.280	-0.578
GSE411_WT_VS_SOCS3_KO_MACROPHAGE_IL6_STIM_400MIN_DN GSE411_WT_VS_SOCS3_KO_MACROPHAGE_IL6_STIM_400MIN_DN	-0.414	-0.730	1.780	2.681	0.410	-2.804	-0.943	-0.943	-0.556	0.868	0.414
GSE21546_WT_VS_ELK1_KO_ANTI_CD3_STIM_DP_THYMOCYTES_UP GSE21546_WT_VS_ELK1_KO_ANTI_CD3_STIM_DP_THYMOCYTES_UP	-4.079	0.558	-1.307	0.750	0.558	0.750	-0.336	-0.492	0.750	1.228	-0.488
GSE18791_CTRL_VS_NEWCASTLE_VIRUS_DC_2H_UP GSE18791_CTRL_VS_NEWCASTLE_VIRUS_DC_2H_UP	-0.311	-0.437	-0.597	1.359	0.291	-1.720	-3.383	0.291	1.910	1.120	0.411
CCAWNWWNNNGGC_UNKNOWN CCAWNWWNNNGGC_UNKNOWN	0.416	3.524	-0.365	0.638	-0.950	-2.284	0.245	0.638	-0.950	-0.601	0.247
GSE3982_EFF_MEMORY_CD4_TCELL_VS_TH2_UP GSE3982_EFF_MEMORY_CD4_TCELL_VS_TH2_UP	1.212	1.520	1.863	0.502	0.502	-0.615	-2.406	-1.256	-0.890	-0.266	-0.885
MIR7158_3P MIR7158_3P	-1.535	-0.861	-0.250	1.791	0.941	0.359	-1.535	-0.861	0.359	-0.250	1.339
GSE39022_LN_VS_SPLEEN_DC_DN GSE39022_LN_VS_SPLEEN_DC_DN	1.228	0.645	0.645	0.496	0.496	-2.099	-1.059	0.496	-2.589	1.728	-0.815
GOTTWEIN_TARGETS_OF_KSHV_MIR_K12_11 GOTTWEIN_TARGETS_OF_KSHV_MIR_K12_11	-1.025	0.749	2.995	0.476	0.476	-1.743	-1.025	-0.336	-0.600	0.749	-0.597
GOBP_ENDOSOME_ORGANIZATION GOBP_ENDOSOME_ORGANIZATION	-1.701	1.130	1.130	1.537	0.285	0.501	-0.318	-0.574	-1.701	0.285	-0.989
ATAACCT_MIR154 ATAACCT_MIR154	3.189	0.820	-0.550	-0.300	-0.959	-0.550	-1.660	-0.959	0.527	-0.300	0.824
GNF2_CD1D GNF2_CD1D	-0.550	0.644	-0.260	1.032	-1.119	1.504	-0.550	-0.260	-1.119	1.504	-1.117
GSE17974_2H_VS_72H_UNTREATED_IN_VITRO_CD4_TCELL_DN GSE17974_2H_VS_72H_UNTREATED_IN_VITRO_CD4_TCELL_DN	0.291	-0.444	0.939	0.561	0.561	-0.312	0.561	-0.615	0.939	0.291	-4.905
MIR8080 MIR8080	0.968	-0.669	1.967	0.500	-0.438	-0.988	0.500	-2.951	-0.669	-0.276	0.973
GSE45365_CD8A_DC_VS_CD11B_DC_UP GSE45365_CD8A_DC_VS_CD11B_DC_UP	1.168	-0.735	3.241	-1.359	-1.359	-1.009	-0.735	0.923	-0.522	0.249	0.713
GSE26928_NAIVE_VS_CXCR5_POS_CD4_TCELL_DN GSE26928_NAIVE_VS_CXCR5_POS_CD4_TCELL_DN	0.818	1.279	1.279	-0.553	-2.854	-1.016	0.333	1.035	-1.016	-1.016	0.824
MULLIGAN_NTF3_SIGNALING_VIA_INSR_AND_IGF1R_UP MULLIGAN_NTF3_SIGNALING_VIA_INSR_AND_IGF1R_UP	-0.580	0.892	-0.580	3.055	0.434	-0.580	0.434	-0.580	-0.580	-0.580	-0.199
GSE33162_HDAC3_KO_VS_HDAC3_KO_MACROPHAGE_UP GSE33162_HDAC3_KO_VS_HDAC3_KO_MACROPHAGE_UP	-0.419	-0.607	0.324	2.037	-2.853	0.324	-1.180	0.652	-0.419	2.037	-0.416
HAY_BONE_MARROW_CD34_POS_GRAN HAY_BONE_MARROW_CD34_POS_GRAN	0.396	-0.622	-0.622	-0.223	1.386	1.386	1.386	-0.622	-0.622	-0.622	-0.620
GOBP_REGULATION_OF_NEUROTRANSMITTER_TRANSPORT GOBP_REGULATION_OF_NEUROTRANSMITTER_TRANSPORT	-0.363	-0.363	-1.327	0.247	0.794	2.776	-0.363	-1.327	-0.363	1.185	-0.700
GSE360_HIGH_VS_LOW_DOSE_B_MALAYI_DC_UP GSE360_HIGH_VS_LOW_DOSE_B_MALAYI_DC_UP	1.290	0.795	-2.238	-0.921	-0.313	0.594	-1.256	0.594	1.027	-1.685	1.033
GSE34156_TLR1_TLR2_LIGAND_VS_NOD2_AND_TLR1_TLR2_LIGAND_24H_TREATED_MONOCYTE_DN GSE34156_TLR1_TLR2_LIGAND_VS_NOD2_AND_TLR1_TLR2_LIGAND_24H_TREATED_MONOCYTE_DN	-2.891	1.993	-0.290	1.660	-0.625	-0.878	1.083	-0.625	0.312	0.312	-0.621
GSE13485_CTRL_VS_DAY3_YF17D_VACCINE_PBMC_UP GSE13485_CTRL_VS_DAY3_YF17D_VACCINE_PBMC_UP	-0.369	1.317	-2.295	2.398	0.774	-1.174	-0.560	0.242	0.242	0.558	-1.169
REACTOME_ENERGY_DEPENDENT_REGULATION_OF_MTOR_BY_LKB1_AMPK REACTOME_ENERGY_DEPENDENT_REGULATION_OF_MTOR_BY_LKB1_AMPK	-0.298	1.129	-0.298	-0.298	-0.746	-0.746	-0.746	1.129	2.402	-0.746	-0.297
GSE23925_LIGHT_ZONE_VS_DARK_ZONE_BCELL_UP GSE23925_LIGHT_ZONE_VS_DARK_ZONE_BCELL_UP	1.996	-1.007	1.649	0.596	-0.326	0.278	-1.906	-0.326	-1.906	-0.326	0.600
GOBP_VESICLE_FUSION_WITH_GOLGI_APPARATUS GOBP_VESICLE_FUSION_WITH_GOLGI_APPARATUS	-0.290	-0.290	-0.290	-0.290	-0.290	-0.290	3.957	0.894	-0.290	-0.290	-0.289
MIR6769A_3P MIR6769A_3P	0.166	0.166	-0.497	4.578	0.166	-0.497	-0.497	-0.497	0.166	0.166	-0.496
HP_CELIAC_DISEASE HP_CELIAC_DISEASE	-0.497	-0.497	-0.497	-0.497	1.052	-0.497	-0.497	1.052	0.524	-0.497	1.735
GOMF_PURINE_RIBONUCLEOTIDE_TRANSMEMBRANE_TRANSPORTER_ACTIVITY GOMF_PURINE_RIBONUCLEOTIDE_TRANSMEMBRANE_TRANSPORTER_ACTIVITY	-0.497	-0.497	1.052	-0.497	-0.497	-0.497	1.052	-0.497	-0.497	0.524	1.735
