[CHIANG_LIVER_CANCER_SUBCLASS_UNANNOTATED_DN,CHIANG_LIVER_CANCER_SUBCLASS_UNANNOTATED_DN] was killed by [REACTOME_MITOCHONDRIAL_TRANSLATION,REACTOME_MITOCHONDRIAL_TRANSLATION]
[REACTOME_MITOTIC_G2_G2_M_PHASES,REACTOME_MITOTIC_G2_G2_M_PHASES] was killed by [REACTOME_APC_C_CDH1_MEDIATED_DEGRADATION_OF_CDC20_AND_OTHER_APC_C_CDH1_TARGETED_PROTEINS_IN_LATE_MITOSIS_EARLY_G1,REACTOME_APC_C_CDH1_MEDIATED_DEGRADATION_OF_CDC20_AND_OTHER_APC_C_CDH1_TARGETED_PROTEINS_IN_LATE_MITOSIS_EARLY_G1]
[ISHIDA_E2F_TARGETS,ISHIDA_E2F_TARGETS] was killed by [BURTON_ADIPOGENESIS_3,BURTON_ADIPOGENESIS_3]
[REACTOME_TRANSPORT_OF_MATURE_TRANSCRIPT_TO_CYTOPLASM,REACTOME_TRANSPORT_OF_MATURE_TRANSCRIPT_TO_CYTOPLASM] was killed by [REACTOME_MRNA_SPLICING,REACTOME_MRNA_SPLICING]
[REACTOME_ACTIVATION_OF_GENE_EXPRESSION_BY_SREBF_SREBP,REACTOME_ACTIVATION_OF_GENE_EXPRESSION_BY_SREBF_SREBP] was killed by [REACTOME_HATS_ACETYLATE_HISTONES,REACTOME_HATS_ACETYLATE_HISTONES]
[REACTOME_AUF1_HNRNP_D0_BINDS_AND_DESTABILIZES_MRNA,REACTOME_AUF1_HNRNP_D0_BINDS_AND_DESTABILIZES_MRNA] was killed by [REACTOME_APC_C_CDH1_MEDIATED_DEGRADATION_OF_CDC20_AND_OTHER_APC_C_CDH1_TARGETED_PROTEINS_IN_LATE_MITOSIS_EARLY_G1,REACTOME_APC_C_CDH1_MEDIATED_DEGRADATION_OF_CDC20_AND_OTHER_APC_C_CDH1_TARGETED_PROTEINS_IN_LATE_MITOSIS_EARLY_G1]
[REACTOME_DEGRADATION_OF_GLI1_BY_THE_PROTEASOME,REACTOME_DEGRADATION_OF_GLI1_BY_THE_PROTEASOME] was killed by [REACTOME_APC_C_CDH1_MEDIATED_DEGRADATION_OF_CDC20_AND_OTHER_APC_C_CDH1_TARGETED_PROTEINS_IN_LATE_MITOSIS_EARLY_G1,REACTOME_APC_C_CDH1_MEDIATED_DEGRADATION_OF_CDC20_AND_OTHER_APC_C_CDH1_TARGETED_PROTEINS_IN_LATE_MITOSIS_EARLY_G1]
[BIOCARTA_TGFB_PATHWAY,BIOCARTA_TGFB_PATHWAY] was killed by [REACTOME_HATS_ACETYLATE_HISTONES,REACTOME_HATS_ACETYLATE_HISTONES]
[REACTOME_NUCLEOTIDE_EXCISION_REPAIR,REACTOME_NUCLEOTIDE_EXCISION_REPAIR] was killed by [REACTOME_HATS_ACETYLATE_HISTONES,REACTOME_HATS_ACETYLATE_HISTONES]
[REACTOME_MITOTIC_G1_PHASE_AND_G1_S_TRANSITION,REACTOME_MITOTIC_G1_PHASE_AND_G1_S_TRANSITION] was killed by [BURTON_ADIPOGENESIS_3,BURTON_ADIPOGENESIS_3]
[PYEON_HPV_POSITIVE_TUMORS_UP,PYEON_HPV_POSITIVE_TUMORS_UP] was killed by [BURTON_ADIPOGENESIS_3,BURTON_ADIPOGENESIS_3]
[REACTOME_UCH_PROTEINASES,REACTOME_UCH_PROTEINASES] was killed by [REACTOME_HATS_ACETYLATE_HISTONES,REACTOME_HATS_ACETYLATE_HISTONES]
[PID_PRL_SIGNALING_EVENTS_PATHWAY,PID_PRL_SIGNALING_EVENTS_PATHWAY] was killed by [REACTOME_TP53_REGULATES_TRANSCRIPTION_OF_CELL_DEATH_GENES,REACTOME_TP53_REGULATES_TRANSCRIPTION_OF_CELL_DEATH_GENES]
[REACTOME_DOWNSTREAM_SIGNALING_EVENTS_OF_B_CELL_RECEPTOR_BCR,REACTOME_DOWNSTREAM_SIGNALING_EVENTS_OF_B_CELL_RECEPTOR_BCR] was killed by [REACTOME_APC_C_CDH1_MEDIATED_DEGRADATION_OF_CDC20_AND_OTHER_APC_C_CDH1_TARGETED_PROTEINS_IN_LATE_MITOSIS_EARLY_G1,REACTOME_APC_C_CDH1_MEDIATED_DEGRADATION_OF_CDC20_AND_OTHER_APC_C_CDH1_TARGETED_PROTEINS_IN_LATE_MITOSIS_EARLY_G1]
[REACTOME_PTEN_REGULATION,REACTOME_PTEN_REGULATION] was killed by [REACTOME_APC_C_CDH1_MEDIATED_DEGRADATION_OF_CDC20_AND_OTHER_APC_C_CDH1_TARGETED_PROTEINS_IN_LATE_MITOSIS_EARLY_G1,REACTOME_APC_C_CDH1_MEDIATED_DEGRADATION_OF_CDC20_AND_OTHER_APC_C_CDH1_TARGETED_PROTEINS_IN_LATE_MITOSIS_EARLY_G1]
[REACTOME_DNA_DAMAGE_RECOGNITION_IN_GG_NER,REACTOME_DNA_DAMAGE_RECOGNITION_IN_GG_NER] was killed by [REACTOME_HATS_ACETYLATE_HISTONES,REACTOME_HATS_ACETYLATE_HISTONES]
[REACTOME_TP53_REGULATES_TRANSCRIPTION_OF_GENES_INVOLVED_IN_CYTOCHROME_C_RELEASE,REACTOME_TP53_REGULATES_TRANSCRIPTION_OF_GENES_INVOLVED_IN_CYTOCHROME_C_RELEASE] was killed by [REACTOME_TP53_REGULATES_TRANSCRIPTION_OF_CELL_DEATH_GENES,REACTOME_TP53_REGULATES_TRANSCRIPTION_OF_CELL_DEATH_GENES]
[KONG_E2F3_TARGETS,KONG_E2F3_TARGETS] was killed by [BURTON_ADIPOGENESIS_3,BURTON_ADIPOGENESIS_3]
[REACTOME_REGULATION_OF_PTEN_STABILITY_AND_ACTIVITY,REACTOME_REGULATION_OF_PTEN_STABILITY_AND_ACTIVITY] was killed by [REACTOME_APC_C_CDH1_MEDIATED_DEGRADATION_OF_CDC20_AND_OTHER_APC_C_CDH1_TARGETED_PROTEINS_IN_LATE_MITOSIS_EARLY_G1,REACTOME_APC_C_CDH1_MEDIATED_DEGRADATION_OF_CDC20_AND_OTHER_APC_C_CDH1_TARGETED_PROTEINS_IN_LATE_MITOSIS_EARLY_G1]
[REACTOME_CYCLIN_A_CDK2_ASSOCIATED_EVENTS_AT_S_PHASE_ENTRY,REACTOME_CYCLIN_A_CDK2_ASSOCIATED_EVENTS_AT_S_PHASE_ENTRY] was killed by [REACTOME_APC_C_CDH1_MEDIATED_DEGRADATION_OF_CDC20_AND_OTHER_APC_C_CDH1_TARGETED_PROTEINS_IN_LATE_MITOSIS_EARLY_G1,REACTOME_APC_C_CDH1_MEDIATED_DEGRADATION_OF_CDC20_AND_OTHER_APC_C_CDH1_TARGETED_PROTEINS_IN_LATE_MITOSIS_EARLY_G1]
[REACTOME_HOMOLOGY_DIRECTED_REPAIR,REACTOME_HOMOLOGY_DIRECTED_REPAIR] was killed by [BURTON_ADIPOGENESIS_3,BURTON_ADIPOGENESIS_3]
[KEGG_SPLICEOSOME,KEGG_SPLICEOSOME] was killed by [REACTOME_MRNA_SPLICING,REACTOME_MRNA_SPLICING]
[REACTOME_NEGATIVE_FEEDBACK_REGULATION_OF_MAPK_PATHWAY,REACTOME_NEGATIVE_FEEDBACK_REGULATION_OF_MAPK_PATHWAY] was killed by [MARTIN_INTERACT_WITH_HDAC,MARTIN_INTERACT_WITH_HDAC]
[KEGG_PROTEASOME,KEGG_PROTEASOME] was killed by [REACTOME_APC_C_CDH1_MEDIATED_DEGRADATION_OF_CDC20_AND_OTHER_APC_C_CDH1_TARGETED_PROTEINS_IN_LATE_MITOSIS_EARLY_G1,REACTOME_APC_C_CDH1_MEDIATED_DEGRADATION_OF_CDC20_AND_OTHER_APC_C_CDH1_TARGETED_PROTEINS_IN_LATE_MITOSIS_EARLY_G1]
[CADWELL_ATG16L1_TARGETS_DN,CADWELL_ATG16L1_TARGETS_DN] was killed by [PIONTEK_PKD1_TARGETS_UP,PIONTEK_PKD1_TARGETS_UP]
[REACTOME_CHROMOSOME_MAINTENANCE,REACTOME_CHROMOSOME_MAINTENANCE] was killed by [REACTOME_HATS_ACETYLATE_HISTONES,REACTOME_HATS_ACETYLATE_HISTONES]
[KEGG_BASAL_TRANSCRIPTION_FACTORS,KEGG_BASAL_TRANSCRIPTION_FACTORS] was killed by [REACTOME_HATS_ACETYLATE_HISTONES,REACTOME_HATS_ACETYLATE_HISTONES]
[REACTOME_RNA_POLYMERASE_III_TRANSCRIPTION_INITIATION_FROM_TYPE_3_PROMOTER,REACTOME_RNA_POLYMERASE_III_TRANSCRIPTION_INITIATION_FROM_TYPE_3_PROMOTER] was killed by [REACTOME_MRNA_SPLICING,REACTOME_MRNA_SPLICING]
[KYNG_ENVIRONMENTAL_STRESS_RESPONSE_UP,KYNG_ENVIRONMENTAL_STRESS_RESPONSE_UP] was killed by [PIONTEK_PKD1_TARGETS_UP,PIONTEK_PKD1_TARGETS_UP]
[REACTOME_DNA_DOUBLE_STRAND_BREAK_REPAIR,REACTOME_DNA_DOUBLE_STRAND_BREAK_REPAIR] was killed by [BURTON_ADIPOGENESIS_3,BURTON_ADIPOGENESIS_3]
[REACTOME_TRNA_AMINOACYLATION,REACTOME_TRNA_AMINOACYLATION] was killed by [KEGG_AMINOACYL_TRNA_BIOSYNTHESIS,KEGG_AMINOACYL_TRNA_BIOSYNTHESIS]
[REACTOME_DECTIN_1_MEDIATED_NONCANONICAL_NF_KB_SIGNALING,REACTOME_DECTIN_1_MEDIATED_NONCANONICAL_NF_KB_SIGNALING] was killed by [REACTOME_APC_C_CDH1_MEDIATED_DEGRADATION_OF_CDC20_AND_OTHER_APC_C_CDH1_TARGETED_PROTEINS_IN_LATE_MITOSIS_EARLY_G1,REACTOME_APC_C_CDH1_MEDIATED_DEGRADATION_OF_CDC20_AND_OTHER_APC_C_CDH1_TARGETED_PROTEINS_IN_LATE_MITOSIS_EARLY_G1]
[ROSTY_CERVICAL_CANCER_PROLIFERATION_CLUSTER,ROSTY_CERVICAL_CANCER_PROLIFERATION_CLUSTER] was killed by [BURTON_ADIPOGENESIS_3,BURTON_ADIPOGENESIS_3]
[VILLANUEVA_LIVER_CANCER_KRT19_UP,VILLANUEVA_LIVER_CANCER_KRT19_UP] was killed by [BURTON_ADIPOGENESIS_3,BURTON_ADIPOGENESIS_3]
[REACTOME_REGULATION_OF_RUNX2_EXPRESSION_AND_ACTIVITY,REACTOME_REGULATION_OF_RUNX2_EXPRESSION_AND_ACTIVITY] was killed by [REACTOME_APC_C_CDH1_MEDIATED_DEGRADATION_OF_CDC20_AND_OTHER_APC_C_CDH1_TARGETED_PROTEINS_IN_LATE_MITOSIS_EARLY_G1,REACTOME_APC_C_CDH1_MEDIATED_DEGRADATION_OF_CDC20_AND_OTHER_APC_C_CDH1_TARGETED_PROTEINS_IN_LATE_MITOSIS_EARLY_G1]
[REACTOME_HOST_INTERACTIONS_OF_HIV_FACTORS,REACTOME_HOST_INTERACTIONS_OF_HIV_FACTORS] was killed by [REACTOME_APC_C_CDH1_MEDIATED_DEGRADATION_OF_CDC20_AND_OTHER_APC_C_CDH1_TARGETED_PROTEINS_IN_LATE_MITOSIS_EARLY_G1,REACTOME_APC_C_CDH1_MEDIATED_DEGRADATION_OF_CDC20_AND_OTHER_APC_C_CDH1_TARGETED_PROTEINS_IN_LATE_MITOSIS_EARLY_G1]
[PID_TCR_RAS_PATHWAY,PID_TCR_RAS_PATHWAY] was killed by [TERAO_AOX4_TARGETS_HG_UP,TERAO_AOX4_TARGETS_HG_UP]
[REACTOME_RNA_POLYMERASE_III_TRANSCRIPTION_INITIATION_FROM_TYPE_1_PROMOTER,REACTOME_RNA_POLYMERASE_III_TRANSCRIPTION_INITIATION_FROM_TYPE_1_PROMOTER] was killed by [REACTOME_MRNA_SPLICING,REACTOME_MRNA_SPLICING]
[REACTOME_MYOGENESIS,REACTOME_MYOGENESIS] was killed by [REACTOME_CELL_CELL_JUNCTION_ORGANIZATION,REACTOME_CELL_CELL_JUNCTION_ORGANIZATION]
[MCBRYAN_PUBERTAL_BREAST_6_7WK_UP,MCBRYAN_PUBERTAL_BREAST_6_7WK_UP] was killed by [KENNY_CTNNB1_TARGETS_DN,KENNY_CTNNB1_TARGETS_DN]
[REACTOME_SCF_SKP2_MEDIATED_DEGRADATION_OF_P27_P21,REACTOME_SCF_SKP2_MEDIATED_DEGRADATION_OF_P27_P21] was killed by [REACTOME_APC_C_CDH1_MEDIATED_DEGRADATION_OF_CDC20_AND_OTHER_APC_C_CDH1_TARGETED_PROTEINS_IN_LATE_MITOSIS_EARLY_G1,REACTOME_APC_C_CDH1_MEDIATED_DEGRADATION_OF_CDC20_AND_OTHER_APC_C_CDH1_TARGETED_PROTEINS_IN_LATE_MITOSIS_EARLY_G1]
[REACTOME_DEGRADATION_OF_AXIN,REACTOME_DEGRADATION_OF_AXIN] was killed by [REACTOME_APC_C_CDH1_MEDIATED_DEGRADATION_OF_CDC20_AND_OTHER_APC_C_CDH1_TARGETED_PROTEINS_IN_LATE_MITOSIS_EARLY_G1,REACTOME_APC_C_CDH1_MEDIATED_DEGRADATION_OF_CDC20_AND_OTHER_APC_C_CDH1_TARGETED_PROTEINS_IN_LATE_MITOSIS_EARLY_G1]
[REACTOME_SUMOYLATION,REACTOME_SUMOYLATION] was killed by [REACTOME_HATS_ACETYLATE_HISTONES,REACTOME_HATS_ACETYLATE_HISTONES]
[VERRECCHIA_RESPONSE_TO_TGFB1_C2,VERRECCHIA_RESPONSE_TO_TGFB1_C2] was killed by [REACTOME_CELL_CELL_JUNCTION_ORGANIZATION,REACTOME_CELL_CELL_JUNCTION_ORGANIZATION]
[PID_HEDGEHOG_2PATHWAY,PID_HEDGEHOG_2PATHWAY] was killed by [PID_CXCR3_PATHWAY,PID_CXCR3_PATHWAY]
[REACTOME_NEGATIVE_REGULATION_OF_FGFR1_SIGNALING,REACTOME_NEGATIVE_REGULATION_OF_FGFR1_SIGNALING] was killed by [REACTOME_APC_C_CDH1_MEDIATED_DEGRADATION_OF_CDC20_AND_OTHER_APC_C_CDH1_TARGETED_PROTEINS_IN_LATE_MITOSIS_EARLY_G1,REACTOME_APC_C_CDH1_MEDIATED_DEGRADATION_OF_CDC20_AND_OTHER_APC_C_CDH1_TARGETED_PROTEINS_IN_LATE_MITOSIS_EARLY_G1]
[MODY_HIPPOCAMPUS_NEONATAL,MODY_HIPPOCAMPUS_NEONATAL] was killed by [REACTOME_CELL_CELL_JUNCTION_ORGANIZATION,REACTOME_CELL_CELL_JUNCTION_ORGANIZATION]
[KEGG_RENAL_CELL_CARCINOMA,KEGG_RENAL_CELL_CARCINOMA] was killed by [MARTIN_INTERACT_WITH_HDAC,MARTIN_INTERACT_WITH_HDAC]
[KAUFFMANN_DNA_REPLICATION_GENES,KAUFFMANN_DNA_REPLICATION_GENES] was killed by [BURTON_ADIPOGENESIS_3,BURTON_ADIPOGENESIS_3]
[REACTOME_MITOCHONDRIAL_TRNA_AMINOACYLATION,REACTOME_MITOCHONDRIAL_TRNA_AMINOACYLATION] was killed by [KEGG_AMINOACYL_TRNA_BIOSYNTHESIS,KEGG_AMINOACYL_TRNA_BIOSYNTHESIS]
[SA_B_CELL_RECEPTOR_COMPLEXES,SA_B_CELL_RECEPTOR_COMPLEXES] was killed by [MARTIN_INTERACT_WITH_HDAC,MARTIN_INTERACT_WITH_HDAC]
[BIOCARTA_BARRESTIN_SRC_PATHWAY,BIOCARTA_BARRESTIN_SRC_PATHWAY] was killed by [TERAO_AOX4_TARGETS_HG_UP,TERAO_AOX4_TARGETS_HG_UP]
[REACTOME_ENDOSOMAL_SORTING_COMPLEX_REQUIRED_FOR_TRANSPORT_ESCRT,REACTOME_ENDOSOMAL_SORTING_COMPLEX_REQUIRED_FOR_TRANSPORT_ESCRT] was killed by [REACTOME_APC_C_CDH1_MEDIATED_DEGRADATION_OF_CDC20_AND_OTHER_APC_C_CDH1_TARGETED_PROTEINS_IN_LATE_MITOSIS_EARLY_G1,REACTOME_APC_C_CDH1_MEDIATED_DEGRADATION_OF_CDC20_AND_OTHER_APC_C_CDH1_TARGETED_PROTEINS_IN_LATE_MITOSIS_EARLY_G1]
[REACTOME_DEFECTIVE_CFTR_CAUSES_CYSTIC_FIBROSIS,REACTOME_DEFECTIVE_CFTR_CAUSES_CYSTIC_FIBROSIS] was killed by [REACTOME_APC_C_CDH1_MEDIATED_DEGRADATION_OF_CDC20_AND_OTHER_APC_C_CDH1_TARGETED_PROTEINS_IN_LATE_MITOSIS_EARLY_G1,REACTOME_APC_C_CDH1_MEDIATED_DEGRADATION_OF_CDC20_AND_OTHER_APC_C_CDH1_TARGETED_PROTEINS_IN_LATE_MITOSIS_EARLY_G1]
[REACTOME_APC_C_MEDIATED_DEGRADATION_OF_CELL_CYCLE_PROTEINS,REACTOME_APC_C_MEDIATED_DEGRADATION_OF_CELL_CYCLE_PROTEINS] was killed by [REACTOME_APC_C_CDH1_MEDIATED_DEGRADATION_OF_CDC20_AND_OTHER_APC_C_CDH1_TARGETED_PROTEINS_IN_LATE_MITOSIS_EARLY_G1,REACTOME_APC_C_CDH1_MEDIATED_DEGRADATION_OF_CDC20_AND_OTHER_APC_C_CDH1_TARGETED_PROTEINS_IN_LATE_MITOSIS_EARLY_G1]
[REACTOME_SENESCENCE_ASSOCIATED_SECRETORY_PHENOTYPE_SASP,REACTOME_SENESCENCE_ASSOCIATED_SECRETORY_PHENOTYPE_SASP] was killed by [REACTOME_APC_C_CDH1_MEDIATED_DEGRADATION_OF_CDC20_AND_OTHER_APC_C_CDH1_TARGETED_PROTEINS_IN_LATE_MITOSIS_EARLY_G1,REACTOME_APC_C_CDH1_MEDIATED_DEGRADATION_OF_CDC20_AND_OTHER_APC_C_CDH1_TARGETED_PROTEINS_IN_LATE_MITOSIS_EARLY_G1]
[REACTOME_RNA_POLYMERASE_III_TRANSCRIPTION_TERMINATION,REACTOME_RNA_POLYMERASE_III_TRANSCRIPTION_TERMINATION] was killed by [REACTOME_MRNA_SPLICING,REACTOME_MRNA_SPLICING]
[REACTOME_DEGRADATION_OF_DVL,REACTOME_DEGRADATION_OF_DVL] was killed by [REACTOME_APC_C_CDH1_MEDIATED_DEGRADATION_OF_CDC20_AND_OTHER_APC_C_CDH1_TARGETED_PROTEINS_IN_LATE_MITOSIS_EARLY_G1,REACTOME_APC_C_CDH1_MEDIATED_DEGRADATION_OF_CDC20_AND_OTHER_APC_C_CDH1_TARGETED_PROTEINS_IN_LATE_MITOSIS_EARLY_G1]
[REACTOME_REGULATION_OF_MRNA_STABILITY_BY_PROTEINS_THAT_BIND_AU_RICH_ELEMENTS,REACTOME_REGULATION_OF_MRNA_STABILITY_BY_PROTEINS_THAT_BIND_AU_RICH_ELEMENTS] was killed by [REACTOME_APC_C_CDH1_MEDIATED_DEGRADATION_OF_CDC20_AND_OTHER_APC_C_CDH1_TARGETED_PROTEINS_IN_LATE_MITOSIS_EARLY_G1,REACTOME_APC_C_CDH1_MEDIATED_DEGRADATION_OF_CDC20_AND_OTHER_APC_C_CDH1_TARGETED_PROTEINS_IN_LATE_MITOSIS_EARLY_G1]
[HESS_TARGETS_OF_HOXA9_AND_MEIS1_DN,HESS_TARGETS_OF_HOXA9_AND_MEIS1_DN] was killed by [LINDSTEDT_DENDRITIC_CELL_MATURATION_A,LINDSTEDT_DENDRITIC_CELL_MATURATION_A]
[REACTOME_REGULATION_OF_CHOLESTEROL_BIOSYNTHESIS_BY_SREBP_SREBF,REACTOME_REGULATION_OF_CHOLESTEROL_BIOSYNTHESIS_BY_SREBP_SREBF] was killed by [REACTOME_HATS_ACETYLATE_HISTONES,REACTOME_HATS_ACETYLATE_HISTONES]
[REACTOME_RECOGNITION_OF_DNA_DAMAGE_BY_PCNA_CONTAINING_REPLICATION_COMPLEX,REACTOME_RECOGNITION_OF_DNA_DAMAGE_BY_PCNA_CONTAINING_REPLICATION_COMPLEX] was killed by [BURTON_ADIPOGENESIS_3,BURTON_ADIPOGENESIS_3]
[REACTOME_DNA_DAMAGE_BYPASS,REACTOME_DNA_DAMAGE_BYPASS] was killed by [BURTON_ADIPOGENESIS_3,BURTON_ADIPOGENESIS_3]
[REACTOME_ASYMMETRIC_LOCALIZATION_OF_PCP_PROTEINS,REACTOME_ASYMMETRIC_LOCALIZATION_OF_PCP_PROTEINS] was killed by [REACTOME_APC_C_CDH1_MEDIATED_DEGRADATION_OF_CDC20_AND_OTHER_APC_C_CDH1_TARGETED_PROTEINS_IN_LATE_MITOSIS_EARLY_G1,REACTOME_APC_C_CDH1_MEDIATED_DEGRADATION_OF_CDC20_AND_OTHER_APC_C_CDH1_TARGETED_PROTEINS_IN_LATE_MITOSIS_EARLY_G1]
[KEGG_PROSTATE_CANCER,KEGG_PROSTATE_CANCER] was killed by [PID_CXCR3_PATHWAY,PID_CXCR3_PATHWAY]
[MCBRYAN_PUBERTAL_BREAST_5_6WK_DN,MCBRYAN_PUBERTAL_BREAST_5_6WK_DN] was killed by [HORTON_SREBF_TARGETS,HORTON_SREBF_TARGETS]
[REACTOME_THE_ROLE_OF_GTSE1_IN_G2_M_PROGRESSION_AFTER_G2_CHECKPOINT,REACTOME_THE_ROLE_OF_GTSE1_IN_G2_M_PROGRESSION_AFTER_G2_CHECKPOINT] was killed by [BURTON_ADIPOGENESIS_3,BURTON_ADIPOGENESIS_3]
[REACTOME_RESOLUTION_OF_ABASIC_SITES_AP_SITES,REACTOME_RESOLUTION_OF_ABASIC_SITES_AP_SITES] was killed by [LOPES_METHYLATED_IN_COLON_CANCER_DN,LOPES_METHYLATED_IN_COLON_CANCER_DN]
[REACTOME_DISORDERS_OF_TRANSMEMBRANE_TRANSPORTERS,REACTOME_DISORDERS_OF_TRANSMEMBRANE_TRANSPORTERS] was killed by [REACTOME_APC_C_CDH1_MEDIATED_DEGRADATION_OF_CDC20_AND_OTHER_APC_C_CDH1_TARGETED_PROTEINS_IN_LATE_MITOSIS_EARLY_G1,REACTOME_APC_C_CDH1_MEDIATED_DEGRADATION_OF_CDC20_AND_OTHER_APC_C_CDH1_TARGETED_PROTEINS_IN_LATE_MITOSIS_EARLY_G1]
[REACTOME_REGULATION_OF_RAS_BY_GAPS,REACTOME_REGULATION_OF_RAS_BY_GAPS] was killed by [REACTOME_APC_C_CDH1_MEDIATED_DEGRADATION_OF_CDC20_AND_OTHER_APC_C_CDH1_TARGETED_PROTEINS_IN_LATE_MITOSIS_EARLY_G1,REACTOME_APC_C_CDH1_MEDIATED_DEGRADATION_OF_CDC20_AND_OTHER_APC_C_CDH1_TARGETED_PROTEINS_IN_LATE_MITOSIS_EARLY_G1]
[BIOCARTA_TCYTOTOXIC_PATHWAY,BIOCARTA_TCYTOTOXIC_PATHWAY] was killed by [PID_CXCR3_PATHWAY,PID_CXCR3_PATHWAY]
[REACTOME_ASSEMBLY_OF_ACTIVE_LPL_AND_LIPC_LIPASE_COMPLEXES,REACTOME_ASSEMBLY_OF_ACTIVE_LPL_AND_LIPC_LIPASE_COMPLEXES] was killed by [RUAN_RESPONSE_TO_TNF_TROGLITAZONE_UP,RUAN_RESPONSE_TO_TNF_TROGLITAZONE_UP]
[REACTOME_MEIOTIC_RECOMBINATION,REACTOME_MEIOTIC_RECOMBINATION] was killed by [BURTON_ADIPOGENESIS_3,BURTON_ADIPOGENESIS_3]
[KYNG_DNA_DAMAGE_DN,KYNG_DNA_DAMAGE_DN] was killed by [REACTOME_TP53_REGULATES_TRANSCRIPTION_OF_CELL_DEATH_GENES,REACTOME_TP53_REGULATES_TRANSCRIPTION_OF_CELL_DEATH_GENES]
[NOUZOVA_TRETINOIN_AND_H4_ACETYLATION,NOUZOVA_TRETINOIN_AND_H4_ACETYLATION] was killed by [REACTOME_APC_C_CDH1_MEDIATED_DEGRADATION_OF_CDC20_AND_OTHER_APC_C_CDH1_TARGETED_PROTEINS_IN_LATE_MITOSIS_EARLY_G1,REACTOME_APC_C_CDH1_MEDIATED_DEGRADATION_OF_CDC20_AND_OTHER_APC_C_CDH1_TARGETED_PROTEINS_IN_LATE_MITOSIS_EARLY_G1]
