kg1_t_1	kg1_t_2	kg1_t_3	kg1_u_1	kg1_u_2	kg1_u_3	molm14_t_1	molm14_t_2	molm14_t_3	molm14_u_1	molm14_u_2	molm14_u_3	ociaml2_t_1	ociaml2_t_2	ociaml2_t_3	ociaml2_u_1	ociaml2_u_2	ociaml2_u_3	ociaml3_t_1	ociaml3_t_2	ociaml3_t_3	ociaml3_u_1	ociaml3_u_2	ociaml3_u_3	thp1_t_1	thp1_t_2	thp1_t_3	thp1_u_1	thp1_u_2	thp1_u_3
ENSG00000005007	-1.4841849308354	-0.884886710102816	-1.41414658019944	-0.811475001354424	-0.660968551615213	-0.980340613551048	-1.99521417384291	-1.54530640321713	-4.18377711424704	-1.28159621821661	-0.809265296326254	-1.42239331108447	0	0	0	0	-2.88599521657467	0	0	-2.90497407770429	0	-3.83909014090307	-1.24751402643465	-2.20421111208434	0	0	0	0	0	0
ENSG00000005020	-1.43640378469746	-2.43238485832517	-1.2744790986387	-3.5427928393213	-2.33849688560977	-4.83570989865309	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-1.29420689421702	-1.62665957665519	-0.977822308340594	-2.06780815064985	-2.21277609312276	-1.71834336439056
ENSG00000005339	-2.26963188764857	-1.1082103667199	-2.34983861713066	-0.3651146410406	-1.37036923472521	-1.1592351558093	-2.21902591260472	0	-1.46719686737543	-0.164036037823896	-0.673133955998824	-0.640255673067041	-0.804922078545155	0	-0.965428726605396	-0.988108506809315	-1.14513258298578	-0.711528981227431	-1.89765751375524	0	0	0	-1.75164407877652	0	-1.2368750904816	-2.00771110915019	-4.99110866677947	0	0	0
ENSG00000005379	-0.665766136527568	-0.643443787187867	-0.633126347791771	-0.608111035337393	-1.0065288095459	-0.607395658867849	0.207562129960989	0.141893324495577	0.243749945912393	0.467829434503882	0.332604217419523	0.458415013510867	0	0	0	-1.09060283688965	-1.79272391444851	-0.700178874793668	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000005436	0	0	0	0	0	0	-1.23530718834808	-1.60432050423163	-1.45794104980903	-0.634090627237087	-1.23707065791421	-0.894952098357548	-3.4966297795928	0	-2.11524227892744	-1.61882731277099	0	-2.40918738810477	0	0	0	-4.04827568174112	0	0	-2.30128233450273	-2.42814716766562	0	0	0	-3.42748893490375
ENSG00000005483	0	0	0	0	0	0	-0.982534829379082	-1.02806766367904	-1.06160213156334	-0.823211298280522	-0.584524881302007	-1.18420734042566	0	-1.9804976342455	-3.01308327615958	0	-1.79998133853109	-3.41719185603696	-0.224076062456899	-0.191607896627797	-0.400586687512852	-0.758099493806679	-0.692736208997842	-0.583846008987185	-0.582628183491417	-0.46884191899462	-0.446435989605052	-0.552445350893628	-0.539160695582935	-1.04816566079418
ENSG00000005700	-1.52216551944366	-3.0843817150376	-2.49777125924193	-1.71811033135167	-1.26589896242185	-1.80684260592053	-1.10300496597023	-1.59204779531909	-1.9168703373554	-1.00963351136545	0	-2.3037036551661	-2.91114926518606	0	0	0	0	0	-1.97366804649676	0	0	-4.34930552052807	-4.19218681175482	0	0	0	0	0	0	0
ENSG00000005810	-3.4082093915038	0	-3.94101227188134	-2.10450024567877	-2.43924602853736	-2.42311355678626	-2.50651279219721	0	0	0	0	0	-4.38104174397573	0	0	0	-3.65960073756267	0	-0.979751201952463	-1.23388418670948	-0.886411647477918	-1.01309541182726	-1.09751566942305	-1.58244730716034	-3.1313440728475	0	-4.31154872314994	-2.56990762353737	-3.71319640431542	0
ENSG00000005844	-1.65978885184693	-3.0726391205631	-1.3204076512325	-2.48880244056278	-3.57772322374388	-1.41247245612691	-1.48510391722886	0	-2.14053187026214	-1.1229495580849	-1.44648592745632	-0.925980815507139	-0.819045951324093	-1.35055639125905	-0.921070943286645	-0.664768844520909	-1.58145026618308	-0.89712010131928	-0.755969919334693	-0.650007781153896	-0.513381827043751	-0.889766656160889	-0.674380297485979	-0.820453502542626	-0.636275370244427	-0.973611625566657	-0.5655940509338	-0.413922013388275	-1.53130354300838	-0.296684770022375
ENSG00000005889	-2.13082429400514	-1.85862324767087	-2.19172382418765	-2.62338618740068	-1.36682652364263	-1.45569868404947	-1.27352108610671	0	-2.32805091237018	-2.46543780820802	0	-1.5503649424563	-3.64468196082202	0	0	0	0	-2.27254131886557	0	0	-4.25298990844797	0	0	0	-2.49534160723695	-2.31991488413265	-2.87247653096972	0	0	-3.82874368237383
ENSG00000005893	0	0	0	-4.23517704911003	0	-6.76756162132213	-3.04489885874087	0	-2.01779130271795	0	-2.13373589845885	0	0	0	-1.47924650780996	0	-0.300681863287484	0	0	0	-1.29027159138594	0	0	0	-1.12141810258777	-1.09788169499051	-0.232409540208056	-1.39129116994982	0	-1.28419445886642
ENSG00000006125	-0.769093436623984	-1.80748589783489	-0.791719936095072	-0.917631085385511	-1.14857562328369	-0.625034062935539	-1.09103262653845	-1.75150859247823	-0.945581577527294	0	-4.93631275521538	-2.9192512098435	-2.00565669365922	0	-3.15142460462108	-2.50726851715781	0	-1.71710841173933	-2.3972448414641	-1.21475759030294	-1.31787478107729	-3.03602760903863	-3.04256279697903	-1.97756170625467	-1.0169115703231	-1.09963410692024	-0.987867112147466	-0.818951679741527	-1.73515751516392	-0.493821680358689
ENSG00000006576	0	0	-2.79266533853876	0	-2.6466304965687	0	0	-4.16287460505462	-2.63501794372497	-5.89064309124311	0	0	-1.71498111923885	-1.07496858178158	-1.99502829663687	-0.802887532589111	-1.2448706174969	-0.936632283829355	0	-2.68739047816508	0	-2.66218159057266	-1.87198844994594	0	0	0	0	0	0	0
ENSG00000006607	0	-7.26329120976307	0	0	0	0	-2.55464395608373	0	-6.77049077369405	-1.82486242066842	-2.23744845159852	-1.82902908859879	-3.2859330300888	0	0	-3.11069921414522	-2.9437518330978	-3.3616192948814	-1.67124088666291	0	-1.06324625634942	-1.46642268191154	-1.33233637583191	-0.946074251671932	0	0	0	-2.63700926276761	-2.66260077623617	0
ENSG00000006634	0	0	-1.83849107116357	-4.3413990738083	0	0	-1.51962796077873	-3.16766348986122	0	0	-1.41064242200141	-2.79961850433331	-1.10665087176078	0	-1.842045706875	-2.39682325126499	-1.04932995675632	-2.76745439648242	-0.958360725438906	0	0	0	0	0	0	0	0	0	0	0
ENSG00000006652	0	-2.91948183936196	0	0	-1.34131794493588	0	0	0	0	-1.79513331191641	-1.2020455245719	-1.58195724408025	0	-2.733419606357	0	0	0	0	0	-2.95009046528205	0	0	-2.47649565214642	0	-1.3096567635993	-0.452903984549066	-1.3956105966024	-1.41628194888556	-1.35971498575129	-2.4567932221584
ENSG00000006695	0	0	-3.00605484932301	0	0	-4.7101080703539	0	0	-1.65374696664739	0	0	-1.93279313730591	-2.92068534722362	-0.990844160804264	-1.75973595246749	-2.57022692445219	-2.22237401429174	-1.71247064447122	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000006715	0	0	0	0	0	0	0	-1.2196262445812	-5.11437885958422	0	0	0	-4.47579595190659	-1.09086437365889	-2.86114354965441	0	-3.50437567899233	0	0	-3.31488924744384	0	0	0	0	0	-3.17576376503522	0	0	-5.48763893912134	0
ENSG00000006831	0	0	-1.69199986096212	0	0	-3.80828141821121	-2.03447887522392	-2.54240038402546	0	0	0	0	-1.1401395844869	-2.1760429067808	-2.26231238262419	-1.714706057833	-5.72023765790468	-1.36808884796985	-2.53254020423286	-2.12294047237719	-1.28456888139554	0	0	0	0	-2.17224596485663	-4.2669296354536	0	0	0
ENSG00000007168	0	0	0	0	0	-2.74099043755096	-0.902771337786782	-1.61165156854879	-0.923796749302318	-1.42245111553422	-2.94551716881027	-0.841507838210823	0	0	0	0	0	-2.8976564940762	-1.49048964540481	-2.51271308303903	-1.241674874336	-2.07866007709637	0	-1.56955901528294	0	0	0	0	0	0
ENSG00000007202	-2.54279469241202	0	-2.46519030121637	-2.53642187670682	-2.48517745280973	-1.737368171988	-1.47295839519968	-2.79282584983689	-1.70128490222287	-3.93549236742229	-2.15394949270006	-2.4163016981324	-0.851080975025411	-1.01296381869078	-1.0339759658633	-0.543293188799768	-1.05360728205339	-0.666703150254346	0	0	0	-2.74898312756272	-3.02992180699259	0	0	-3.32236375913219	-2.91247230362295	-1.42061561170309	-2.20964297785308	-2.27378529445851
ENSG00000007341	0	0	0	0	0	0	-2.30122809828719	-2.92406275500664	0	-2.61300404307441	-1.11678122276672	-2.55983182635146	0	0	0	0	0	0	-2.03751138907118	-1.94570209925837	-1.24335234329988	0	0	0	0	0	0	0	0	0
ENSG00000007392	0	0	0	0	0	0	0	0	0	0	0	0	-1.9613749768788	-1.10030900149335	-1.35216173994465	0	-0.97633647823472	0	0	0	0	0	-3.94194341564633	0	0	0	-3.29636917338676	-1.85830295621463	-0.510143739331311	0
ENSG00000007923	0	0	0	0	0	0	0	0	0	0	0	0	-3.13735930762897	-0.553909872232252	-3.94195243449573	-1.83979450776163	-1.64832023265453	-3.27288956826074	-2.40228709785835	0	0	-4.2353336312738	-2.18104729095898	-3.31648897737676	0	0	0	0	0	0
ENSG00000008018	0	-0.9971646459093	0	-3.10824144898362	-1.81332872679002	0	0	0	0	-2.18824707938874	-1.59483888407392	0	-1.87835703282125	0	-1.12591338322607	-2.47573454306722	-0.654903716035878	-1.84531100716864	-2.18032908333945	-2.72331116512681	0	0	-0.380946234959232	-2.8146983806139	0	0	0	0	0	0
ENSG00000008083	-1.56239497865375	-0.928480367645355	-1.2479461692555	-1.05316849649221	-0.90126310439695	-1.11888277795918	-3.19370225854079	0	0	0	0	0	0	-1.74628926199447	-2.25824335342621	0	-1.65477200925351	0	0	-4.14639647279896	0	0	0	0	0	0	0	0	0	0
ENSG00000008128	0	-6.08714452590332	-3.31722898427195	0	-2.34283151043444	0	0	-2.55853732137866	0	0	-2.80616046514638	-3.17323158072299	0	0	0	0	-0.513722962375065	0	-1.08616781969987	0	-4.42755313799204	-2.260738024539	-2.07868149234146	-1.50169853746615	0	-1.74464588862373	-4.1763833524301	0	-0.00871575440168748	-1.30851639621981
ENSG00000008294	-2.59754102613863	-1.1338028284342	0	-1.71074900371789	0	0	-2.61026175276508	-1.13084817332567	-4.25729237462212	0	-0.514622005252088	0	0	-2.70680825605955	0	0	0	0	0	0	0	0	0	0	-4.97422192872721	0	0	0	0	-2.4005708356645
ENSG00000008394	-2.66649219714681	-2.55215964897751	0	0	0	0	0.109727554359243	-0.0381187216220881	0.0972005045215554	0.0263735097178852	-0.176452953353047	-0.477649281622637	0.243203542762287	0.184069852840184	0.0412598608289544	-0.12715157847561	-0.455873646972582	-0.245191659368799	-0.77959737227023	-0.111377928167937	-0.142453017092774	-0.414550478502684	-0.362139255159832	-0.535555025649684	0	-2.49254967424436	0	0	0	0
ENSG00000008710	-0.792554954743613	-1.18269265882046	-1.48183544787706	-0.605058268752701	0	-0.564742373706795	-0.0581833419538347	-0.215368209635269	-0.130997348011308	-0.266008384823051	-1.5495607804065	-0.329970161499102	-1.30602597900355	0	-1.25680413341584	-1.14040509395841	-1.28617990731166	-0.775988837852212	-2.17389628008525	0	-1.22991223931795	-1.05208413271612	-1.17002524500928	-1.70217867476693	-0.455954371467577	-1.24656910633252	-0.49321261215913	0.0171408023862151	-0.258823684737526	-0.554218686132779
ENSG00000008869	-1.73403767949499	0	-4.93409916468106	-2.59860975467418	0	-1.42980047299966	-4.36274982378459	0	-2.01504509634749	0	0	0	0	-1.65072023726059	-2.36368475238395	-1.51833809096539	-3.03972597277891	-2.30395324331211	0	0	0	0	0	0	0	0	0	-2.26544840701539	0	-1.60745951039059
ENSG00000008952	0	-2.18139658222807	-6.17562475269245	0	-2.80666591072866	0	-3.11135425549064	-1.24572365086806	0	-2.48720024096379	-1.0144254282782	-2.40243295678531	-0.861424370581342	-0.480958004477579	-0.953167479712222	-1.3261049230252	-0.590979378014776	-0.911217127700503	-3.58942925620673	-1.34528300286858	0	0	-3.33864876544959	0	0	-1.39346676762038	-2.19270904583068	0	-1.0758078698884	0
ENSG00000008988	0	0	-2.79649304402433	-1.93951704882886	0	0	-1.40564052935925	-2.45940036121009	-0.949306677486876	-0.583487675689557	-0.764774089983299	-0.690524926481418	-1.40140488152701	-4.5063548790208	-1.56738858706664	0	0	-1.52736412773248	-2.69545185430392	0	0	-2.8922217963765	0	-2.21277609312276	0	0	0	0	-6.51585634547659	0
ENSG00000009307	0	0	0	0	-2.11670454758823	0	-2.0364800789594	-3.25591967432017	-4.48031606933183	0	0	0	-3.09606294666688	-2.99622037255246	-2.01450659283693	-2.50505490220511	0	-4.46914188768201	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000009335	0	0	0	0	0	0	0	0	0	0	0	0	-1.11073218873173	-1.43751524030841	-2.82655234793191	-2.05525202867054	0	-2.89366322669889	-1.26480370929447	-1.09157132277494	-1.10166955951805	-1.28514378199795	-1.3816935925337	-2.3313970297961	0	0	0	0	0	0
ENSG00000009790	0	0	0	0	0	0	0	-1.86456998285035	0	0	0	0	0	-1.38591694058756	0	0	-1.96283032787165	0	-3.73810758788671	0	0	0	-1.18998385747309	0	0	-1.2257786207732	0	0	-1.23784006607603	0
ENSG00000009844	-2.88052123694515	0	0	0	0	0	0	0	0	0	0	0	-2.75661341776219	0	-1.17994584523491	0	0	-2.31396323191975	-0.909256346518214	0	-0.69853338774772	0	-1.80911583025623	0	0	0	0	0	0	0
ENSG00000009954	0	0	-4.11603057985687	-4.48751520289711	-3.45593996293174	0	-2.21003861283044	-0.916488098326303	0	-1.90837472953416	0	-2.38605358108807	0	-3.56467305920559	-2.59238605341097	-3.90201131526443	-2.27667168057552	-1.77854638748222	-1.0802051034941	-1.74371423609521	0	-2.32605863976565	-3.51502517506001	-2.34067388141434	0	0	0	0	0	0
ENSG00000010017	-1.66423638161359	-0.700064059949808	-1.49973771530663	-1.75795980793368	-1.85977644526754	-1.91862121229544	-1.92095828486129	0	-1.20166167057047	-2.99123026163434	0	0	0	-3.53031510891281	0	0	0	0	0	0	-1.84975840574562	0	0	0	-1.23875464617138	-1.56090500580509	-1.11919872050929	0	0	-2.76249402663366
ENSG00000010244	0	-4.01951607701106	0	-3.12124099261553	-1.6117958085808	0	-2.46512061101245	0	-2.30306981668978	-3.35621565901596	-1.21643254575242	0	-1.89847526759155	0	-1.78993321888746	-1.78309885007495	-1.97836918769782	-1.95686546888714	0	0	0	0	0	0	0	-3.90915066332438	0	0	0	0
ENSG00000010292	-2.57294972765377	-2.35423667906795	-1.564342276617	0	-2.77074251484904	-1.76123888053252	0	0	0	0	0	0	-1.7438189591867	-1.84088251138943	-1.39299607197418	-0.87630231416703	-1.09901395348057	-0.694414602873902	-1.81399135879041	-0.676324942099234	-0.557783153745528	-0.771591341181674	-0.670372615596062	-0.625573174316716	0	0	0	0	-2.4706575787249	0
ENSG00000010295	0	0	0	0	0	0	-2.98077271590163	0	0	0	0	0	-1.34580430490624	-1.43329442894108	-1.9419755863001	-1.69484134463923	-3.20509631872188	-1.95516630594283	-3.25000247185539	-0.8896883741975	-1.819632903872	-1.45937497623844	-1.29198227008447	-1.79741616116807	0	0	0	0	0	0
ENSG00000010671	0	0	0	0	-2.49021336729007	0	-2.77621665233878	-2.85282409672591	0	-1.69832211896225	-2.90833124091235	-3.16777009116668	0	0	0	0	0	0	0	-0.505919800781936	0	-2.01368769354578	0	0	0	0	0	0	0	0
ENSG00000010803	0	-1.49111042156846	0	-3.3675905322076	-1.83208980729411	0	0	-1.19093392051876	0	0	0	0	-4.65067566294723	0	-2.94624514233329	0	-1.68552187669105	0	0	0	0	0	0	0	-1.95928988392663	-4.4567557551397	-2.12722360823265	0	-1.56857623564917	-1.81711886827646
ENSG00000011028	0	-1.89355957719653	-4.5912324741664	0	0	0	0	0	0	0	0	0	-1.53307098336362	0	0	0	0	0	-3.52768984106512	-1.19283427741333	-1.57286805840868	0	0	0	-0.780335366030612	-1.01941947417513	-1.00810586137619	-0.58051341081943	-1.04674482272409	-0.435738060554375
ENSG00000011243	-2.30556463850229	-1.63133796966078	0	-3.16369101784284	-2.1533492680646	0	0	0	0	0	0	0	0	0	0	0	-1.24773704383724	0	-2.33696395839341	-2.56150063822836	0	0	-1.06035936861473	0	0	0	0	0	-2.32897056057128	0
ENSG00000011260	0	0	0	0	0	0	-1.55105666668778	0	-1.78901950533604	-1.37012488795871	-1.83890761254861	0	-2.33116818491292	-2.57978383305301	-2.18650416435478	-1.47462874421647	-0.717794861523556	-1.40488154931516	-1.52663069941531	-1.87337365120593	0	0	0	0	-1.80934089900339	0	-2.02172169554484	0	0	0
ENSG00000011275	-5.73298988278361	-2.92894235757314	-3.02211342866323	-1.3183700055966	-1.14683743449718	-1.65757410372441	0	0	0	0	-2.78206152492762	0	0	0	0	0	-3.49063152413242	0	0	-2.74910721672788	0	0	0	0	0	-5.26528989048845	0	-2.05311842641078	-1.47371379933737	-1.61359112542151
ENSG00000011304	-1.96138932646811	-2.07668739287336	0	-1.59216602913023	-1.43536348301361	-3.93407117790657	-2.05761019890286	-5.21472438790686	-2.99400556582905	-1.06212623481323	-1.22474778190357	-1.35572346054071	-0.776077946694677	-0.977384122130144	-0.566306180325867	-0.786696329139186	-0.259315756907656	-0.849342415995905	0	-3.23982078855884	-5.1239652746242	-1.39753317371756	-1.27136862290242	-2.09751696226144	-1.31618275557098	-1.75594476454473	0	-1.9686742491429	-2.15943478981605	0
ENSG00000011376	0	-2.38401738294799	0	-1.41261132147379	-1.35486117848564	-1.94884567712302	0	0	0	0	0	0	0	0	0	0	-1.7168806612977	0	0	-4.8176183841725	0	0	0	0	0	0	0	0	0	0
ENSG00000011405	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-2.85288147728526	0	-2.09328110288374	-2.3106988285012	-0.672535134880985	-1.38997889394411	-1.43040118118014	-1.33429642660134	-1.20369557152891	-0.898542971267227	-1.25560729473722	-0.629721935336584	-0.908421056471752	0	-0.854199026560071
ENSG00000011426	0	-2.68608993717115	-2.13260772629954	0	0	0	-3.92189672127626	0	-1.96202445922564	0	-2.71494421026174	0	-3.87001222520979	-2.71046607678983	-1.70992695196393	0	0	0	-1.40322864836794	-0.825064800487115	-1.1479237876176	0	-1.60148271244624	-2.63599326066356	0	0	0	0	0	0
ENSG00000011454	0	0	-5.30774428071062	0	-5.60060712390455	0	-1.52898557075772	0	-1.27762396255454	-1.01452805037935	-1.5796554568784	-1.06822337177387	0	0	0	0	0	-2.98801751693894	-1.12407496830751	-1.04295505111254	-0.678185793568628	-1.24291076195385	-2.76204862167843	-0.793357221574189	0	0	0	0	0	-2.59389461345374
ENSG00000011485	-3.02688148782655	-1.27653940429391	-4.1729739712921	-2.1150736675677	-1.80138239210351	0	0	-1.36865363599795	0	0	-2.02151685585526	0	0	-1.81794315226	0	0	-3.05493874543997	0	0	-2.59437832589384	0	0	-2.38426276610155	-4.10220677714566	0	0	0	0	0	0
ENSG00000011566	-1.69202904177652	0	-1.61251182863982	-2.27591396119682	-5.72238931876884	-4.80967374327186	-2.20621519680676	-1.17999807316564	-2.82956610026475	0	-3.55232333483083	0	0	0	0	0	0	-5.70312803173623	0	0	0	0	0	0	-1.91656169762824	-2.55163743798158	0	0	0	0
ENSG00000012660	0	0	0	0	0	0	-2.54230811021723	0	-2.59999085351655	-2.08651551969395	-0.761679416144594	-2.22619394241182	0	-1.17516600199835	-2.42117368510277	-1.61390651319183	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000012983	0	0	0	-5.03167547944552	0	0	0	-3.86769038097122	0	0	0	0	0	-2.5731415882496	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000013441	0	-2.66854416139989	0	0	0	0	0	0	0	0	0	0	-2.35869856969263	-0.285837889241711	-1.80109018423793	-1.05819074775618	-1.73526881693365	-1.39234311003417	-1.67457692678337	0	0	-1.81691090750704	-2.33669402835429	-2.76888235980322	0	-1.88096913606906	0	0	0	0
ENSG00000013573	0	-4.58973307056377	0	0	0	0	0	-1.56312800056036	0	-4.83708460538178	0	0	-3.66841789686737	-4.15401939456859	0	-2.60116039797797	-1.39659092279911	0	0	-0.955158170335393	0	-1.64878553512707	-4.24083449665009	-4.14789879062327	0	-2.77225482003307	0	0	-1.23037962767927	-2.8952348594764
ENSG00000013810	0	-1.23369567739386	0	-4.71467747177233	-2.22065126594451	0	0	0	0	0	0	0	-3.36170934700382	-1.28519960779961	-1.57423371750302	-1.58893100857477	-0.626257936904737	-2.49025149935862	-0.878118631466634	-0.901317752915063	-4.13439394198928	-1.10099248110853	-0.583818794759588	-1.0235179794601	-1.82017934554317	-1.28605118028953	-1.59498379355795	-2.67310531349102	-0.586192235949408	-1.86939159613444
ENSG00000014123	0	0	0	0	0	0	-5.8182624531678	0	-3.256499669571	-1.64981403624661	-0.0740879575259211	-1.12193127257883	-1.80399632490611	-4.06037327579352	-1.53084872727487	-2.17960004898892	-5.4766370474737	-4.66943987905104	0	0	0	-3.13446386062953	0	0	0	0	-2.76199513227445	0	-3.16742324691915	0
ENSG00000014164	0	-1.76615132310855	0	-1.73919636278647	-1.17226004162177	0	-1.79881640003024	-1.41259064920516	-2.40371295803037	0	0	-3.54317623762164	0	0	0	0	-1.07198231879401	0	-1.32583114702828	-1.20446028258728	-2.10202650636991	-2.03821587795986	0	-4.46484729431017	0	0	0	0	0	0
ENSG00000014641	-2.17974149140199	0	-2.1153771062033	-4.22050456796485	0	0	0	-1.60627020578662	-4.59173907664001	0	-3.63242038994433	0	-1.04609980246692	-1.26159116074133	-2.01969477969379	-2.27458260435908	-3.54304243161482	-2.08335514444505	0	0	0	-4.70271514180154	-2.87293891113899	0	0	0	-2.72813108094122	-1.28794052677729	0	0
ENSG00000014824	-1.44599001685432	0	0	-6.31393768086293	0	-3.28105879001711	-4.21416901351152	-1.02377559967596	-3.33174612463905	-1.60468437484007	0	0	0	0	-4.61753034138922	0	-3.66717072760685	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000015479	0	0	-2.12964049261982	0	0	-1.16149610956189	0	0	-1.95578902498331	0	0	-1.35691896449618	0	0	0	0	0	0	0	0	-1.81228206594371	-0.926589628774715	-3.48108493579472	-0.907953883905673	0	0	-1.83091955744101	-1.2530132196992	0	-1.25822621805865
