	T0	GSK_Rep1	GSK_Rep2	DMSO_Rep1	DMSO_Rep2
AARS2_+_44280650.23-P1P2	1	0	0	2	2
AARS2_+_44281006.23-P1P2	4	0	0	0	1
AARSD1_-_41116243.23-P1	0	1	0	1	0
AARSD1_-_41116425.23-P1	50	29	17	64	22
AARSD1_+_41116203.23-P1	0	0	0	1	0
AARSD1_+_41116412.23-P1	0	1	0	0	0
AASDH_-_57253356.23-P1P2	5	2	2	1	7
AASDH_-_57253362.23-P1P2	0	0	0	1	0
AASDH_-_57253588.23-P1P2	0	0	0	0	1
AASDHPPT_-_105948374.23-P1P2	2	0	2	0	2
AASDHPPT_+_105948405.23-P1P2	0	1	0	0	0
AASDHPPT_+_105948813.23-P1P2	0	0	2	2	3
AASS_-_121784277.23-P1P2	0	0	1	1	0
AATF_-_35306312.23-P1P2	0	0	0	1	1
AATF_-_35306333.23-P1P2	8	0	0	0	0
AATF_-_35306340.23-P1P2	2	0	4	0	5
AATF_-_35306346.23-P1P2	2	0	0	0	0
AATF_+_35306650.23-P1P2	0	0	1	0	1
AATK_-_79139586.23-ENST00000326724.4	1	0	0	0	0
AATK_-_79139956.23-ENST00000326724.4	0	0	1	1	0
AATK_+_79139589.23-ENST00000326724.4	0	1	0	0	0
AATK_+_79139592.23-ENST00000326724.4	0	1	1	0	0
ABAT_-_8768504.23-P1	0	0	0	1	0
ABAT_-_8768523.23-P1	4	2	1	3	2
ABAT_+_8768492.23-P1	1	0	0	1	0
ABAT_+_8768682.23-P1	0	1	0	0	0
ABAT_+_8807445.23-P2	0	0	1	2	0
ABAT_+_8807450.23-P2	13	2	6	39	10
ABAT_+_8807464.23-P2	5	41	11	48	28
ABAT_+_8807696.23-P2	0	0	0	0	1
ABCA1_-_107690031.23-P1P2	0	0	0	0	2
ABCA1_-_107690385.23-P1P2	1	0	1	0	1
ABCA1_-_107690394.23-P1P2	0	1	0	0	1
ABCA10_-_67224447.23-P1P2	1	0	0	1	1
ABCA10_-_67224767.23-P1P2	0	0	1	0	0
ABCA10_+_67224811.23-P1P2	18	3	15	0	5
ABCA12_+_216003314.23-P1P2	0	0	0	1	0
ABCA13_-_48211093.23-P1P2	7	15	5	0	15
ABCA13_+_48211160.23-P1P2	12	6	0	10	1
ABCA2_+_139922190.23-P1P2	0	0	0	2	0
ABCA2_+_139922272.23-P1P2	26	48	75	85	34
ABCA3_-_2390323.23-P1P2	11	15	8	1	10
ABCA3_+_2390611.23-P1P2	0	0	0	1	3
ABCA4_-_94586250.23-P1P2	0	0	0	1	1
ABCA4_-_94586658.23-P1P2	0	1	0	0	1
ABCA5_-_67322851.23-P1P2	0	0	0	3	0
ABCA5_-_67322872.23-P1P2	1	0	3	5	6
ABCA5_-_67323220.23-P1P2	0	0	1	0	0
ABCA6_-_67137854.23-P1P2	0	0	0	1	0
ABCA6_+_67138026.23-P1P2	0	0	1	0	0
ABCA6_+_67138050.23-P1P2	0	1	0	0	0
ABCA7_-_1040133.23-P1	0	0	0	0	1
ABCA7_-_1041459.23-P2	19	0	14	13	3
ABCA7_+_1040413.23-P1	1	0	0	0	0
ABCA7_+_1041292.23-P2	4	6	11	5	0
ABCA7_+_1041297.23-P2	0	0	0	1	0
ABCA8_-_66951372.23-P1P2	0	0	1	0	0
ABCA8_-_66951525.23-P1P2	0	0	1	0	0
ABCA8_-_66951528.23-P1P2	0	1	0	0	1
ABCA8_+_66950959.23-P1P2	0	1	0	1	0
ABCA9_-_67057053.23-P1P2	0	0	0	1	0
ABCB1_-_87342302.23-ENST00000265724.3	0	0	0	0	9
ABCB1_-_87342674.23-ENST00000265724.3	0	0	1	0	1
ABCB10_-_229694457.23-P1P2	0	0	0	1	0
ABCB10_-_229694467.23-P1P2	13	8	13	152	14
ABCB11_-_169887416.23-P1P2	0	1	0	1	1
ABCB11_-_169887784.23-P1P2	12	17	13	98	1
ABCB11_+_169887811.23-P1P2	3	0	0	0	0
ABCB4_-_87104608.23-P1P2	1	0	0	0	0
ABCB4_+_87104939.23-P1P2	0	0	0	1	0
ABCB4_+_87105008.23-P1P2	17	40	19	72	12
ABCB5_-_20687396.23-P1P2	0	1	0	0	0
ABCB5_+_20687242.23-P1P2	1	0	0	0	0
ABCB6_-_220083181.23-P1P2	24	24	38	48	44
ABCB6_-_220083194.23-P1P2	0	0	0	1	0
ABCB6_-_220083604.23-P1P2	24	4	4	40	42
ABCB6_+_220083500.23-P1P2	0	0	0	0	1
ABCB7_-_74376019.23-P1P2	0	0	0	0	1
ABCB8_-_150725580.23-P1P2	0	0	0	1	0
ABCB8_+_150725965.23-P1P2	4	3	0	15	9
ABCB9_-_123450999.23-P1	0	0	0	0	1
ABCB9_-_123465738.23-P2	2	1	3	3	1
ABCB9_-_123465787.23-P2	0	2	0	1	0
ABCB9_+_123450566.23-P1	0	0	0	0	1
ABCB9_+_123450826.23-P1	1	2	0	7	0
ABCB9_+_123450970.23-P1	0	4	1	0	1
ABCC1_-_16043934.23-P1P2	0	0	0	1	0
ABCC1_+_16043921.23-P1P2	0	0	0	0	1
ABCC11_-_48277852.23-P1	0	1	0	1	1
ABCC11_-_48278122.23-P1	0	0	1	1	1
ABCC11_-_48280980.23-P2	0	0	0	1	0
ABCC12_-_48180643.23-ENST00000311303.3	0	0	0	1	0
ABCC12_-_48180679.23-ENST00000311303.3	12	44	6	18	5
ABCC12_+_48180636.23-ENST00000311303.3	0	0	1	1	0
ABCC3_+_48712559.23-P1P2	0	0	0	1	1
ABCC4_+_95953430.23-P1P2	0	0	0	1	0
ABCC4_+_95953641.23-P1P2	15	35	8	37	16
ABCC4_+_95953668.23-P1P2	0	1	0	0	1
ABCC5_-_183735259.23-P1P2	1	0	0	0	1
ABCC5_-_183735312.23-P1P2	0	0	1	2	1
ABCC5_-_183735467.23-P1P2	7	10	13	17	13
ABCC5_+_183735692.23-P1P2	0	0	1	0	0
ABCC6_-_16317235.23-ENST00000205557.7	0	0	1	0	0
ABCC6_-_16317247.23-ENST00000205557.7	0	0	0	1	0
ABCC8_-_17497979.23-P1P2	0	0	0	0	1
ABCC8_+_17497953.23-P1P2	0	0	0	1	0
ABCC8_+_17498387.23-P1P2	25	17	12	3	1
ABCC9_+_22093678.23-P1P2	0	0	0	0	1
ABCC9_+_22093941.23-P1P2	1	0	0	0	0
ABCC9_+_22094309.23-P1P2	0	0	0	0	1
ABCD1_-_152990379.23-P1P2	0	0	0	0	2
ABCD1_-_152990703.23-P1P2	1	0	1	0	0
ABCD1_+_152990414.23-P1P2	1	0	0	4	0
ABCD1_+_152990711.23-P1P2	53	28	10	100	69
ABCD2_+_40013514.23-P1P2	0	0	1	0	0
ABCD3_-_94883974.23-P1P2	1	0	0	0	0
ABCD3_+_94884009.23-P1P2	0	0	0	1	0
ABCD3_+_94884032.23-P1P2	156	864	649	6115	2853
ABCD3_+_94884219.23-P1P2	0	0	0	2	0
ABCD3_+_94884473.23-P1P2	1	0	0	0	0
ABCD4_-_74769631.23-P1P2	0	0	1	1	1
ABCF1_-_30539602.23-P1	1	8	9	6	0
ABCF1_-_30546344.23-P2	0	0	0	1	0
ABCF1_-_30546354.23-P2	11	1	20	1	0
ABCF1_+_30539469.23-P1	0	0	0	1	0
ABCF1_+_30546315.23-P2	13	9	4	46	35
ABCF2_-_150923882.23-P1P2	2	0	0	0	0
ABCF2_+_150923872.23-P1P2	0	0	0	0	2
ABCF2_+_150923902.23-P1P2	0	0	0	9	15
ABCF3_-_183903980.23-P1P2	8	0	0	7	13
ABCF3_-_183903991.23-P1P2	0	0	0	3	0
ABCF3_-_183904380.23-P1P2	0	0	1	0	0
ABCG1_-_43639282.23-P1P2	0	0	0	0	2
ABCG1_-_43639541.23-P1P2	5	0	0	8	4
ABCG1_+_43639544.23-P1P2	0	0	0	1	0
ABCG2_-_89079989.23-P1P2	0	1	1	5	4
ABCG2_+_89079727.23-P1P2	1	0	0	0	0
ABCG2_+_89080025.23-P1P2	0	0	0	1	0
ABCG4_-_119019811.23-P1P2	442	569	741	1886	1234
ABCG4_+_119019794.23-P1P2	12	5	18	5	0
ABCG5_-_44065428.23-P1P2	0	0	0	0	1
ABCG5_+_44065447.23-P1P2	0	1	0	0	0
ABCG5_+_44065865.23-P1P2	0	0	0	0	1
ABCG8_-_44066172.23-P1P2	0	0	0	2	0
ABCG8_+_44066333.23-P1P2	1	0	0	0	0
ABHD1_-_27346733.23-P1P2	0	1	0	0	0
ABHD1_+_27347075.23-P1P2	1	0	1	0	2
ABHD1_+_27347086.23-P1P2	11	4	8	34	0
ABHD1_+_27347132.23-P1P2	0	0	0	1	0
ABHD10_-_111697914.23-P1P2	0	0	0	1	0
ABHD10_+_111697851.23-P1P2	0	0	0	1	0
ABHD10_+_111698316.23-P1P2	0	0	0	1	0
ABHD11_-_73152688.23-P1P2	1	0	0	0	0
ABHD11_-_73153094.23-P1P2	0	0	0	0	1
ABHD11_-_73153135.23-P1P2	0	1	0	0	1
ABHD11_+_73152656.23-P1P2	2	13	8	4	1
ABHD12_-_25371057.23-P1P2	1	0	0	0	0
ABHD12_+_25371393.23-P1P2	0	0	0	1	1
ABHD12B_-_51338832.23-P1P2	0	1	0	0	0
ABHD12B_-_51338885.23-P1P2	0	0	0	2	1
ABHD13_-_108870880.23-P1P2	0	0	0	1	0
ABHD13_-_108871313.23-P1P2	0	0	0	0	1
ABHD13_+_108870811.23-P1P2	1	0	0	2	1
ABHD14A_-_52009122.23-P1P2	18	22	5	40	15
ABHD14A_+_52009149.23-P1P2	2	0	1	2	0
ABHD14A_+_52009194.23-P1P2	15	14	7	8	33
ABHD14A_+_52009255.23-P1P2	0	1	0	3	0
ABHD14B_-_52016965.23-P2	0	0	1	0	0
ABHD14B_+_52016945.23-P2	40	38	18	117	32
ABHD14B_+_52017325.23-P2	0	0	0	1	0
ABHD14B_+_52017350.23-P2	0	0	2	1	2
ABHD15_-_27893577.23-P1P2	0	0	0	1	0
ABHD15_-_27894008.23-P1P2	0	0	0	2	0
ABHD16A_-_31670671.23-P1P2	0	0	0	2	0
ABHD16A_-_31670764.23-P1P2	0	0	0	0	1
ABHD16B_+_62492837.23-P1P2	0	0	0	1	0
ABHD17A_-_1885076.23-P1P2	4	1	0	0	0
ABHD17C_+_80987703.23-P1P2	23	34	67	74	90
ABHD17C_+_80987887.23-P1P2	0	0	0	2	0
ABHD2_-_89631738.23-P1P2	0	0	0	1	0
ABHD2_-_89631760.23-P1P2	2	0	0	0	0
ABHD2_-_89632154.23-P1P2	1	0	0	0	0
ABHD2_+_89631693.23-P1P2	0	1	1	0	0
ABHD2_+_89632075.23-P1P2	0	0	1	0	0
ABHD3_-_19284770.23-P1P2	0	0	1	3	1
ABHD3_+_19284354.23-P1P2	0	0	1	1	0
ABHD3_+_19284717.23-P1P2	0	1	1	1	0
ABHD4_-_23067199.23-P1P2	0	0	0	1	0
ABHD4_-_23067625.23-P1P2	0	0	1	0	3
ABHD4_-_23067680.23-P1P2	9	0	0	9	2
ABHD4_+_23067515.23-P1P2	0	0	0	0	1
ABHD4_+_23067613.23-P1P2	1	0	1	2	1
ABHD5_-_43732422.23-P1P2	0	0	0	1	0
ABHD5_+_43732395.23-P1P2	28	4	26	147	49
ABHD5_+_43732521.23-P1P2	11	38	8	24	2
ABHD5_+_43732806.23-P1P2	29	60	68	85	114
ABHD6_-_58223594.23-P1P2	0	0	0	1	0
ABHD6_-_58223914.23-P1P2	0	0	2	3	0
ABHD8_-_17413788.23-P1P2	0	0	0	1	1
ABHD8_-_17414169.23-P1P2	0	1	0	0	0
ABHD8_-_17414173.23-P1P2	2	5	1	4	0
ABHD8_-_17414201.23-P1P2	0	0	0	1	1
ABI1_-_27149855.23-P1P2	21	12	19	56	19
ABI1_+_27149800.23-P1P2	2	1	9	3	2
ABI2_-_204193058.23-P1P2	15	16	18	47	23
ABI2_-_204193288.23-P1P2	13	4	5	20	19
ABI2_+_204193030.23-P1P2	7	9	3	0	0
ABI2_+_204193458.23-P1P2	8	0	6	0	2
ABI3_-_47288028.23-P1P2	0	0	0	1	0
ABI3_+_47288159.23-P1P2	0	1	0	0	1
ABI3BP_-_100712267.23-P1P2	0	0	0	1	0
ABI3BP_-_100712320.23-P1P2	63	14	21	48	25
ABI3BP_+_100712307.23-P1P2	74	114	119	389	136
ABL1_-_133589228.23-ENST00000372348.2	5	0	2	20	1
ABL1_-_133589268.23-ENST00000372348.2	0	0	0	1	0
ABL1_+_133589617.23-ENST00000372348.2	0	0	1	1	1
ABL1_+_133589636.23-ENST00000372348.2	0	1	0	0	0
ABL2_-_179112151.23-P1	0	0	0	0	1
ABL2_+_179112186.23-P1	0	1	1	2	0
ABL2_+_179198340.23-P2	0	0	0	1	1
ABL2_+_179198740.23-P2	0	0	0	1	0
ABLIM1_-_116417810.23-ENST00000277895.5	0	0	0	1	1
ABLIM1_+_116417743.23-ENST00000277895.5	1	1	0	1	1
ABLIM1_+_116418018.23-ENST00000277895.5	14	16	41	11	26
ABLIM2_-_8160138.23-P1P2	1	0	0	0	0
ABLIM3_-_148521229.23-P1P2	0	1	0	1	1
ABLIM3_+_148521102.23-P1P2	0	0	1	1	0
ABLIM3_+_148521451.23-P1P2	0	1	0	1	1
ABO_-_136130921.23-P2	0	0	1	1	1
ABO_-_136130955.23-P2	0	0	1	0	0
ABO_-_136150600.23-P1	4	7	2	2	3
ABO_-_136150606.23-P1	0	1	0	0	0
ABO_+_136150601.23-P1	0	0	0	1	3
ABR_-_1083263.23-P1P2	1	0	0	0	0
ABR_+_1082842.23-P1P2	1	0	0	0	0
ABRA_-_107782347.23-P1P2	5	4	12	12	25
ABRA_-_107782350.23-P1P2	0	0	1	1	1
ABRA_+_107782019.23-P1P2	1	0	0	0	0
ABRA_+_107782392.23-P1P2	0	0	0	0	2
ABRACL_+_139349879.23-P1P2	0	0	1	1	0
ABRACL_+_139349931.23-P1P2	0	0	0	0	1
ABT1_-_26597263.23-P1P2	1	1	0	1	2
ABT1_+_26597184.23-P1P2	0	0	1	1	0
ABTB1_+_127391808.23-P1P2	2	0	3	1	0
ABTB1_+_127391828.23-P1P2	49	4	1	8	30
ABTB1_+_127392221.23-P1P2	7	0	2	1	0
ABTB2_-_34379074.23-P1P2	13	2	0	36	1
ABTB2_-_34379146.23-P1P2	1	1	0	2	0
ABTB2_-_34379310.23-P1P2	17	31	29	14	30
ABTB2_-_34379465.23-P1P2	2	0	1	0	0
ABTB2_-_34379521.23-P1P2	0	0	0	1	0
ACAA1_-_38178168.23-P1P2	5	0	0	5	0
ACAA1_+_38178488.23-P1P2	0	0	0	0	1
ACAA1_+_38178517.23-P1P2	35	28	87	123	46
ACAA1_+_38178570.23-P1P2	0	0	1	0	0
ACAA2_-_47339449.23-P1P2	1	0	0	0	0
ACAA2_-_47339855.23-P1P2	23	21	51	28	49
ACAA2_-_47339858.23-P1P2	27	3	22	28	22
ACAA2_-_47339876.23-P1P2	10	1	8	23	11
ACAA2_+_47339850.23-P1P2	1	0	0	1	3
ACACA_+_35715534.23-P1P2	11	1	2	12	9
ACACB_-_109569178.23-P1	7	0	0	0	0
ACACB_-_109569231.23-P1	0	1	0	0	0
ACACB_-_109592519.23-P2	0	1	0	0	0
ACACB_+_109569160.23-P1	1	0	0	0	0
ACACB_+_109569170.23-P1	1	2	1	0	0
ACACB_+_109592908.23-P2	7	25	0	3	10
ACAD10_-_112123894.23-P1P2	3	0	0	0	3
ACAD10_-_112123907.23-P1P2	0	0	1	0	0
ACAD10_-_112124210.23-P1P2	1	0	0	0	0
ACAD10_+_112124115.23-P1P2	27	3	0	6	8
ACAD8_-_134123455.23-P1P2	0	0	1	2	1
ACAD8_-_134123502.23-P1P2	1	0	0	1	0
ACAD8_+_134123511.23-P1P2	1	0	0	0	0
ACAD9_-_128598528.23-P1P2	11	3	7	22	15
ACAD9_-_128598541.23-P1P2	0	0	0	1	0
ACADL_-_211090030.23-P1P2	6	16	12	7	9
ACADL_-_211090048.23-P1P2	10	0	5	1	0
ACADL_-_211090095.23-P1P2	15	3	10	35	16
ACADM_-_76190633.23-P1P2	0	0	0	0	1
ACADM_+_76190432.23-P1P2	30	7	17	17	25
ACADS_-_121163653.23-P1P2	0	0	0	1	0
ACADS_-_121163657.23-P1P2	0	0	1	1	0
ACADS_-_121163671.23-P1P2	10	14	22	51	36
ACADS_+_121163685.23-P1P2	0	0	0	1	0
ACADSB_-_124768552.23-P1P2	65	28	49	54	18
ACADSB_+_124768891.23-P1P2	0	0	0	1	0
ACADSB_+_124768944.23-P1P2	0	0	1	0	1
ACADVL_-_7123283.23-P1P2	2	1	0	10	1
ACADVL_-_7123639.23-P1P2	0	0	1	0	0
ACADVL_-_7123665.23-P1P2	0	0	1	1	5
ACADVL_-_7123677.23-P1P2	0	2	0	0	0
ACAN_-_89347101.23-P1P2	0	0	0	1	0
ACAN_+_89347148.23-P1P2	0	0	0	1	0
ACAP1_-_7240242.23-P1P2	0	0	0	1	0
ACAP1_+_7240320.23-P1P2	0	1	0	0	0
ACAP2_-_195163655.23-P1P2	0	0	0	0	1
ACAP3_-_1243095.23-P1P2	0	0	1	1	0
ACAP3_-_1243221.23-P1P2	0	1	0	0	0
ACAP3_+_1243258.23-P1P2	0	0	1	0	1
ACAT1_-_107992733.23-P1P2	0	0	1	0	1
ACAT1_+_107992288.23-P1P2	1	0	0	9	0
ACAT1_+_107992310.23-P1P2	0	0	0	0	1
ACAT1_+_107992321.23-P1P2	1	0	0	0	0
ACAT2_-_160183054.23-P1P2	1	0	0	0	0
ACAT2_-_160183174.23-P1P2	1	1	0	0	0
ACAT2_+_160183436.23-P1P2	0	1	0	0	0
ACBD3_-_226373992.23-P1P2	0	1	1	1	1
ACBD3_-_226374403.23-P1P2	1	0	0	0	1
ACBD3_+_226374329.23-P1P2	0	0	0	1	0
ACBD4_-_43213072.23-P1	2	1	1	4	0
ACBD4_+_43210042.23-P2	116	150	64	285	48
ACBD5_+_27529682.23-P1P2	0	1	0	0	0
ACBD5_+_27529710.23-P1P2	0	0	1	2	0
ACBD6_-_180471707.23-P1P2	2	0	0	0	3
ACBD6_+_180471354.23-P1P2	26	45	58	63	84
ACBD6_+_180471617.23-P1P2	0	0	0	0	1
ACBD7_+_15130520.23-P1P2	3	0	0	7	0
ACBD7_+_15130776.23-P1P2	1	0	0	0	0
ACCS_-_44088090.23-P1P2	57	82	105	102	5
ACCS_+_44087946.23-P1P2	0	0	1	3	0
ACCS_+_44088091.23-P1P2	0	0	0	1	0
ACCS_+_44088215.23-P1P2	1	0	0	0	0
ACCSL_+_44069616.23-ENST00000378832.1	0	0	0	2	2
ACD_-_67693904.23-P1P2	11	2	0	22	29
ACD_+_67693748.23-P1P2	1	0	1	0	0
ACE_-_61554458.23-P1	0	0	0	3	1
ACE_-_61554461.23-P1	0	0	0	1	0
ACE_-_61562238.23-P2	0	0	0	1	0
ACE_-_61562443.23-P2	36	50	121	50	55
ACE_-_61562661.23-P2	0	1	0	0	0
ACE_+_61554829.23-P1	1	1	0	0	1
ACE_+_61562272.23-P2	0	0	0	2	0
ACER2_-_19409474.23-P1P2	0	0	1	1	1
ACER2_+_19409248.23-P1P2	0	1	0	1	0
ACER2_+_19409376.23-P1P2	0	2	0	0	0
ACER3_-_76572000.23-P1P2	0	0	0	3	0
ACER3_-_76572003.23-P1P2	3	5	2	3	1
ACER3_-_76572404.23-P1P2	0	0	0	0	1
ACER3_+_76571969.23-P1P2	4	0	0	0	1
ACHE_-_100494233.23-P2	1	0	0	1	0
ACHE_-_100494236.23-P2	0	2	0	1	0
ACHE_-_100494578.23-P2	1	0	0	0	0
ACHE_+_100494570.23-P2	0	1	0	0	2
ACIN1_-_23540730.23-P2	1	0	0	0	0
ACIN1_-_23540756.23-P2	0	0	0	3	2
ACIN1_-_23563847.23-P1	0	1	0	1	0
ACIN1_-_23563913.23-P1	0	1	1	0	1
ACIN1_-_23564262.23-P1	0	2	1	0	0
ACIN1_-_23564284.23-P1	0	0	0	1	0
ACKR2_+_42850956.23-P1P2	1	0	0	0	0
ACKR3_-_237476493.23-P2	12	13	8	40	13
ACKR3_+_237476473.23-P2	0	0	0	1	0
ACKR3_+_237478916.23-P1	0	0	1	1	0
ACKR3_+_237478950.23-P1	1	1	1	1	2
ACKR4_-_132316111.23-P1P2	0	0	1	1	0
ACKR4_-_132316525.23-P1P2	1	0	0	0	0
ACMSD_-_135596354.23-P1P2	0	0	0	0	1
ACMSD_-_135596683.23-P1P2	0	0	0	1	0
ACN9_-_96747046.23-P1P2	2	1	0	0	0
ACN9_+_96747240.23-P1P2	3	1	2	10	13
ACO1_-_32384733.23-P1P2	1	0	3	17	0
ACO1_-_32385047.23-P1P2	6	9	0	4	2
ACO1_-_32385064.23-P1P2	0	0	0	1	0
ACO1_+_32385057.23-P1P2	0	0	0	1	0
ACOT1_-_74004076.23-P1P2	13	8	10	25	5
ACOT1_+_74003818.23-P1P2	15	19	5	2	34
ACOT1_+_74003843.23-P1P2	0	0	0	1	0
ACOT1_+_74004100.23-P1P2	0	0	1	0	0
ACOT11_-_55013950.23-P1	0	0	1	0	0
ACOT11_-_55014234.23-P1	0	0	0	1	0
ACOT11_+_55007963.23-P2	10	0	0	1	0
ACOT11_+_55013970.23-P1	0	1	0	0	0
ACOT12_-_80689897.23-P1P2	0	0	0	1	0
ACOT13_-_24667329.23-P1P2	0	0	1	1	0
ACOT13_+_24667341.23-P1P2	0	0	0	1	0
ACOT2_-_74036051.23-P1P2	0	0	0	1	0
ACOT2_-_74036501.23-P1P2	0	0	0	0	1
ACOT2_+_74036024.23-P1P2	0	0	1	0	0
ACOT4_-_74059268.23-P1P2	0	0	0	1	1
ACOT4_+_74058635.23-P1P2	6	0	3	8	1
ACOT4_+_74058647.23-P1P2	0	0	1	0	0
ACOT6_-_74078059.23-P1P2	0	0	1	0	0
ACOT6_+_74077704.23-P1P2	0	0	1	0	0
ACOT6_+_74077926.23-P1P2	1	1	0	0	0
ACOT7_-_6453369.23-P1P2	1	0	0	0	0
ACOT7_-_6453388.23-P1P2	380	1198	1495	4303	2533
ACOT7_-_6453406.23-P1P2	0	1	0	1	0
ACOT7_+_6453356.23-P1P2	0	0	1	0	1
ACOT8_-_44486001.23-P1P2	0	1	0	0	0
ACOT9_-_23761316.23-P1P2	6	3	0	1	0
ACOT9_-_23761394.23-P1P2	0	0	0	0	1
ACOT9_+_23761133.23-P1P2	0	1	0	0	0
ACOT9_+_23761350.23-P1P2	0	0	0	1	0
ACOT9_+_23761360.23-P1P2	7	3	5	26	9
ACOX1_-_73975196.23-P1P2	0	0	0	1	1
ACOX1_-_73975245.23-P1P2	0	0	0	1	1
ACOX2_+_58512428.23-P2	0	0	0	1	0
ACOX2_+_58512441.23-P2	16	7	13	11	7
ACOX2_+_58522520.23-P1	27	260	173	1433	821
ACOX2_+_58522893.23-P1	0	0	1	1	0
ACOX3_-_8430094.23-P1	0	0	0	1	0
ACOX3_-_8430129.23-P1	1	0	0	0	0
ACOX3_-_8442435.23-P2	11	9	9	66	27
ACOX3_+_8430113.23-P1	4	0	0	0	0
ACOXL_-_111490612.23-P1P2	0	0	0	1	0
ACOXL_+_111490271.23-P1P2	0	0	1	1	0
ACOXL_+_111490547.23-P1P2	0	0	0	1	0
ACP1_-_264967.23-P1P2	0	1	1	3	0
ACP1_+_264980.23-P1P2	0	1	0	0	0
ACP1_+_265303.23-P1P2	0	0	0	1	0
ACP2_-_47269915.23-P1P2	0	0	0	2	2
ACP2_+_47270320.23-P1P2	0	0	0	0	1
ACP5_-_11688064.23-P1	1	0	0	6	0
ACP5_-_11688086.23-P1	0	1	0	0	0
ACP5_-_11688414.23-P1	0	0	0	0	2
ACP5_-_11688437.23-P1	0	0	1	0	1
ACP5_-_11689356.23-P2	0	0	0	0	1
ACP5_-_11689724.23-P2	3	1	2	0	2
ACP5_-_11689727.23-P2	0	0	1	0	1
ACP5_-_11689771.23-P2	0	0	1	2	1
ACP6_+_147142159.23-P1P2	0	0	0	1	0
ACPL2_-_140950647.23-P1P2	2	2	1	4	3
ACPL2_+_140950942.23-P1P2	0	1	1	0	0
ACPL2_+_140951203.23-P1P2	0	0	1	0	1
ACPP_+_132036293.23-P1P2	0	2	0	4	0
ACPT_-_51293910.23-ENST00000270593.1	0	0	1	1	0
ACR_-_51176666.23-P1P2	18	16	1	27	2
ACR_-_51176714.23-P1P2	0	0	0	1	0
ACR_+_51177061.23-P1P2	0	1	0	0	0
ACR_+_51177099.23-P1P2	0	0	0	1	0
ACRBP_-_6756126.23-P1P2	1	0	6	0	2
ACRBP_-_6756147.23-P1P2	0	0	0	1	0
ACRC_-_70797923.23-P1P2	0	0	0	2	0
ACRC_-_70798359.23-P1P2	0	0	0	1	0
ACRC_-_70798376.23-P1P2	0	1	0	0	0
