GO	[-19.75 -4.14]	[-4.14 -3.21]	[-3.21 -2.54]	[-2.54 -2.03]	[-2.03 -1.47]	[-1.47 -0.62]	[-0.62 1.08]	[1.08 1.93]	[1.93 2.78]	[2.78 4.09]	[4.09 6.75]
GSE23925_LIGHT_ZONE_VS_DARK_ZONE_BCELL_UP GSE23925_LIGHT_ZONE_VS_DARK_ZONE_BCELL_UP	2.000	-1.394	1.653	0.810	-1.006	0.810	-1.905	-0.325	-1.905	-0.325	0.589
GSE21546_WT_VS_ELK1_KO_ANTI_CD3_STIM_DP_THYMOCYTES_UP GSE21546_WT_VS_ELK1_KO_ANTI_CD3_STIM_DP_THYMOCYTES_UP	-4.078	0.560	-1.743	0.976	0.560	0.560	0.269	-0.491	0.752	1.231	-0.498
GSE411_WT_VS_SOCS3_KO_MACROPHAGE_IL6_STIM_400MIN_DN GSE411_WT_VS_SOCS3_KO_MACROPHAGE_IL6_STIM_400MIN_DN	-0.729	-0.554	2.066	2.066	0.542	-2.804	-0.301	-1.866	-0.554	1.066	0.294
GSE27786_BCELL_VS_NEUTROPHIL_DN GSE27786_BCELL_VS_NEUTROPHIL_DN	0.727	-1.227	0.727	0.969	-2.368	0.727	0.969	-2.368	-0.596	1.248	-0.403
GSE14350_TREG_VS_TEFF_UP GSE14350_TREG_VS_TEFF_UP	2.208	-1.412	-0.266	-0.668	0.339	-1.412	-1.117	-1.764	0.950	0.764	2.182
GSE11961_FOLLICULAR_BCELL_VS_PLASMA_CELL_DAY7_UP GSE11961_FOLLICULAR_BCELL_VS_PLASMA_CELL_DAY7_UP	-1.204	-1.625	-0.432	2.361	-0.432	-0.877	-0.877	3.173	0.843	-0.289	-0.439
GSE26928_NAIVE_VS_EFF_MEMORY_CD4_TCELL_UP GSE26928_NAIVE_VS_EFF_MEMORY_CD4_TCELL_UP	1.707	-3.804	-0.443	0.739	-0.614	-1.101	-0.443	2.013	0.291	0.414	0.285
GSE37301_COMMON_LYMPHOID_PROGENITOR_VS_CD4_TCELL_UP GSE37301_COMMON_LYMPHOID_PROGENITOR_VS_CD4_TCELL_UP	0.401	4.743	-0.849	0.547	-0.629	-1.462	-1.123	-0.629	-0.849	0.720	0.538
GSE26669_CD4_VS_CD8_TCELL_IN_MLR_UP GSE26669_CD4_VS_CD8_TCELL_IN_MLR_UP	0.497	-2.170	0.356	0.356	1.621	-2.783	2.258	-0.252	-0.522	0.356	-0.531
GSE26928_NAIVE_VS_CXCR5_POS_CD4_TCELL_DN GSE26928_NAIVE_VS_CXCR5_POS_CD4_TCELL_DN	0.820	1.282	1.037	-0.552	-3.650	-0.552	0.333	1.037	-1.015	-1.015	0.808
GSE24634_IL4_VS_CTRL_TREATED_NAIVE_CD4_TCELL_DAY3_UP GSE24634_IL4_VS_CTRL_TREATED_NAIVE_CD4_TCELL_DAY3_UP	0.399	-1.743	2.943	-0.336	-0.336	-1.743	0.752	-0.491	1.515	-1.306	0.264
GSE13547_CTRL_VS_ANTI_IGM_STIM_ZFX_KO_BCELL_2H_DN GSE13547_CTRL_VS_ANTI_IGM_STIM_ZFX_KO_BCELL_2H_DN	0.257	-0.751	-1.970	-0.522	0.762	0.559	0.559	1.270	1.910	-0.351	-2.682
GSE45365_WT_VS_IFNAR_KO_CD11B_DC_MCMV_INFECTION_UP GSE45365_WT_VS_IFNAR_KO_CD11B_DC_MCMV_INFECTION_UP	1.692	1.692	-1.005	0.951	-0.567	-1.303	-2.109	-1.303	0.311	0.311	1.157
GSE8621_LPS_STIM_VS_LPS_PRIMED_AND_LPS_STIM_MACROPHAGE_UP GSE8621_LPS_STIM_VS_LPS_PRIMED_AND_LPS_STIM_MACROPHAGE_UP	-1.273	-1.273	0.849	-0.566	-1.273	3.168	-0.566	0.605	0.849	-0.860	0.598
GSE17974_2H_VS_72H_UNTREATED_IN_VITRO_CD4_TCELL_DN GSE17974_2H_VS_72H_UNTREATED_IN_VITRO_CD4_TCELL_DN	0.291	-0.614	0.563	0.739	0.739	0.291	0.563	-0.614	0.941	0.291	-4.943
GSE15330_GRANULOCYTE_MONOCYTE_PROGENITOR_VS_PRO_BCELL_UP GSE15330_GRANULOCYTE_MONOCYTE_PROGENITOR_VS_PRO_BCELL_UP	-1.879	-1.171	-0.264	0.786	-1.492	2.000	-0.264	2.644	0.341	-0.373	-0.699
GSE40666_UNTREATED_VS_IFNA_STIM_STAT4_KO_EFFECTOR_CD8_TCELL_90MIN_DN GSE40666_UNTREATED_VS_IFNA_STIM_STAT4_KO_EFFECTOR_CD8_TCELL_90MIN_DN	0.680	1.564	-2.226	-1.087	0.520	-0.331	-1.087	-0.626	-1.087	1.307	1.823
GSE20198_IL12_IL18_VS_IFNA_TREATED_ACT_CD4_TCELL_UP GSE20198_IL12_IL18_VS_IFNA_TREATED_ACT_CD4_TCELL_UP	0.273	0.385	0.520	-1.087	2.148	1.307	0.520	0.865	-1.772	-1.397	-1.790
GSE17721_LPS_VS_PAM3CSK4_1H_BMDC_UP GSE17721_LPS_VS_PAM3CSK4_1H_BMDC_UP	-2.923	-1.793	-0.417	0.440	1.488	-0.291	-0.291	0.596	2.092	-0.582	0.432
GSE45365_CD8A_DC_VS_CD11B_DC_UP GSE45365_CD8A_DC_VS_CD11B_DC_UP	1.171	-0.734	3.248	-1.803	-1.008	-1.008	-0.734	0.925	-0.360	0.372	0.366
GSE3982_MEMORY_CD4_TCELL_VS_TH2_DN GSE3982_MEMORY_CD4_TCELL_VS_TH2_DN	-2.108	-0.686	1.142	0.528	0.261	-0.345	-0.345	0.705	2.711	-0.345	-2.126
GSE18281_MEDULLARY_THYMOCYTE_VS_WHOLE_MEDULLA_THYMUS_UP GSE18281_MEDULLARY_THYMOCYTE_VS_WHOLE_MEDULLA_THYMUS_UP	-1.240	-0.686	1.403	-0.686	1.691	-0.493	-0.345	-2.714	0.528	1.403	0.374
