GO	[-6.80 -4.15]	[-4.15 -3.21]	[-3.21 -2.54]	[-2.54 -2.03]	[-2.03 -1.47]	[-1.47 -0.62]	[-0.62 1.11]	[1.11 1.94]	[1.94 2.79]	[2.79 4.09]	[4.09 6.64]
GOMF_MANNOSYLTRANSFERASE_ACTIVITY GOMF_MANNOSYLTRANSFERASE_ACTIVITY	-0.746	-0.298	0.655	-0.746	2.403	0.655	-0.746	-0.746	-0.298	-0.746	1.133
GOBP_NUCLEOSIDE_METABOLIC_PROCESS GOBP_NUCLEOSIDE_METABOLIC_PROCESS	-1.910	-0.412	2.140	0.389	0.921	0.389	0.625	-0.703	-0.412	-1.910	0.391
GOBP_STEROID_BIOSYNTHETIC_PROCESS GOBP_STEROID_BIOSYNTHETIC_PROCESS	0.539	-2.870	0.357	-1.367	-0.628	0.765	1.340	-0.252	1.688	-0.252	-0.624
GOMF_DNA_DEPENDENT_ATPASE_ACTIVITY GOMF_DNA_DEPENDENT_ATPASE_ACTIVITY	0.509	0.836	2.271	-1.286	-0.672	-0.342	0.264	-1.286	1.243	-0.672	-0.669
GOBP_VESICLE_FUSION_WITH_GOLGI_APPARATUS GOBP_VESICLE_FUSION_WITH_GOLGI_APPARATUS	-0.290	-0.290	-0.290	-0.290	-0.290	-0.290	3.958	0.894	-0.290	-0.290	-0.289
GOMF_PURINE_RIBONUCLEOTIDE_TRANSMEMBRANE_TRANSPORTER_ACTIVITY GOMF_PURINE_RIBONUCLEOTIDE_TRANSMEMBRANE_TRANSPORTER_ACTIVITY	-0.497	-0.497	1.052	-0.497	-0.497	-0.497	1.052	-0.497	-0.497	0.524	1.736
GOBP_SALIVARY_GLAND_DEVELOPMENT GOBP_SALIVARY_GLAND_DEVELOPMENT	1.382	-0.373	2.230	-0.373	-0.373	0.712	-0.373	-0.373	-0.373	-0.373	-0.372
GOBP_NEGATIVE_REGULATION_OF_CIRCADIAN_RHYTHM GOBP_NEGATIVE_REGULATION_OF_CIRCADIAN_RHYTHM	0.795	-0.331	-0.331	-0.331	3.566	-0.331	0.273	-0.331	-0.331	-0.331	-0.330
GOBP_GLUTAMATE_SECRETION GOBP_GLUTAMATE_SECRETION	-0.414	-0.414	-0.414	-0.414	-0.414	-0.414	0.640	0.211	-0.414	2.980	0.642
GOBP_SHORT_CHAIN_FATTY_ACID_METABOLIC_PROCESS GOBP_SHORT_CHAIN_FATTY_ACID_METABOLIC_PROCESS	-0.331	-0.331	-0.331	-0.331	-0.331	0.273	3.566	0.273	-0.331	-0.331	0.274
GOCC_PRONUCLEUS GOCC_PRONUCLEUS	-0.290	2.722	-0.290	0.312	-0.290	-0.290	-0.290	-0.290	-0.290	-0.290	0.896
