transcript	gene_id	gene_name	Estimate_treatmentDRUG	Pr...z.._treatmentDRUG	fdr_Pr...z.._treatmentDRUG	qvalue_Pr...z.._treatmentDRUG
ENST00000013034	ENSG00000239672	NME1	0.036837188364501	0.879769160132631	0.974962872172277	0.809086079465704
ENST00000013807	ENSG00000012061	ERCC1	0.113940493210876	0.581303441309337	0.909879529297347	0.755075790224768
ENST00000014930	ENSG00000013583	HEBP1	-0.194285738352061	0.638310303857907	0.927907013980426	0.770036141353178
ENST00000016171	ENSG00000014919	COX15	-0.080513698231409	0.719206844472753	0.945448023484682	0.784592784498007
ENST00000017003	ENSG00000015532	XYLT2	0.265559246723612	0.446289861813301	0.853115486243822	0.707969384063402
ENST00000019317	ENSG00000017797	RALBP1	0.086726592931746	0.673358685897694	0.932649824221417	0.773972026352555
ENST00000023939	ENSG00000022277	RTF2	0.077182237609689	0.646411185860862	0.927907013980426	0.770036141353178
ENST00000025008	ENSG00000023287	RB1CC1	0.371909931552757	0.165766336797531	0.676934615272794	0.561763313822797
ENST00000025301	ENSG00000023516	AKAP11	0.258605447014258	0.138469451913807	0.64277120467366	0.533412347102142
ENST00000026218	ENSG00000007541	PIGQ	0.082654914938533	0.834208360347254	0.969009774325317	0.804145820984948
ENST00000033079	ENSG00000031003	FAM13B	0.404668956555308	0.344842485758186	0.802595040724748	0.666044311463647
ENST00000035307	ENSG00000033100	CHPF2	0.052315689284152	0.792167949938407	0.958991748298145	0.795832227069058
ENST00000037243	ENSG00000034713	GABARAPL2	0.29066159316548	0.229271688596536	0.736400009137706	0.611111472362258
ENST00000039989	ENSG00000052841	TTC17	0.216806436756069	0.189547413992807	0.699437549577607	0.58043767713736
ENST00000040663	ENSG00000037757	MRI1	-0.545679706316575	0.03318678654851	0.420477111196837	0.348938597677389
ENST00000040738	ENSG00000038219	BOD1L1	-0.065828368086954	0.652096879488824	0.927907013980426	0.770036141353178
ENST00000040877	ENSG00000059588	TARBP1	0.351553547211632	0.043688458141187	0.46402438116624	0.385076886566766
ENST00000044462	ENSG00000041357	PSMA4	-0.028069739131807	0.815725216356541	0.964431034071475	0.800346091675647
ENST00000046794	ENSG00000043462	LCP2	0.179087687688488	0.278595327281955	0.768332293798948	0.63761090915351
ENST00000053468	ENSG00000048544	MRPS10	-0.056009918175186	0.783256613400031	0.957698272999797	0.794758819160001
ENST00000053867	ENSG00000030582	GRN	-0.17382624750863	0.027583102515324	0.401315685725932	0.333037230503595
ENST00000055077	ENSG00000049541	RFC2	-0.122638427606297	0.544602637199153	0.891269628209451	0.739632112993344
ENST00000064780	ENSG00000054967	RELT	-0.591374741844585	0.081220548298173	0.563951304233491	0.468002590432203
ENST00000074304	ENSG00000040933	INPP4A	0.179731927406952	0.421887364109539	0.842572769916771	0.699220368830681
ENST00000075120	ENSG00000059804	SLC2A3	0.277688568527423	0.445776139263845	0.853115486243822	0.707969384063402
ENST00000078527	ENSG00000060642	PIGV	0.72477798738545	0.134286771274934	0.638086086427441	0.529524338582166
ENST00000081029	ENSG00000061794	MRPS35	0.434315898867992	0.009883246333913	0.246456130911698	0.204524941832243
ENST00000083182	ENSG00000062725	APPBP2	-0.643190390827388	0.079181216590601	0.560216272952555	0.464903024385097
ENST00000085068	ENSG00000063241	ISOC2	0.206132663914893	0.416022312111156	0.839421698220394	0.696605409515096
ENST00000156084	ENSG00000068308	OTUD5	0.284468317648177	0.24633501391564	0.751235533851194	0.623422932490486
ENST00000156109	ENSG00000068394	GPKOW	-0.481510350095609	0.189091153048345	0.699437549577607	0.58043767713736
ENST00000156471	ENSG00000021776	AQR	0.094344451928713	0.543515716277961	0.891156657102507	0.739538362397687
ENST00000158762	ENSG00000072818	ACAP1	0.17134421303331	0.453832321109238	0.857504392723745	0.711611577256944
ENST00000160262	ENSG00000076662	ICAM3	0.329146172802314	0.076961024400669	0.553106419768818	0.459002816898026
ENST00000160827	ENSG00000079616	KIF22	0.218196115666748	0.114139611476629	0.605660352731185	0.502615406458782
ENST00000161863	ENSG00000047188	YTHDC2	-0.103821698909012	0.715061608955628	0.945448023484682	0.784592784498007
ENST00000162044	ENSG00000064545	TMEM161A	-0.076339295818736	0.786918022146979	0.957698272999797	0.794758819160001
ENST00000162749	ENSG00000067182	TNFRSF1A	0.274308399924595	0.145560794717283	0.651307130405206	0.540496000112804
ENST00000163416	ENSG00000066455	GOLGA5	0.057829432842748	0.864979024694048	0.971338553942022	0.806078390135833
ENST00000166345	ENSG00000071539	TRIP13	-0.029082176200661	0.917552144854575	0.986613154394684	0.818754223183828
ENST00000168216	ENSG00000072506	HSD17B10	-0.101517562555203	0.566281056679747	0.902505089101361	0.74895601163963
ENST00000169298	ENSG00000073849	ST6GAL1	-0.153347455846228	0.6761603457139	0.93307447336108	0.774324427164285
ENST00000169551	ENSG00000075336	TIMM21	0.157819413924585	0.579090263924507	0.908840695637394	0.754213700111248
ENST00000170168	ENSG00000079313	REXO1	0.354109706309753	0.149861469391951	0.652025145129437	0.541091854308699
ENST00000170447	ENSG00000075975	MKRN2	0.454384503682077	0.064157664763503	0.527045191397058	0.437375555295348
ENST00000170564	ENSG00000076650	GPATCH1	-0.060882474822063	0.849626369067916	0.97023905500272	0.805165956122634
ENST00000171111	ENSG00000079999	KEAP1	0.277990783023507	0.184994167308833	0.698801141281598	0.579909545135769
ENST00000174618	ENSG00000070444	MNT	0.414661099769126	0.305463644740887	0.780710713443262	0.647883307524624
ENST00000174653	ENSG00000070718	AP3M2	-0.056701845744961	0.899786014811981	0.982096755612035	0.8150062287846
ENST00000175091	ENSG00000068697	LAPTM4A	-0.839759737385933	0.001104110159132	0.090210464915348	0.074862370115198
ENST00000175506	ENSG00000070669	ASNS	-0.130093532996937	0.413786726906756	0.838172411490687	0.695568672085274
ENST00000175756	ENSG00000072135	PTPN18	-0.258045181715779	0.473392748759716	0.866947707380274	0.719448239196275
ENST00000176763	ENSG00000072786	STK10	0.285581215521842	0.025445263659087	0.392834058515104	0.325998637852155
ENST00000177648	ENSG00000073331	ALPK1	0.109653584084361	0.802551349232375	0.959658361889988	0.796385425342487
ENST00000177742	ENSG00000074071	MRPS34	0.370626745179031	0.028541393920135	0.401936728219042	0.333552610986558
ENST00000178640	ENSG00000137764	MAP2K5	-0.440879564287073	0.26079434434048	0.762984792567758	0.633173213186236
ENST00000181796	ENSG00000065809	FAM107B	0.030372402729176	0.921289346936111	0.986613154394684	0.818754223183828
ENST00000181839	ENSG00000065883	CDK13	0.084769127192734	0.676111880995321	0.93307447336108	0.774324427164285
ENST00000182290	ENSG00000064201	TSPAN32	0.292913343874925	0.386045702327459	0.824037469749227	0.68383860017844
ENST00000182377	ENSG00000064763	FAR2	-0.500165405668839	0.032865184646918	0.420219619337231	0.348724914587367
ENST00000184266	ENSG00000065518	NDUFB4	-0.332630056888018	0.055906408876033	0.498811684964436	0.41394559946714
ENST00000184956	ENSG00000068097	HEATR6	-0.308476921969964	0.354543804886539	0.804229073783214	0.667400335819781
ENST00000185150	ENSG00000068912	ERLEC1	0.136694341389145	0.6078734888108	0.919977117365185	0.763455409772396
ENST00000186436	ENSG00000075568	TMEM131	0.063920726472529	0.674164860023625	0.932726065861726	0.774035296505308
ENST00000188312	ENSG00000075089	ACTR6	-0.003118129141297	0.990815265904207	0.997457780663439	0.827753782450642
ENST00000192788	ENSG00000065060	UHRF1BP1	0.045060369830449	0.894110291027023	0.979942491045355	0.813218483299992
ENST00000193322	ENSG00000081087	OSTM1	0.432339836495241	0.123798947084531	0.619387436285731	0.514007011752325
ENST00000194118	ENSG00000081791	DELE1	-0.395013119133088	0.11884422554275	0.61320800912421	0.508878930839542
ENST00000196061	ENSG00000083444	PLOD1	0.16925904309137	0.488067710546024	0.87560016697035	0.726628599400015
ENST00000196371	ENSG00000083720	OXCT1	0.309193812138552	0.051408715335075	0.48541410959123	0.402827440978805
ENST00000197268	ENSG00000084444	FAM234B	0.484527089832971	0.218048852882294	0.728777852055759	0.604786122580718
ENST00000198536	ENSG00000085514	PILRA	0.981501319886334	0.053671845620332	0.489329008697502	0.406076272764922
ENST00000199320	ENSG00000086189	DIMT1	-0.201305397179668	0.547570725530347	0.893822433989899	0.741750593275509
ENST00000199389	ENSG00000086232	EIF2AK1	-0.115530353335778	0.50230450123061	0.880496910544951	0.730692228050914
ENST00000199706	ENSG00000086504	MRPL28	0.22430431831572	0.247910907677374	0.751956690642572	0.624021394173151
ENST00000199764	ENSG00000086548	CEACAM6	-0.38485576649153	0.145711362853543	0.651346805216024	0.540528924789276
ENST00000199814	ENSG00000086589	RBM22	0.050089665179246	0.817342387424893	0.964431034071475	0.800346091675647
ENST00000200135	ENSG00000086827	ZW10	-0.222398775105825	0.356362240916719	0.805697186525908	0.668618668965691
ENST00000200457	ENSG00000087077	TRIP6	0.052320007650982	0.795492630446096	0.959597444887223	0.796334872546737
ENST00000202017	ENSG00000088356	PDRG1	1.13280875298229	0.014349665619239	0.301773467972604	0.250430779527756
ENST00000202677	ENSG00000188559	RALGAPA2	0.299137254443471	0.026905317219192	0.395677497286443	0.328358303838797
ENST00000202773	ENSG00000089009	RPL6	-0.195984279223085	0.003247597111023	0.157608385949579	0.130793443236195
ENST00000202816	ENSG00000089048	ESF1	0.369460841547047	0.072663119032389	0.547421059868362	0.454284744360595
ENST00000202831	ENSG00000089060	SLC8B1	-0.016055514187206	0.94385612866164	0.990227647713015	0.821753759178125
ENST00000203001	ENSG00000089195	TRMT6	-0.417187633868323	0.147307681578586	0.652025145129437	0.541091854308699
ENST00000203166	ENSG00000249115	HAUS5	0.075609613307628	0.798288645620499	0.959597444887223	0.796334872546737
ENST00000203407	ENSG00000010256	UQCRC1	0.200048447176298	0.114598129064335	0.60671646125183	0.503491832348268
ENST00000203556	ENSG00000089639	GMIP	-0.019573691964257	0.908504402671638	0.985039501041726	0.817448305740074
ENST00000203630	ENSG00000089693	MLF2	-0.215130315045915	0.313730834176429	0.78160035150643	0.648621585661379
ENST00000204517	ENSG00000090447	TFAP4	-0.1383727128987	0.634831429708242	0.927342911990082	0.769568013713846
ENST00000204549	ENSG00000090470	PDCD7	0.216724974533044	0.499634405341656	0.879527337021086	0.729887614394776
ENST00000204566	ENSG00000090487	SPG21	0.680286600952761	0.033882922299288	0.42144801270797	0.34974431338166
ENST00000204679	ENSG00000090581	GNPTG	0.667645383692177	0.014578539816362	0.30542126073367	0.253457949513398
ENST00000204726	ENSG00000090615	GOLGA3	0.18459603495788	0.230127641479515	0.736400009137706	0.611111472362258
ENST00000205061	ENSG00000090863	GLG1	0.124468225353533	0.340486820159269	0.798377277621535	0.66254414390784
ENST00000205214	ENSG00000157426	AASDH	-1.07538888489297	0.007487428132183	0.210919922041438	0.175034739964503
ENST00000205402	ENSG00000091140	DLD	0.107227455458905	0.431438585720776	0.844811577950415	0.701078273850778
ENST00000206020	ENSG00000091640	SPAG7	-0.995541742805098	0.060182740324718	0.508971727491482	0.422377047689468
ENST00000206380	ENSG00000091947	TMEM101	-0.296944482961721	0.352920635727108	0.804229073783214	0.667400335819781
ENST00000206474	ENSG00000092036	HAUS4	-0.377092502671305	0.232077028621043	0.737673611709077	0.612168388620999
ENST00000206513	ENSG00000092067	CEBPE	-0.38152577726843	0.003074993449606	0.152756958059549	0.126767420416875
ENST00000206542	ENSG00000092094	OSGEP	-0.105035213256336	0.67156467997184	0.932077654108959	0.77349720327335
ENST00000209728	ENSG00000094804	CDC6	-0.303158346984373	0.092510033513181	0.576405949293409	0.478338245491778
ENST00000209873	ENSG00000094914	AAAS	-0.088312795941789	0.642630505220564	0.927907013980426	0.770036141353178
ENST00000209875	ENSG00000094916	CBX5	0.13943009385353	0.586542468615114	0.911452323766689	0.756380994912378
ENST00000209884	ENSG00000076321	KLHL20	-0.116609687677249	0.783974453182047	0.957698272999797	0.794758819160001
ENST00000210313	ENSG00000095261	PSMD5	-0.074495702487899	0.830160462799243	0.967753577198896	0.803103348869278
ENST00000210444	ENSG00000095380	NANS	-0.122080092516564	0.501713407056272	0.880496910544951	0.730692228050914
ENST00000211936	ENSG00000096654	ZNF184	0.485267465793505	0.109778220365483	0.600165331270217	0.498055288840632
ENST00000211998	ENSG00000035403	VCL	0.162332754754804	0.204058329160791	0.712951230927353	0.591652187735137
ENST00000212015	ENSG00000096717	SIRT1	-0.000308870295805	0.999106266235899	0.999736547789095	0.829644848061792
ENST00000214869	ENSG00000099203	TMED1	0.063864980150837	0.886993619262145	0.977096848818918	0.81085698874644
ENST00000215071	ENSG00000099341	PSMD8	0.157627563851362	0.196968025412992	0.707351409608372	0.587005100542383
ENST00000215375	ENSG00000099624	ATP5F1D	0.038156131696559	0.829373515410461	0.967509948257327	0.802901170108626
ENST00000215565	ENSG00000099795	NDUFB7	-0.125322384343566	0.560788123480286	0.899316193752179	0.746309663855999
ENST00000215567	ENSG00000099797	TECR	-0.017776983517615	0.894879460132152	0.979942491045355	0.813218483299992
ENST00000215574	ENSG00000099804	CDC34	0.863929272753856	0.027861193588201	0.401315685725932	0.333037230503595
ENST00000215659	ENSG00000188130	MAPK12	0.164987659531816	0.662220313519905	0.930490416508696	0.772180012758889
ENST00000215730	ENSG00000099940	SNAP29	-0.177881523683897	0.620525397987128	0.924529764642029	0.767233485473069
ENST00000215739	ENSG00000099949	LZTR1	0.150755830447657	0.661497533028829	0.930408290814494	0.772111859644712
ENST00000215742	ENSG00000184436	THAP7	0.420669487455023	0.29588974987802	0.77570074267591	0.643725715761808
ENST00000215793	ENSG00000099995	SF3A1	0.028340123422967	0.818422619007318	0.964585896379072	0.800474606248752
ENST00000215832	ENSG00000100030	MAPK1	-0.323487897104123	0.021933531061948	0.379119582109127	0.314617494770764
ENST00000215882	ENSG00000100075	SLC25A1	-0.057449502698324	0.775789225197235	0.956882545800461	0.794081876949726
ENST00000215904	ENSG00000241360	PDXP	-0.356527898085381	0.426036405136707	0.8444533829386	0.700781020892675
ENST00000215909	ENSG00000100097	LGALS1	-0.255157950326723	0.136423963846723	0.64277120467366	0.533412347102142
ENST00000215917	ENSG00000100104	SRRD	0.161932375870234	0.653141184132485	0.927907013980426	0.770036141353178
ENST00000215980	ENSG00000100162	CENPM	0.048442501361948	0.855989332349928	0.970401654150372	0.805300891216732
ENST00000216034	ENSG00000100216	TOMM22	-0.129996437852241	0.52904870625445	0.886328019341065	0.735531252273728
ENST00000216038	ENSG00000100220	RTCB	0.128902400451037	0.397327676374919	0.82955485815149	0.688417279304272
ENST00000216044	ENSG00000100226	GTPBP1	-0.256034783379785	0.237847299262713	0.743502809855115	0.617005827265097
ENST00000216085	ENSG00000100263	RHBDD3	0.137250701137903	0.766851461614875	0.95469049887309	0.792262777263889
ENST00000216106	ENSG00000100281	HMGXB4	0.505594880175067	0.105602719761371	0.596766355401917	0.495234602906866
ENST00000216115	ENSG00000100290	BIK	-0.340527914295737	0.455129428391129	0.857504392723745	0.711611577256944
ENST00000216121	ENSG00000184117	NIPSNAP1	0.270513520292328	0.450524432856771	0.856397835554184	0.710693285876238
ENST00000216122	ENSG00000100297	MCM5	0.073960821169646	0.453733753258219	0.857504392723745	0.711611577256944
ENST00000216124	ENSG00000100299	ARSA	-0.012352591013771	0.97125673922374	0.992869901654596	0.823946469222337
ENST00000216129	ENSG00000100304	TTLL12	0.06448713854612	0.68130643528486	0.934873291402073	0.775817200559045
ENST00000216146	ENSG00000100316	RPL3	-0.234516031813675	0.000996525779901	0.083827748605238	0.069565586962643
ENST00000216160	ENSG00000100324	TAB1	0.364740906792275	0.160542040032604	0.667672861282597	0.554077322449394
ENST00000216181	ENSG00000100345	MYH9	0.162245961847373	0.004670099224178	0.18005124916688	0.149417955749183
ENST00000216185	ENSG00000100348	TXN2	0.495781739258271	0.17715102743798	0.690793144726629	0.573264001267418
ENST00000216187	ENSG00000100350	FOXRED2	0.500318002123142	0.087017245023559	0.568585944111089	0.47184870879766
ENST00000216190	ENSG00000100353	EIF3D	-0.077716741323353	0.467729039134226	0.864543700526758	0.717453241709051
ENST00000216214	ENSG00000100376	FAM118A	0.709809141138531	0.020772877022794	0.373379148537912	0.309853718605401
ENST00000216218	ENSG00000100380	ST13	0.094681292209511	0.504614650068221	0.880498523127092	0.730693566273938
ENST00000216225	ENSG00000100387	RBX1	0.379471885441681	0.053750623325847	0.489340090278162	0.406085468963985
ENST00000216237	ENSG00000100395	L3MBTL2	0.020045613860063	0.935326683185633	0.989246378165353	0.820939439419007
ENST00000216252	ENSG00000100410	PHF5A	0.210113779246517	0.483823485609716	0.874456964692595	0.725679897582391
ENST00000216259	ENSG00000100417	PMM1	-0.565510382281875	0.126674621224951	0.625876083650851	0.519391703218558
ENST00000216264	ENSG00000100422	CERK	0.065663651330334	0.849129432793999	0.97023905500272	0.805165956122634
ENST00000216268	ENSG00000100426	ZBED4	-0.000779508599657	0.997141902125518	0.999042124902318	0.829068571870164
ENST00000216271	ENSG00000100429	HDAC10	-0.010661234914618	0.968414093113256	0.992869901654596	0.823946469222337
ENST00000216277	ENSG00000090060	PAPOLA	0.430589750527436	0.002974469083852	0.152420631980216	0.12648831568713
ENST00000216297	ENSG00000092201	SUPT16H	0.134862125293053	0.17156390795793	0.686232015106248	0.569478886379641
ENST00000216330	ENSG00000100442	FKBP3	0.372627559407402	0.058773967998158	0.503809618671636	0.41809320211336
ENST00000216336	ENSG00000100448	CTSG	0.017470999336372	0.862775516089835	0.971237649829097	0.805994653497795
ENST00000216361	ENSG00000100473	COCH	-0.213846605227552	0.205761777341058	0.7130269722448	0.591715042688218
ENST00000216367	ENSG00000100479	POLE2	0.366294982324959	0.181616685860711	0.696412113865881	0.577926978536887
ENST00000216373	ENSG00000100485	SOS2	-0.24772747214563	0.436742575027716	0.848079072283736	0.70378984806071
ENST00000216392	ENSG00000100504	PYGL	0.170788376075247	0.088228062092571	0.568585944111089	0.47184870879766
ENST00000216410	ENSG00000100522	GNPNAT1	0.57393968583439	0.089408500405161	0.569775988945616	0.472836283542338
ENST00000216455	ENSG00000100567	PSMA3	0.131531909531267	0.236847552168079	0.743048834723226	0.616629089883481
ENST00000216468	ENSG00000100580	TMED8	-0.195352638335936	0.610668394961918	0.921463433715814	0.76468884942769
ENST00000216479	ENSG00000100591	AHSA1	0.381938440531571	0.037680201914948	0.439416624549735	0.364655808089251
ENST00000216484	ENSG00000100596	SPTLC2	0.247436404554819	0.439259419305894	0.848797707556016	0.704386217226768
ENST00000216487	ENSG00000100599	RIN3	-0.055755691758502	0.777775488748967	0.957685821987581	0.794748486519706
ENST00000216489	ENSG00000100601	ALKBH1	0.112638551719169	0.797760180151871	0.959597444887223	0.796334872546737
ENST00000216554	ENSG00000100664	EIF5	0.13187961692333	0.375379488650425	0.816561409385515	0.677634490727536
ENST00000216639	ENSG00000100749	VRK1	0.069685364469435	0.652484908366739	0.927907013980426	0.770036141353178
ENST00000216714	ENSG00000100823	APEX1	0.186106918917251	0.090676377886848	0.572222904862845	0.474866889694388
ENST00000216727	ENSG00000100836	PABPN1	-0.119373642102204	0.641256145870492	0.927907013980426	0.770036141353178
ENST00000216774	ENSG00000100883	SRP54	0.119286325705166	0.431328256895463	0.844811577950415	0.701078273850778
ENST00000216780	ENSG00000100889	PCK2	1.20992724952425	0.008582279425223	0.225399799951551	0.187051061799746
ENST00000216797	ENSG00000100906	NFKBIA	-0.302092037528439	0.296318245565193	0.77570074267591	0.643725715761808
ENST00000216799	ENSG00000100908	EMC9	0.172678036475766	0.728911049329918	0.946349115446634	0.785340567807036
ENST00000216832	ENSG00000100941	PNN	0.068138145765429	0.658568629406889	0.929185697661659	0.771097274239418
ENST00000216840	ENSG00000100949	RABGGTA	0.011563453211252	0.969850172880584	0.992869901654596	0.823946469222337
ENST00000216951	ENSG00000100983	GSS	0.45955625682251	0.034480910402984	0.423505258132576	0.351451546223649
ENST00000216962	ENSG00000100994	PYGB	0.136208347405055	0.543920683344829	0.891156657102507	0.739538362397687
ENST00000217026	ENSG00000101057	MYBL2	-0.171653860291661	0.405438395102815	0.834189938517521	0.692263763214993
ENST00000217109	ENSG00000101138	CSTF1	-0.206786414602903	0.323984076072973	0.78621538816897	0.652451436034619
ENST00000217121	ENSG00000101150	TPD52L2	0.162537248689649	0.438548660429263	0.848797707556016	0.704386217226768
ENST00000217131	ENSG00000101160	CTSZ	-0.287334937708131	0.139976604012958	0.64277120467366	0.533412347102142
ENST00000217159	ENSG00000101187	SLCO4A1	0.376974854383697	0.099783666691718	0.592803203853006	0.491945728180905
ENST00000217195	ENSG00000101220	C20orf27	-0.336017275288204	0.354884543693583	0.804229073783214	0.667400335819781
ENST00000217244	ENSG00000101266	CSNK2A1	0.01871108428644	0.96081787479484	0.991587411012913	0.822882177078659
ENST00000217402	ENSG00000101421	CHMP4B	0.069553371902033	0.759529978671251	0.953896885324755	0.791604186364933
ENST00000217426	ENSG00000101444	AHCY	-0.024634568438205	0.832685671690015	0.968907027423885	0.80406055508403
ENST00000217446	ENSG00000101464	PIGU	-0.257561910891507	0.285382569984579	0.770401392587461	0.639327978669291
ENST00000217455	ENSG00000101473	ACOT8	0.722335907026446	0.01912883862009	0.361328870820809	0.299853633235093
ENST00000217456	ENSG00000101474	APMAP	-0.034312643914024	0.817174002070127	0.964431034071475	0.800346091675647
ENST00000217515	ENSG00000091164	TXNL1	0.035938839073992	0.811559368672114	0.962379606609228	0.798643686948132
ENST00000217901	ENSG00000067829	IDH3G	-0.175664396570107	0.442660075426796	0.850950240074417	0.706172525347769
ENST00000217958	ENSG00000101843	PSMD10	-0.093747555324361	0.713866053087918	0.944830647116628	0.784080446398331
ENST00000217971	ENSG00000101856	PGRMC1	-0.124251426999773	0.615716943829542	0.922917129631879	0.765895218575721
ENST00000218004	ENSG00000101888	NXT2	0.153877089057216	0.254506677071345	0.757740475575646	0.628821146050418
ENST00000218056	ENSG00000101940	WDR13	0.200797463639724	0.651581389850799	0.927907013980426	0.770036141353178
ENST00000218089	ENSG00000101972	STAG2	0.353046011649805	0.001511146961352	0.104767320650221	0.086942573035782
ENST00000218104	ENSG00000101986	ABCD1	-0.148009856880212	0.670581708853564	0.932077654108959	0.77349720327335
ENST00000218147	ENSG00000085185	BCORL1	-0.019768176798221	0.955849023602501	0.991587411012913	0.822882177078659
ENST00000218224	ENSG00000102103	PQBP1	-0.117537765697717	0.663932838988845	0.930490416508696	0.772180012758889
ENST00000218340	ENSG00000102218	RP2	-0.426144892639597	0.034659499819544	0.423505258132576	0.351451546223649
ENST00000218348	ENSG00000102226	USP11	0.095652924783041	0.725466949083517	0.946349115446634	0.785340567807036
ENST00000218364	ENSG00000102241	HTATSF1	0.39337789000504	0.025153071273085	0.392834058515104	0.325998637852155
ENST00000218388	ENSG00000102265	TIMP1	-0.106396322368003	0.65784457753088	0.929185697661659	0.771097274239418
ENST00000218439	ENSG00000102316	MAGED2	0.222904005318303	0.404471150129507	0.834101539411631	0.692190404025577
ENST00000218516	ENSG00000102393	GLA	-0.106263696613909	0.573197956361103	0.905207986653867	0.751199047601689
ENST00000218652	ENSG00000102471	NDFIP2	-0.365276979410855	0.137213921163415	0.64277120467366	0.533412347102142
ENST00000219069	ENSG00000006194	ZNF263	0.178375202237913	0.63698986626165	0.927834454833079	0.769975927166841
ENST00000219070	ENSG00000087245	MMP2	-0.403588861131129	0.243475284652852	0.749280781419277	0.621800754839821
ENST00000219097	ENSG00000091651	ORC6	-0.30859080150979	0.248948507977136	0.75257122032954	0.624531369916163
ENST00000219139	ENSG00000125149	C16orf70	-0.33021390565121	0.364806443144956	0.807849719130056	0.67040497715785
ENST00000219150	ENSG00000102879	CORO1A	0.006796463859359	0.916089653263332	0.985890998729574	0.818154932572335
ENST00000219169	ENSG00000102898	NUTF2	0.205993741234806	0.362702030582779	0.807440758979093	0.670065596064842
ENST00000219240	ENSG00000102967	DHODH	-0.161660852620778	0.623877406780146	0.926502063682114	0.768870224413005
ENST00000219252	ENSG00000102978	POLR2C	-0.260829822245949	0.283593697763909	0.769545221158065	0.638617473269616
ENST00000219281	ENSG00000103005	USB1	0.122485272786475	0.745720775525585	0.949687600482624	0.788111054608349
ENST00000219313	ENSG00000103035	PSMD7	0.240934724966345	0.097908222229863	0.587728804993533	0.487734669897517
ENST00000219315	ENSG00000103037	SETD6	0.368326698804956	0.431495164506282	0.844811577950415	0.701078273850778
ENST00000219320	ENSG00000103042	SLC38A7	1.07715562600515	0.023770422284775	0.388038182315379	0.322018715351728
ENST00000219343	ENSG00000103064	SLC7A6	0.139107576653664	0.525741956827342	0.886328019341065	0.735531252273728
ENST00000219345	ENSG00000103066	PLA2G15	-0.412615260301812	0.355192015186533	0.804229073783214	0.667400335819781
ENST00000219431	ENSG00000103152	MPG	0.455544677787549	0.138764065594175	0.64277120467366	0.533412347102142
ENST00000219439	ENSG00000103160	HSDL1	-0.478302924541029	0.177592660498329	0.691198084567526	0.573600046051935
