GO	[-1.86 -0.20]	[-0.20 -0.14]	[-0.14 -0.10]	[-0.10 -0.07]	[-0.07 -0.04]	[-0.04 -0.01]	[-0.01 0.02]	[0.02 0.05]	[0.05 0.10]	[0.10 0.17]	[0.17 0.62]
GO_OXIDOREDUCTION_COENZYME_METABOLIC_PROCESS GO_OXIDOREDUCTION_COENZYME_METABOLIC_PROCESS	-1.082	-0.241	-0.241	0.685	-1.082	-0.522	-1.082	0.685	0.685	-0.522	2.827
GO_REGULATION_OF_GLUCOSE_METABOLIC_PROCESS GO_REGULATION_OF_GLUCOSE_METABOLIC_PROCESS	0.362	-0.664	-0.248	-0.664	3.578	-0.248	-0.664	0.763	-0.664	0.362	-0.662
GSE34156_UNTREATED_VS_24H_NOD2_LIGAND_TREATED_MONOCYTE_UP GSE34156_UNTREATED_VS_24H_NOD2_LIGAND_TREATED_MONOCYTE_UP	-0.664	-0.664	3.578	-0.248	0.362	-0.664	0.362	0.763	-0.248	-0.664	-0.662
GSE25890_CTRL_VS_IL33_IL7_TREATED_NUOCYTES_DN GSE25890_CTRL_VS_IL33_IL7_TREATED_NUOCYTES_DN	1.181	0.422	0.883	0.883	0.883	-0.551	0.630	-2.726	-1.256	-0.346	-1.247
GSE43863_NAIVE_VS_MEMORY_LY6C_INT_CXCR5POS_CD4_TCELL_D150_LCMV_DN GSE43863_NAIVE_VS_MEMORY_LY6C_INT_CXCR5POS_CD4_TCELL_D150_LCMV_DN	-1.133	-0.394	0.225	4.632	0.409	0.225	-0.394	-1.133	-0.394	0.656	-1.126
GSE22589_HEALTHY_VS_HIV_AND_SIV_INFECTED_DC_UP GSE22589_HEALTHY_VS_HIV_AND_SIV_INFECTED_DC_UP	-2.006	-0.761	0.853	-0.761	-0.454	1.582	0.572	2.026	-0.761	-0.761	0.354
GSE33513_TCF7_KO_VS_HET_EARLY_THYMIC_PROGENITOR_UP GSE33513_TCF7_KO_VS_HET_EARLY_THYMIC_PROGENITOR_UP	-0.957	-0.957	-0.957	0.199	1.845	-0.957	0.457	0.199	0.199	1.845	0.200
STAMBOLSKY_TARGETS_OF_MUTATED_TP53_UP STAMBOLSKY_TARGETS_OF_MUTATED_TP53_UP	0.993	-0.352	0.566	-0.352	2.886	0.256	0.256	-0.831	-0.831	-0.831	-0.828
GO_INORGANIC_ANION_TRANSPORT GO_INORGANIC_ANION_TRANSPORT	-0.177	0.969	-0.540	-0.540	-0.540	-0.177	-0.540	-0.540	-0.540	0.476	3.287
GSE37532_TREG_VS_TCONV_CD4_TCELL_FROM_LN_DN GSE37532_TREG_VS_TCONV_CD4_TCELL_FROM_LN_DN	0.925	0.389	-0.707	0.389	0.389	-1.922	-1.167	1.282	-1.167	-0.413	1.705
GO_NONMOTILE_PRIMARY_CILIUM GO_NONMOTILE_PRIMARY_CILIUM	-0.223	0.396	0.396	-0.623	-0.223	-0.623	0.396	-0.623	-0.623	-0.623	3.805
GSE32423_IL7_VS_IL7_IL4_NAIVE_CD8_TCELL_UP GSE32423_IL7_VS_IL7_IL4_NAIVE_CD8_TCELL_UP	0.278	0.609	-0.790	-0.790	-0.790	-0.325	2.282	-0.325	-0.790	1.620	-0.323
GO_REGULATION_OF_STEROID_BIOSYNTHETIC_PROCESS GO_REGULATION_OF_STEROID_BIOSYNTHETIC_PROCESS	0.239	-0.373	-0.373	-0.373	-0.373	0.239	0.239	-0.373	-0.373	-0.373	4.461
GO_TOXIN_TRANSPORT GO_TOXIN_TRANSPORT	-0.498	-0.498	0.166	0.166	-0.498	-0.498	-0.498	0.524	-0.498	3.512	0.527
FAELT_B_CLL_WITH_VH_REARRANGEMENTS_UP FAELT_B_CLL_WITH_VH_REARRANGEMENTS_UP	0.969	0.969	-0.540	2.379	-0.540	-0.177	-0.540	-0.177	-0.540	-0.540	-0.537
GO_U2_TYPE_SPLICEOSOMAL_COMPLEX GO_U2_TYPE_SPLICEOSOMAL_COMPLEX	-0.456	0.578	0.187	3.779	-0.456	-0.456	-0.456	0.187	-0.456	-0.456	0.188
