hl60.6h.stbl.log2FoldChange	hl60.6h.stbl.pvalue	hl60.72h.stbl.log2FoldChange	hl60.72h.stbl.pvalue	hl60.120h.stbl.log2FoldChange	hl60.120h.stbl.pvalue	name
ENSG00000023892	0	NA	0	NA	0	NA	DEF6
ENSG00000024048	-0.201437438449459	0.679162437106027	0.634386244584623	0.210579967471164	-0.00561527455543365	0.990750175266571	UBR2
ENSG00000025293	0	NA	0	NA	0	NA	PHF20
ENSG00000025796	0	NA	0	NA	0	NA	SEC63
ENSG00000025800	0	NA	0	NA	0	NA	KPNA6
ENSG00000026297	-0.293471765893546	0.661848923652011	2.36565450248477	0.0241611491428116	1.29579638740137	0.116645243736529	RNASET2
ENSG00000028116	0	NA	0	NA	0	NA	VRK2
ENSG00000028203	-0.061577627553798	0.863632983586019	-0.351355856989053	0.440876795943601	0.0651600655396177	0.855800183401194	VEZT
ENSG00000028310	0	NA	0	NA	0	NA	BRD9
ENSG00000029363	0	NA	0	NA	0	NA	BCLAF1
ENSG00000029364	0	NA	-1.43023315929024	0.130824808110356	0	NA	SLC39A9
ENSG00000029639	0.627354034061449	0.0466224358744193	-0.211924710096821	0.464015764922093	0.146527096298234	0.599126386792076	TFB1M
ENSG00000029725	0.117499093162371	0.763046404107106	0.265238761905162	0.511082014336013	-1.16653911885983	0.0143579226410451	RABEP1
ENSG00000030066	0	NA	0	NA	0	NA	NUP160
ENSG00000031003	0	NA	0	NA	0	NA	FAM13B
ENSG00000031691	0.0104570975117569	0.971348056998045	-0.00812013606696784	0.982818637392458	0.0995683866334006	0.73330320153386	CENPQ
ENSG00000031823	0	NA	-0.16015719206024	0.757044365665528	0	NA	RANBP3
ENSG00000032219	0	NA	1.89389905339809	0.201832772441988	0	NA	ARID4A
ENSG00000032389	0	NA	0	NA	0	NA	TSSC1
ENSG00000032742	-0.273696108362969	0.472750804266927	-0.187474639805384	0.671195922374637	-0.439285883107634	0.260772967727964	IFT88
ENSG00000033178	-0.361533326352606	0.518501590285459	-0.543798520424095	0.11505705394643	-1.38223451277224	0.0541590157358207	UBA6
ENSG00000033327	0	NA	0.363538806086442	0.417561822150009	0	NA	GAB2
ENSG00000033800	0	NA	0	NA	0	NA	PIAS1
ENSG00000033867	0	NA	0	NA	0	NA	SLC4A7
ENSG00000034677	0.100756563716164	0.752361436320174	-0.0299848983289561	0.938428582987156	0.358762973414534	0.334752249711485	RNF19A
ENSG00000035403	-0.541344645391317	0.144711980917268	-0.0653181530640278	0.828019025672613	-0.0825102622970368	0.81195009797537	VCL
ENSG00000035499	0	NA	0	NA	0	NA	DEPDC1B
ENSG00000035681	0	NA	0	NA	0	NA	NSMAF
ENSG00000035687	0.341878146544285	0.75641255780206	-1.66899498158303	0.294531624283596	0.679215193910356	0.541334632750126	ADSS
ENSG00000035928	0	NA	1.73970405596433	0.030334309920041	0	NA	RFC1
ENSG00000036054	0	NA	-0.401272198614732	0.259354039199393	0	NA	TBC1D23
ENSG00000036257	-0.279430216716329	0.439577878142752	0.261344478200447	0.403435584237531	-0.642365894416181	0.0979300705696447	CUL3
ENSG00000036549	-0.0272288009037492	0.926337075541107	0.0602382825611043	0.862851895840616	-0.4220400721038	0.176856876963895	ZZZ3
ENSG00000037474	0	NA	0.474565335209348	0.518034131169928	0	NA	NSUN2
ENSG00000037637	0.480350210445104	0.519867650935262	-1.61323654155595	0.0931010840787659	-2.140247485441	0.0272150535692537	FBXO42
ENSG00000038219	0	NA	0	NA	0	NA	BOD1L1
ENSG00000038532	0	NA	0	NA	0	NA	CLEC16A
ENSG00000039123	0	NA	0.137035810142237	0.738012159782964	0	NA	SKIV2L2
ENSG00000039319	0	NA	1.483713947919	0.0445686163565464	0	NA	ZFYVE16
ENSG00000040933	0	NA	0.562906075232358	0.294166009873079	0	NA	INPP4A
ENSG00000042088	0.0155230597600844	0.983502829381147	-2.15451646622878	0.102321811681706	0.0300177262603807	0.968106009749194	TDP1
ENSG00000043143	0	NA	0	NA	0	NA	JADE2
ENSG00000043462	0	NA	0	NA	0	NA	LCP2
ENSG00000044115	0	NA	0	NA	0	NA	CTNNA1
ENSG00000044446	2.06317924630087	0.200463256908191	-2.23287956807744	0.0244944617515232	0.18273192026164	0.892926122361603	PHKA2
ENSG00000046651	0	NA	0	NA	0	NA	OFD1
ENSG00000047056	0	NA	0	NA	0	NA	WDR37
ENSG00000047188	0	NA	0	NA	0	NA	YTHDC2
ENSG00000047249	0.208755201153572	0.579449201160557	-0.3476571185907	0.373176670988942	-0.748160603859097	0.0716390398237546	ATP6V1H
ENSG00000047410	0	NA	0	NA	0	NA	TPR
ENSG00000047578	0.670937656758987	0.351322781785137	-0.451761411856144	0.330776074897981	0.202173051060829	0.772453436500677	KIAA0556
ENSG00000047932	0.522114274744962	0.598586401607411	0.679336647488732	0.404396067379377	-0.209504092666263	0.800458931953578	GOPC
ENSG00000048052	0	NA	1.42461569778111	0.019596467710193	0	NA	HDAC9
ENSG00000048392	0	NA	0.233069051011366	0.634750823086424	0	NA	RRM2B
ENSG00000048405	0	NA	0	NA	0	NA	ZNF800
ENSG00000048471	0	NA	-0.714739207026453	0.156415991703235	0	NA	SNX29
ENSG00000048649	-0.182687506137718	0.757987427259933	1.72170633836193	0.0798533693041808	0.127627251043625	0.829304063280681	RSF1
ENSG00000048707	0	NA	0	NA	0	NA	VPS13D
ENSG00000048740	-0.835991404215091	0.0738779380057584	0.779462242141219	0.0957702171649431	-0.390922587576092	0.36557148777534	CELF2
ENSG00000048828	0	NA	0	NA	0	NA	FAM120A
ENSG00000048991	0	NA	0	NA	0	NA	R3HDM1
ENSG00000049618	0	NA	0	NA	0	NA	ARID1B
ENSG00000049656	0	NA	0.0419454754565518	0.925946026976559	0	NA	CLPTM1L
ENSG00000050748	0	NA	0	NA	0	NA	MAPK9
ENSG00000051382	0	NA	0	NA	0	NA	PIK3CB
ENSG00000051825	-0.554012041125026	0.326120629668688	0.932592320343754	0.124636120934243	-0.57213581887195	0.311495358957499	MPHOSPH9
ENSG00000052749	0	NA	0	NA	0	NA	RRP12
ENSG00000052841	-0.625745716457301	0.512794645916407	0.895134226767313	0.516470162203722	-1.76924664420975	0.0882735297820823	TTC17
ENSG00000053900	0	NA	0	NA	0	NA	ANAPC4
ENSG00000054118	0	NA	0	NA	0	NA	THRAP3
ENSG00000054267	0	NA	1.6088364155137	0.178555408542368	0	NA	ARID4B
ENSG00000054282	0	NA	0	NA	0	NA	SDCCAG8
ENSG00000054611	-0.160777726541127	0.630509276771135	-1.64381026196823	0.00532076228306675	-1.10843471047281	0.00845407015073384	TBC1D22A
ENSG00000054983	0	NA	0	NA	0	NA	GALC
ENSG00000055044	0	NA	0	NA	0	NA	NOP58
ENSG00000055070	0	NA	0	NA	0	NA	SZRD1
ENSG00000055130	0.169640571609307	0.793394731148275	-0.548732847092368	0.467194092828595	-0.0195190639076542	0.972785189310179	CUL1
ENSG00000055483	0	NA	0	NA	0	NA	USP36
ENSG00000055609	0	NA	0	NA	0	NA	KMT2C
ENSG00000055917	0	NA	0	NA	0	NA	PUM2
ENSG00000056097	0	NA	0	NA	0	NA	ZFR
ENSG00000057608	-0.482867307328916	0.332094447789389	-0.0094586347319876	0.987370185761186	0.361643462781795	0.461784544516538	GDI2
ENSG00000057663	0.127523867496093	0.666807797612699	-0.0212949680546984	0.960218321057482	0.151912967800245	0.609049778248528	ATG5
ENSG00000058056	0	NA	0	NA	0	NA	USP13
ENSG00000058063	0.104943567622615	0.813385957142047	-0.399427677506086	0.371986348847978	-0.63547890524129	0.180534623779322	ATP11B
ENSG00000058091	-3.72572936568073	0.0281997060057788	-2.24499830724651	0.225848134552191	0.0770202437052563	0.950758366548156	CDK14
ENSG00000058262	0	NA	0	NA	0	NA	SEC61A1
ENSG00000058272	0	NA	0	NA	0	NA	PPP1R12A
ENSG00000058600	0.157391402788754	0.872586439866943	-0.247451003194193	0.876140057534792	-0.0687878276352625	0.936858724884096	POLR3E
ENSG00000058668	0	NA	0	NA	0	NA	ATP2B4
ENSG00000058673	0	NA	2.15756943890699	0.0272542652529186	0	NA	ZC3H11A
ENSG00000058804	0.115505689968549	0.738543428416044	0.251457682016977	0.582304635754152	0.55654052789224	0.137324167363376	NDC1
ENSG00000059588	0.060590186425154	0.892602134357672	-0.54739261456198	0.362957974362377	-0.422298319055844	0.361277738777944	TARBP1
ENSG00000059758	-0.0789399340649826	0.793992449051221	0.635209787130963	0.122177120988007	0.557383177396277	0.0923840975696055	CDK17
ENSG00000060069	-2.73602793747905	0.0138062760246371	2.42371101512235	0.0885090015298316	-0.101783947423878	0.897127082100195	CTDP1
ENSG00000060138	0	NA	0	NA	0	NA	YBX3
ENSG00000060237	0	NA	0	NA	0	NA	WNK1
ENSG00000060339	0	NA	0	NA	0	NA	CCAR1
ENSG00000060688	0.755158593288112	0.23184041229288	-0.863574042810974	0.110936140292454	0.442886068626763	0.468175298994463	SNRNP40
ENSG00000060749	0	NA	0	NA	0	NA	QSER1
ENSG00000060982	0	NA	-0.772391359813911	0.0711597514945214	0	NA	BCAT1
ENSG00000061936	-0.318928107781241	0.306336129795365	0.128971004560115	0.657931986021494	-0.299489965539008	0.334912797084352	SFSWAP
ENSG00000061987	0	NA	0	NA	0	NA	MON2
ENSG00000062194	-0.79857177267721	0.128625580972869	5.10185701023555	0.0156472032328631	-0.955923170522522	0.083495698056032	GPBP1
ENSG00000062485	0	NA	0	NA	0	NA	CS
ENSG00000062598	0	NA	0	NA	0	NA	ELMO2
ENSG00000062650	0	NA	0	NA	0	NA	WAPL
ENSG00000062716	-0.198596564741749	0.446983161594834	0.190308994941173	0.505553481141295	0.0907913690740358	0.72424793582332	VMP1
ENSG00000062725	-0.368238057512202	0.628497568720207	-1.60196069524609	0.17658190514076	-0.297018958668229	0.695587139379091	APPBP2
ENSG00000063046	-1.56610735231678	0.112184966794107	0.943671009687617	0.221645620236569	2.09615502627273	0.0329041584558018	EIF4B
ENSG00000063244	0	NA	-1.58827746463242	0.137220036225681	0	NA	U2AF2
ENSG00000063438	0	NA	0	NA	0	NA	AHRR
ENSG00000063601	0	NA	0.578750019898474	0.21994754810433	0	NA	MTMR1
ENSG00000063978	-1.06968462023108	0.0750488230957842	-0.445278030159012	0.507566551408394	0.852971798667888	0.101148757633853	RNF4
ENSG00000064012	0	NA	0	NA	0	NA	CASP8
ENSG00000064115	0	NA	0.536587353093017	0.431710082055147	0	NA	TM7SF3
ENSG00000064313	0	NA	2.55125215641141	0.037170649181801	0	NA	TAF2
ENSG00000064393	0	NA	0	NA	0	NA	HIPK2
ENSG00000064419	-0.261784111933192	0.411217121599037	-0.0548396380787874	0.859330588000638	-0.901644629472484	0.0170757982512185	TNPO3
ENSG00000064607	0	NA	0	NA	0	NA	SUGP2
ENSG00000064726	0	NA	0	NA	0	NA	BTBD1
ENSG00000064763	-0.00843081304163673	0.97880789652437	-0.992393345743079	0.0542649415434203	-0.212785455313026	0.508562283058307	FAR2
ENSG00000064933	0	NA	0	NA	0	NA	PMS1
ENSG00000064999	0	NA	0.607317953962034	0.206223472012181	0	NA	ANKS1A
ENSG00000065000	0	NA	0	NA	0	NA	AP3D1
ENSG00000065060	0	NA	0	NA	0	NA	UHRF1BP1
ENSG00000065135	0	NA	1.09134353376973	0.193401338612761	0	NA	GNAI3
ENSG00000065150	0	NA	0	NA	0	NA	IPO5
ENSG00000065243	0	NA	0	NA	0	NA	PKN2
ENSG00000065485	0.0742745966454694	0.767789396755537	0.489069665554031	0.141326795273535	0.312272150924292	0.234473383240728	PDIA5
ENSG00000065491	0.790422620691432	0.443371071646802	-1.05564341411682	0.0922921687579278	-1.24171232419852	0.286675510935799	TBC1D22B
ENSG00000065526	0	NA	0	NA	0	NA	SPEN
ENSG00000065548	0	NA	2.59203371995652	0.016761162268264	0	NA	ZC3H15
ENSG00000065600	0.0646028869964195	0.890535947241237	-0.574819816522968	0.229274831619905	-0.860481502873987	0.0944175882659203	TMEM206
ENSG00000065613	-0.534517353379865	0.276751467870917	0.670145515666876	0.0966377319030336	0.0765849308743073	0.871462449377871	SLK
ENSG00000065615	0.596996748957806	0.223031302470239	-0.356337167305322	0.454256087831823	-1.28939900283301	0.0350009565470576	CYB5R4
ENSG00000065809	0	NA	0	NA	0	NA	FAM107B
ENSG00000065883	0.300600407994951	0.496482148691014	0.257974413568098	0.593217259384032	0.383881517875014	0.335168420907292	CDK13
ENSG00000065911	-1.02248085538436	0.303371831928771	0.300557962302322	0.512196272316065	-0.243333850498383	0.799349464684874	MTHFD2
ENSG00000065978	0	NA	0	NA	0	NA	YBX1
ENSG00000066027	0	NA	0	NA	0	NA	PPP2R5A
ENSG00000066044	0	NA	0	NA	0	NA	ELAVL1
ENSG00000066084	0.0231146089725611	0.938934818462642	-0.584240845084657	0.186411785482915	-0.35850795129871	0.254564046890651	DIP2B
ENSG00000066135	0	NA	-2.15894702186533	0.279178547724099	0	NA	KDM4A
ENSG00000066136	0	NA	0	NA	0	NA	NFYC
ENSG00000066279	0	NA	0	NA	0	NA	ASPM
ENSG00000066336	0	NA	0	NA	0	NA	SPI1
ENSG00000066557	-0.541647238395427	0.347345214380327	-0.0757329979223837	0.916376462489505	0.397145716619798	0.485193661961268	LRRC40
ENSG00000066777	0	NA	0	NA	0	NA	ARFGEF1
ENSG00000066827	-0.940470633606186	0.154371232711502	-1.86153740858039	0.0191314252153963	-1.23485331520014	0.0872283360191944	ZFAT
ENSG00000066855	-0.301729632927295	0.552719201839285	-1.16040449923215	0.0583218883626919	-2.74980863565553	0.00172547728446428	MTFR1
ENSG00000067057	-0.105290049573774	0.787543813242767	-2.17647288819413	0.023081067684822	-4.30855143530389	3.38467280984801e-05	PFKP
ENSG00000067066	-0.13372145427941	0.756697651294964	0.837467587431741	0.212848805100603	0.388678917976038	0.378354484552437	SP100
ENSG00000067208	-0.923455453826014	0.193403681792149	-0.0521790317898463	0.94520544470339	1.14576759798839	0.0832550965226896	EVI5
ENSG00000067225	0.147730007445133	0.835865086738248	-0.327343594600792	0.750245303328087	-0.510716220948828	0.480300519805739	PKM
ENSG00000067369	0	NA	0	NA	0	NA	TP53BP1
ENSG00000067560	-0.192915609436325	0.622838004269658	-0.875278977779619	0.128009524355674	-0.17137098931802	0.661590700042963	RHOA
ENSG00000067704	0	NA	0	NA	0	NA	IARS2
ENSG00000067798	0	NA	0	NA	0	NA	NAV3
ENSG00000067900	0	NA	0	NA	0	NA	ROCK1
ENSG00000067955	-0.126623942495159	0.681071438897807	-0.319604225905417	0.482823611188625	-0.28726246171026	0.362912995080668	CBFB
ENSG00000068305	0	NA	-0.434164366408905	0.596446047395676	0	NA	MEF2A
ENSG00000068366	-1.41303762283198	0.024215509399116	0.311450597554618	0.315545133933907	0.765617601256664	0.172633532636306	ACSL4
ENSG00000068383	-0.253818307720785	0.4087384274999	-1.15801824562184	0.0582384308009208	-0.597972831371025	0.0765357882522476	INPP5A
ENSG00000068654	0	NA	0	NA	0	NA	POLR1A
ENSG00000068724	0	NA	0	NA	0	NA	TTC7A
ENSG00000068784	-0.065615942631415	0.82581956886004	-0.297846857478777	0.398868990487649	-0.46653702510299	0.143955260702176	SRBD1
ENSG00000068796	0	NA	0	NA	0	NA	KIF2A
ENSG00000068831	0	NA	0	NA	0	NA	RASGRP2
ENSG00000068878	0	NA	0	NA	0	NA	PSME4
ENSG00000068885	0.0221303519437734	0.940427118273662	-0.282329446281586	0.386871610668544	-0.0223659587622547	0.939794315387973	IFT80
ENSG00000069248	0.406979050231791	0.755363129134056	1.46154509553816	0.408646505542661	0.642263763261647	0.624749264873528	NUP133
ENSG00000069275	0	NA	0	NA	0	NA	NUCKS1
ENSG00000069424	-0.234615859165723	0.89793347454484	1.22081726456315	0.270928420705133	2.62470706155404	0.15352528362128	KCNAB2
ENSG00000069849	-0.729614136730047	0.125318340241161	0.609858887753017	0.141730706338342	0.589824788159608	0.200599335282913	ATP1B3
ENSG00000069956	0	NA	0	NA	0	NA	MAPK6
ENSG00000069974	0	NA	0	NA	0	NA	RAB27A
ENSG00000070061	0.226601830864463	0.66155802945288	-1.04977397858732	0.20790731496545	-0.851356871732346	0.125501616641707	IKBKAP
ENSG00000070214	0.189747483440274	0.661996036433571	-0.9443456981516	0.0777659310326181	-0.220521940248816	0.612167286872303	SLC44A1
ENSG00000070269	0	NA	0.192975826618292	0.756030661514272	0	NA	TMEM260
ENSG00000070367	-0.173143768040768	0.555138949136927	0.133134856146668	0.724230556320751	-0.39043395728777	0.201946639111733	EXOC5
ENSG00000070371	0.591178111700506	0.497577016702364	-0.736537198090086	0.597653641030012	0.772956581048568	0.380635576052247	CLTCL1
ENSG00000070413	-1.06581217255127	0.241040231207712	-0.290831339964672	0.574609828969768	1.01324523299985	0.28671862165054	DGCR2
ENSG00000070476	0	NA	0	NA	0	NA	ZXDC
ENSG00000070501	0	NA	0	NA	0	NA	POLB
ENSG00000070756	0	NA	0	NA	0	NA	PABPC1
ENSG00000070770	0	NA	0	NA	0	NA	CSNK2A2
ENSG00000070785	0	NA	-3.30954114040793	0.00413355529108061	0	NA	EIF2B3
ENSG00000070831	-0.0826698041757813	0.7501237691034	-0.118186166882302	0.691976496478648	-0.120313254916065	0.644204577367649	CDC42
ENSG00000070950	-0.146602554309588	0.670180137172868	0.129547849829819	0.689222237055122	-0.557031071074653	0.130965452560465	RAD18
ENSG00000071051	-0.257305413654078	0.53709922407354	-1.11692730321602	0.0619588213567762	-0.784441863946207	0.0843051335870385	NCK2
ENSG00000071082	0.022777636284323	0.933748655540279	-0.0152120391466298	0.964063205476734	0.227804402109817	0.415657464579445	RPL31
