GO	[-19.75 -4.16]	[-4.16 -3.21]	[-3.21 -2.55]	[-2.55 -2.04]	[-2.04 -1.48]	[-1.48 -0.62]	[-0.62 1.09]	[1.09 1.93]	[1.93 2.78]	[2.78 4.09]	[4.09 6.64]
GSE11961_FOLLICULAR_BCELL_VS_PLASMA_CELL_DAY7_UP GSE11961_FOLLICULAR_BCELL_VS_PLASMA_CELL_DAY7_UP	-1.205	-1.626	-0.625	2.752	-0.433	-0.877	-0.877	3.172	0.843	-0.290	-0.434
GSE17721_LPS_VS_POLYIC_1H_BMDC_DN GSE17721_LPS_VS_POLYIC_1H_BMDC_DN	0.928	0.420	1.949	-0.424	-1.026	-0.780	-1.026	-3.349	-0.582	1.147	1.653
GSE411_WT_VS_SOCS3_KO_MACROPHAGE_IL6_STIM_400MIN_DN GSE411_WT_VS_SOCS3_KO_MACROPHAGE_IL6_STIM_400MIN_DN	-0.730	-0.555	1.784	2.366	0.542	-2.806	-0.301	-1.868	-0.555	1.066	0.299
GSE21546_WT_VS_ELK1_KO_ANTI_CD3_STIM_DP_THYMOCYTES_UP GSE21546_WT_VS_ELK1_KO_ANTI_CD3_STIM_DP_THYMOCYTES_UP	-4.080	0.559	-1.744	0.751	0.751	0.559	0.269	-0.491	0.751	1.230	-0.493
GSE14350_TREG_VS_TEFF_UP GSE14350_TREG_VS_TEFF_UP	2.207	-1.413	-0.266	-0.669	0.339	-1.413	-1.118	-1.765	0.949	0.763	2.200
GSE20715_WT_VS_TLR4_KO_24H_OZONE_LUNG_UP GSE20715_WT_VS_TLR4_KO_24H_OZONE_LUNG_UP	-3.411	-0.913	0.326	-0.634	0.485	1.821	-0.427	1.180	0.326	-0.913	1.177
GSE23925_LIGHT_ZONE_VS_DARK_ZONE_BCELL_UP GSE23925_LIGHT_ZONE_VS_DARK_ZONE_BCELL_UP	1.999	-1.395	1.652	0.597	-0.712	0.809	-1.906	-0.325	-1.906	-0.325	0.595
GSE26928_NAIVE_VS_EFF_MEMORY_CD4_TCELL_UP GSE26928_NAIVE_VS_EFF_MEMORY_CD4_TCELL_UP	1.706	-3.806	-0.443	0.738	-0.614	-1.102	-0.443	2.012	0.291	0.413	0.289
GSE26669_CD4_VS_CD8_TCELL_IN_MLR_UP GSE26669_CD4_VS_CD8_TCELL_IN_MLR_UP	0.497	-2.172	-0.252	0.497	1.620	-2.785	2.257	-0.252	-0.523	0.356	-0.525
GSE24634_IL4_VS_CTRL_TREATED_NAIVE_CD4_TCELL_DAY3_UP GSE24634_IL4_VS_CTRL_TREATED_NAIVE_CD4_TCELL_DAY3_UP	0.398	-1.744	2.941	-0.336	-0.336	-1.744	0.751	-0.491	1.515	-1.307	0.267
GSE3982_MEMORY_CD4_TCELL_VS_TH2_DN GSE3982_MEMORY_CD4_TCELL_VS_TH2_DN	-2.109	-0.932	1.402	0.528	0.261	-0.346	-0.346	0.704	2.710	-0.346	-2.114
GSE45365_CD8A_DC_VS_CD11B_DC_UP GSE45365_CD8A_DC_VS_CD11B_DC_UP	0.924	-0.735	3.686	-1.804	-1.009	-1.009	-0.735	0.924	-0.522	0.525	0.370
GSE37301_COMMON_LYMPHOID_PROGENITOR_VS_CD4_TCELL_UP GSE37301_COMMON_LYMPHOID_PROGENITOR_VS_CD4_TCELL_UP	0.281	4.741	-0.630	0.546	-0.630	-1.463	-1.124	-0.630	-0.850	0.719	0.544
GSE34156_TLR1_TLR2_LIGAND_VS_NOD2_AND_TLR1_TLR2_LIGAND_6H_TREATED_MONOCYTE_DN GSE34156_TLR1_TLR2_LIGAND_VS_NOD2_AND_TLR1_TLR2_LIGAND_6H_TREATED_MONOCYTE_DN	-1.503	1.194	0.879	0.613	1.556	0.613	-0.382	-0.979	-2.326	0.233	-0.625
GSE18893_TCONV_VS_TREG_24H_CULTURE_DN GSE18893_TCONV_VS_TREG_24H_CULTURE_DN	-0.398	-0.792	0.852	-1.438	0.335	1.347	-1.895	1.638	-1.438	1.638	-0.400
GSE36826_WT_VS_IL1R_KO_SKIN_UP GSE36826_WT_VS_IL1R_KO_SKIN_UP	-1.438	-0.398	0.650	0.650	0.477	1.085	0.650	0.335	-1.438	-3.232	1.343
GSE8621_LPS_STIM_VS_LPS_PRIMED_AND_LPS_STIM_MACROPHAGE_UP GSE8621_LPS_STIM_VS_LPS_PRIMED_AND_LPS_STIM_MACROPHAGE_UP	-1.274	-1.274	0.848	-0.566	-1.274	3.167	-0.566	0.605	0.848	-0.861	0.603
GSE15330_GRANULOCYTE_MONOCYTE_PROGENITOR_VS_PRO_BCELL_UP GSE15330_GRANULOCYTE_MONOCYTE_PROGENITOR_VS_PRO_BCELL_UP	-1.881	-1.172	-0.265	0.785	-1.493	1.999	-0.265	2.643	0.340	-0.374	-0.692
GSE17974_2H_VS_72H_UNTREATED_IN_VITRO_CD4_TCELL_DN GSE17974_2H_VS_72H_UNTREATED_IN_VITRO_CD4_TCELL_DN	0.291	-0.614	0.562	0.738	0.562	0.413	0.562	-0.614	0.941	0.291	-4.926
GSE20198_IL12_IL18_VS_IFNA_TREATED_ACT_CD4_TCELL_UP GSE20198_IL12_IL18_VS_IFNA_TREATED_ACT_CD4_TCELL_UP	0.273	0.384	0.520	-1.088	2.147	1.306	0.520	0.864	-1.774	-1.398	-1.778
GSE17721_LPS_VS_PAM3CSK4_1H_BMDC_UP GSE17721_LPS_VS_PAM3CSK4_1H_BMDC_UP	-2.925	-1.794	-0.418	0.440	1.487	-0.418	0.311	0.595	2.091	-0.583	0.438
GSE13547_CTRL_VS_ANTI_IGM_STIM_ZFX_KO_BCELL_2H_DN GSE13547_CTRL_VS_ANTI_IGM_STIM_ZFX_KO_BCELL_2H_DN	0.256	-0.752	-1.972	-0.522	0.761	0.559	0.559	1.269	1.573	0.256	-2.671
GSE17186_MEMORY_VS_CD21HIGH_TRANSITIONAL_BCELL_DN GSE17186_MEMORY_VS_CD21HIGH_TRANSITIONAL_BCELL_DN	1.073	-0.833	0.520	0.680	0.680	-0.461	-0.627	1.073	-4.310	0.680	-0.464
GSE5679_RARA_AGONIST_AM580_VS_AM580_AND_ROSIGLITAZONE_TREATED_DC_UP GSE5679_RARA_AGONIST_AM580_VS_AM580_AND_ROSIGLITAZONE_TREATED_DC_UP	1.281	-3.652	-0.393	-0.271	-0.271	0.630	1.281	1.037	0.333	-0.553	-1.342
GSE27786_BCELL_VS_NEUTROPHIL_DN GSE27786_BCELL_VS_NEUTROPHIL_DN	0.726	-1.228	0.726	0.726	-1.711	0.726	0.969	-2.369	-0.596	1.248	-0.399
GSE45365_WT_VS_IFNAR_KO_CD11B_DC_MCMV_INFECTION_UP GSE45365_WT_VS_IFNAR_KO_CD11B_DC_MCMV_INFECTION_UP	1.691	1.691	-1.006	0.752	-0.567	-1.006	-2.110	-1.305	0.311	0.311	1.168
